科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"91,259,621.25","136,785,911.94","184,336,807.32","126,495,725.34","204,117,748.22","286,177,568.24","67,280,201.37","134,492,450.54","232,905,342.87","342,795,871.69","104,561,266.01","233,331,530.03","351,328,118.08","493,613,128.83","130,514,248.05","268,635,960.80","437,397,088.80","617,390,939.61","133,501,654.58","274,208,230.66","429,248,060.23","578,661,801.99","121,276,388.34","262,482,899.33","406,714,719.68","548,715,488.14","123,093,714.94","267,662,327.54","416,371,235.47","588,311,714.60","126,214,127.42","268,580,857.07","411,254,431.10","598,803,876.07","149,803,662.16","303,518,319.84"
二、营业利润,"20,115,649.21","24,187,404.30","31,255,057.35","25,002,709.76","38,507,628.54","47,214,325.27","8,884,918.98","17,100,305.66","28,947,573.65","36,542,777.87","10,383,345.25","25,018,137.81","31,837,749.93","38,006,648.91","9,930,119.38","20,515,656.81","35,237,168.85","44,840,003.80","15,665,930.24","32,837,507.38","51,576,833.33","58,324,922.87","11,088,606.72","18,475,292.40","30,200,452.89","32,748,777.64","7,986,102.46","21,611,732.96","33,569,249.56","39,459,926.39","3,885,790.79","15,412,505.18","27,385,866.19","36,085,386.66","10,187,833.36","26,019,660.61"
减:营业成本,"57,013,883.06","91,099,214.33","129,906,249.58","87,473,146.55","144,049,970.17","210,495,652.31","51,858,996.88","104,540,127.88","182,793,978.17","275,512,068.79","85,557,549.73","189,193,768.03","288,013,095.10","408,029,045.19","109,116,449.89","222,770,759.92","359,711,870.75","503,413,930.88","102,988,080.62","209,779,129.33","327,341,680.87","445,144,451.32","95,307,203.95","208,824,025.27","323,988,499.55","432,247,697.48","93,717,489.66","200,214,473.78","310,397,318.60","435,428,981.67","95,689,814.47","200,065,872.75","306,203,516.45","438,910,978.95","110,579,624.50","230,214,693.80"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"115,209.72","172,914.28","171,947.48","116,525.28","156,273.78","206,837.40","175,826.97","304,933.15","417,251.11","674,684.82","137,183.31","367,858.89","622,117.78","966,036.24","272,428.16","535,354.75","774,924.75","1,065,004.84","306,939.01","544,747.22","768,361.07","1,019,571.84","274,643.43","697,312.80","1,198,443.00","1,880,294.22","663,974.84","1,317,705.56","2,028,199.00","4,203,315.53","1,007,032.64","1,819,351.49","2,629,640.24","3,948,699.65","1,074,798.33","2,108,364.00"
营业外收入,"3,132,143.42","1,204,046.30","2,110,206.57","22,338.63","43,730.54","266,147.80","1,066,134.74","1,657,691.92","1,748,918.58","1,929,688.58","30,409.28","46,697.26","2,906,279.14","2,997,232.28","149,527.43","170,620.45","204,019.08","364,644.29","30,546.52","254,955.30","1,204,036.69","1,628,715.86","13,867.55","44,008.22","925,676.08","1,516,232.02","363,459.34","3,155,072.24","3,782,017.50","5,032,158.62","1,306,906.89","1,079,581.24","1,528,378.95","581,836.63","271,156.17","407,023.11"
销售费用,"1,171,935.96","2,295,423.98","2,292,597.49","1,699,798.80","2,407,562.46","3,343,146.81","711,673.44","1,862,844.92","2,767,491.80","3,717,041.69","797,586.44","2,354,902.03","4,063,139.04","6,141,925.59","1,549,364.33","3,541,425.62","5,691,809.03","8,210,684.34","1,758,768.03","3,507,711.59","5,221,584.06","7,259,824.87","1,297,015.52","3,458,894.19","6,357,208.91","9,924,530.22","2,992,528.57","7,240,764.33","12,510,988.22","17,751,022.34","3,377,698.96","7,942,747.84","12,313,658.22","17,978,897.52","3,721,657.18","9,004,101.17"
减:营业外支出,"9,759.09","14,869.95","29,411.44","25,819.50","81,327.14","618,370.54",200.00,"33,900.00","127,575.62","53,000.00","16,610.00","1,204,801.25","1,246,901.25","1,248,260.58",200.00,"23,400.00","44,149.25","668,421.70","1,343.60","133,161.58","143,161.58","271,147.34","250,496.91","801,000.04","1,244,041.40","1,285,044.46","25,365.81","97,517.36","267,344.38","3,439,627.76","65,513.47","183,215.74","478,252.06","471,290.26","56,463.95","183,005.45"
管理费用,"7,605,997.77","13,063,876.57","18,152,215.09","10,592,480.03","16,560,404.73","21,483,052.35","7,636,572.21","15,098,960.05","24,497,759.11","35,440,988.44","10,584,439.24","21,836,005.92","35,189,220.58","50,598,180.24","11,064,060.59","23,382,287.60","37,810,883.66","58,970,597.98","14,794,243.99","32,024,646.54","49,535,007.65","75,103,574.55","17,167,509.40","35,413,986.05","54,126,040.57","84,568,237.17","19,066,734.72","40,179,465.53","62,113,193.37","90,593,854.42","21,795,339.63","43,615,424.08","66,992,287.18","100,134,515.39","22,603,477.15","45,136,951.18"
其中:非流动资产处置净损失,,,"17,880.00",,,"536,850.00",,,,"3,200.00",,"1,135,041.25","1,135,041.25","1,135,041.25",,,,"605,203.37","1,343.60","76,718.60","76,718.60","198,418.66","249,906.91","686,399.28","1,124,068.01","1,147,805.36","7,365.81","11,421.32","120,676.71","3,273,305.46","3,060,048.85","127,867.99","127,867.99",,,
