科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
其他应收款,"43,828,617.96","33,207,190.39","58,209,405.20","25,583,744.29","38,420,318.73","109,930,900.41","125,842,780.70","40,806,793.45","54,594,266.36","58,667,030.19","67,690,008.38","53,069,500.06","81,851,700.77","59,019,467.37","49,250,878.03","39,659,415.64","352,454,590.42","417,233,233.29","349,839,820.76","170,580,063.63","201,357,509.62","270,601,240.88","333,269,218.74","185,730,795.76","246,271,886.38","224,782,162.74","201,012,341.98","143,951,830.25","164,874,220.99","168,991,998.13","181,098,844.08","101,719,018.87","131,129,442.35","155,227,292.05","124,856,622.01","148,342,764.39","171,392,925.71","221,753,920.00","206,044,768.13","88,953,990.85","107,027,881.91","57,316,394.90","81,287,491.69","62,961,577.51","302,912,304.73"
应付职工薪酬,"30,110,077.46","38,624,774.92","35,211,305.44","28,023,447.35","19,039,606.83","18,111,812.32","15,773,500.87","16,279,386.69","15,549,410.15","20,253,150.40","20,431,315.19","45,771,148.56","21,389,180.08","10,184,974.76","6,925,095.34","43,573,977.99","39,218,717.70","29,738,232.39","43,139,605.28","135,671,150.46","50,456,031.73","53,641,498.56","53,178,134.84","203,647,586.60","72,417,727.85","149,191,627.34","80,111,385.15","293,088,132.19","98,255,030.36","152,098,861.51","82,969,774.54","393,187,796.91","68,702,120.49","27,887,576.27","57,945,179.42","369,734,437.71","115,528,691.30","155,187,784.86","106,209,771.70","377,422,775.24","129,901,892.34","157,898,533.77","135,506,227.09","257,060,096.86","192,281,883.43"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"176,798,213.80","234,579,241.01","219,770,878.37","338,953,558.81","368,908,073.17","318,624,833.80","658,458,405.68","558,119,474.62","802,069,449.20","675,294,808.31","636,424,321.60","869,484,125.57","984,187,537.99","635,125,703.83","630,397,716.44","510,923,893.68","228,170,298.26","182,727,696.76","202,961,252.18","92,630,138.23","-40,036,978.06","-4,839,547.74","-85,918,605.22","-193,115,564.97","-564,507,205.77","-543,422,445.39","-944,773,054.23","-1,237,926,915.85","-1,429,893,196.83","-1,681,861,638.99","-1,819,031,158.65","532,996,796.46","434,276,348.19","307,557,674.52","314,036,666.50","283,457,966.85","302,728,474.28","355,755,111.65","308,239,695.65","646,647,832.36","323,045,965.48","327,563,259.09","189,895,018.63","527,740,894.73","239,023,352.36"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,,"1,572,697.64","1,572,697.64","1,572,697.64","1,572,697.64","1,572,697.64","1,572,697.64","1,572,697.64","1,572,697.64","22,364,364.31","84,739,364.32","147,114,364.23","211,675,988.14","24,550,988.32","86,925,988.32","150,835,948.30","210,234,483.70","23,109,483.71","85,484,483.72","213,604,790.41","324,827,955.95","203,050,455.98","126,232,886.47","261,530,950.42","275,475,950.44","118,925,950.46","143,948,867.15","252,244,917.40","325,658,797.75","292,314,925.71"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,250,000.00",,,
应付股利,,"527,182,743.94","66,728,025.31","8,297,807.28","525,501,058.08","728,486,532.28","260,454,312.64","90,091,784.48","907,907,643.37","403,851,496.31","13,019,759.65","11,019,853.40","1,028,213,825.15","11,225,758.30","11,225,758.30","8,390,748.92","134,264,808.41","29,548,137.61","15,335,509.09","14,902,293.52","14,902,293.52","178,349,370.80","77,469,702.48","14,241,330.80","14,241,330.80","363,258,748.21","257,006,445.20","14,524,490.64","14,524,490.64","100,437,673.31","77,163,146.42","83,279,776.19","11,216,175.32","17,741,190.71","17,369,156.15","11,802,031.70","11,802,031.70","69,381,237.45","62,917,777.30","62,917,777.30","62,917,777.30","62,917,777.30","65,910,277.30","92,804,236.86","92,804,236.86"
存货,"507,616,302.27","514,648,505.76","636,358,428.59","585,908,434.66","685,830,592.67","944,507,279.26","1,152,620,897.79","1,310,873,102.00","1,264,073,289.26","1,790,291,559.85","2,166,315,965.24","1,737,976,494.22","1,200,798,391.74","1,532,069,612.94","1,594,228,960.54","1,679,329,896.07","1,479,716,682.69","1,560,501,480.78","1,559,296,994.44","1,735,183,855.52","1,775,495,838.96","1,965,082,721.00","2,266,494,571.83","2,063,614,420.12","1,935,934,811.46","2,067,094,380.72","2,625,104,658.37","2,383,798,172.28","2,320,925,898.88","2,566,759,706.67","2,628,019,919.21","2,649,889,750.76","3,042,811,032.35","3,171,481,277.20","2,745,735,429.91","2,870,351,351.76","2,586,597,333.08","2,599,999,991.75","2,977,209,750.73","3,389,210,734.55","2,999,411,165.66","3,067,078,553.76","3,093,300,330.03","3,303,578,287.77","3,221,704,557.32"
其他应付款,"210,033,219.08","212,848,832.95","262,755,016.56","188,836,181.64","221,391,715.06","284,695,869.74","338,868,809.07","220,252,671.16","304,808,647.15","585,109,037.66","569,863,845.96","315,392,025.77","353,637,974.26","671,172,362.61","724,976,846.88","339,407,465.92","934,226,493.95","850,641,658.61","796,027,486.82","683,445,984.86","761,419,488.10","725,627,496.13","873,957,698.87","959,165,948.45","1,001,985,927.07","974,850,655.20","1,027,260,394.53","969,896,701.19","1,010,024,965.08","1,000,638,398.62","1,323,391,936.11","979,428,916.81","1,070,402,825.25","1,157,955,319.07","1,042,583,149.67","994,653,541.92","953,098,278.87","803,837,278.40","736,476,544.39","791,206,334.38","770,810,390.28","741,069,311.51","602,422,109.61","600,973,859.58","665,226,571.49"
