科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"59,327,652.09","103,176,299.93","147,517,280.49","87,649,015.53","193,609,754.28","51,916,319.67","105,286,298.08","181,113,447.02","239,511,105.85","59,087,880.89","117,784,048.11","202,239,074.69","267,105,585.86","69,117,267.53","133,415,557.05","238,466,313.19","312,085,773.20","81,099,600.17","165,132,855.77","293,622,380.14","385,576,841.66","106,934,012.73"
二、营业利润,"18,636,470.24","41,174,581.80","60,359,777.00","35,699,966.00","81,691,790.07","14,947,137.88","41,159,455.91","82,578,317.55","112,410,351.37","28,772,389.43","57,915,753.46","104,173,816.66","134,122,564.94","33,322,710.23","63,683,100.65","125,645,750.14","155,965,903.62","44,889,449.95","90,921,613.69","172,915,213.01","216,222,729.15","60,691,260.56"
减:营业成本,"5,689,320.03","6,472,295.71","7,559,063.78","3,507,248.00","7,374,316.60","1,878,407.23","4,255,562.92","7,550,594.21","9,732,462.48","2,603,228.99","6,231,650.90","10,072,076.41","13,104,036.94","2,903,954.45","6,000,665.12","9,641,814.51","11,555,335.37","2,303,978.21","5,017,895.57","8,813,242.01","14,085,609.95","7,087,939.24"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"318,194.38","1,801,151.11","2,439,163.49","1,410,908.68","3,020,581.54","370,962.46","753,159.32","1,065,689.57","1,304,630.71","243,824.66","492,841.17","843,417.23","1,110,764.03","276,954.51","515,564.26","906,963.15","1,243,350.07","280,455.49","1,207,874.48","1,655,828.49","2,612,251.09","387,623.46"
营业外收入,"2,069,993.70","2,824,602.84","3,085,245.88","633,174.68","1,567,084.58","697,340.97","4,932,798.94","5,183,486.77","7,015,981.35","50,000.00","2,790,326.34","3,195,326.34","4,539,107.55","53,825.97","94,562.02","470,265.56","502,369.11","274,841.60","2,015,832.44","2,340,864.78","2,832,125.94","481,553.78"
销售费用,"23,321,159.33","37,798,713.67","55,933,623.95","34,537,807.70","75,726,456.32","20,554,309.33","40,323,929.76","64,283,356.87","88,690,764.75","21,594,768.49","43,861,833.75","70,148,419.69","96,044,457.22","25,852,865.84","51,521,069.99","82,479,093.13","114,496,675.39","27,882,613.37","56,226,435.97","91,024,331.71","128,887,847.91","33,225,642.67"
减:营业外支出,"20,071.60","65,211.37","42,355.64","28,822.02","147,947.50","5,159.47","505,435.39","517,190.56","548,179.78","5,924.27","32,366.73","36,312.44","45,477.05","49,854.70","58,394.85","3,738,942.75","4,636,152.56","29,061.04","93,327.37","176,005.79","85,628.89","20,295.42"
管理费用,"12,105,407.91","14,738,650.48","20,392,530.30","12,354,310.96","25,639,638.71","13,669,018.46","19,459,281.89","25,881,787.13","31,966,208.44","7,231,040.62","12,288,961.63","19,747,886.50","28,160,805.47","7,685,459.80","15,132,751.58","22,828,412.92","34,796,848.39","7,037,951.63","15,856,939.96","24,434,526.45","33,893,798.11","8,831,209.10"
其中:非流动资产处置净损失,"20,071.60",581.67,"2,155.64","25,267.74","41,147.20","1,568.31","1,682.24","13,344.49","44,063.22",924.27,"27,354.48","31,300.19","35,464.80","49,854.70","58,247.43","3,608,434.42","4,505,644.02","3,526.79","23,782.72","106,449.82",,
