科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"69,596,975.81","98,296,324.66","99,159,012.25","74,488,508.46",,"671,294,381.66","188,016,051.64","248,800,517.13","251,470,011.55","319,175,991.70","131,088,852.49","228,243,024.00"
短期借款,"183,235,887.99","234,444,702.08","229,941,333.00","239,223,824.29",,"257,395,259.74","101,656,991.00","192,498,473.43","308,730,226.70","482,281,972.18","464,782,024.60","642,495,241.41"
交易性金融资产,,,,,,,,,,"90,982,356.16","90,541,083.34",
交易性金融负债,,,,,,,,,,,,
应收票据,"4,250,000.00","16,291,342.78","17,670,855.00","17,189,040.00",,"17,693,081.32","36,252,105.44","36,368,111.34","21,401,446.00","57,348,881.28","65,062,318.29","33,980,063.66"
应付票据,,,,"19,123,713.95",,"35,490,115.65","10,821,348.52","1,242,655.65","1,300,280.05","18,368,808.26","13,407,706.96","5,950,000.00"
应收账款,"219,743,862.86","322,262,189.50","421,893,362.32","433,511,285.46",,"617,984,714.45","453,928,397.31","452,337,174.79","530,831,667.87","673,697,757.36","714,896,759.49","792,217,868.45"
应付账款,"108,569,743.88","167,524,043.88","198,170,316.23","204,518,779.39",,"295,930,828.14","155,554,118.79","261,045,370.98","246,943,109.17","477,056,624.35","317,830,938.73","425,997,405.74"
预付款项,"13,230,501.61","7,051,274.66","19,712,068.20","31,137,026.88",,"24,150,093.22","51,879,215.50","27,587,564.99","62,430,244.81","33,317,221.18","102,433,398.69","66,506,579.55"
预收款项,"90,295,782.37","35,070,645.04","40,399,227.68","31,272,288.56",,"23,020,464.72","21,708,328.34","25,596,075.40","22,122,722.96","61,802,744.20","54,574,466.18","43,365,350.18"
其他应收款,"26,623,000.06","19,500,425.27","22,700,667.02","29,107,223.43",,"31,720,220.31","36,752,235.27","27,934,365.00","24,790,051.99","26,302,417.03","24,710,349.67","29,883,119.39"
应付职工薪酬,"12,029,600.93","14,472,398.74","16,950,901.48","13,285,324.79",,"20,407,025.55","9,776,999.13","15,521,043.57","12,222,017.68","23,795,468.61","13,792,336.48","17,573,432.95"
应收关联公司款,,,,,,,,,,,,
应交税费,"27,188,275.97","45,514,931.26","20,631,640.98","7,386,578.45",,"11,247,243.16","10,205,929.06","7,270,922.16","13,095,396.78","16,514,945.53","7,232,321.33","13,816,744.69"
应收利息,,,,,,,,,,,,
应付利息,"890,300.89","1,626,888.43","527,549.70","490,665.06",,"1,446,377.39","2,263,338.22","1,154,438.06","2,574,292.45","867,314.92","739,928.53","925,962.11"
应收股利,,,,,,,,,,,,
应付股利,,"47,858,416.00",,"75,898,125.00",,,,,,,,
存货,"540,916,049.26","700,761,873.61","692,609,985.15","715,397,080.13",,"752,348,061.94","708,060,581.12","950,677,580.91","1,017,995,418.57","1,237,125,200.48","1,113,970,459.73","1,343,487,299.48"
其他应付款,"1,401,843.25","2,033,618.73","2,192,162.02","1,536,106.66",,"14,793,772.37","12,840,703.50","11,305,435.73","11,930,255.56","12,787,529.38","10,411,117.68","14,925,118.41"
其中:消耗性生物资产,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,
一年内到期的非流动资产,,,"34,827.75",,,,,,,,,
一年内到期的非流动负债,,,"10,000,000.00","25,000,000.00",,"40,000,000.00",,,,,,
其他流动资产,"12,311,206.51","13,003,141.81","6,533,764.62","13,127,487.94",,"9,772,887.85","246,496,983.60","121,608,086.09","112,297,137.06","22,124,771.83","11,096,732.33","37,200,586.90"
其他流动负债,,,,,,"111,160,217.10","105,636,972.10","107,151,038.66","106,367,684.35","8,722,780.58","8,852,478.67","7,748,734.12"
流动资产合计,"886,671,596.11","1,177,166,572.29","1,280,314,542.31","1,313,957,652.30","1,415,096,800.00","2,124,963,440.75","1,721,385,569.88","1,865,313,400.25","2,021,215,977.85","2,460,074,597.02","2,253,799,954.03","2,531,518,541.43"
流动负债合计,"423,611,435.28","548,545,644.16","518,813,131.09","617,735,406.15","685,078,900.00","810,891,303.82","430,464,728.66","622,785,453.64","725,285,985.70","1,102,198,188.01","891,623,319.16","1,172,797,989.61"
可供出售金融资产,,,,,,,,,,,,
长期借款,,"34,912,165.53","67,591,557.31","62,806,740.66",,"49,971,177.81",,,,,,
持有至到期投资,,,,,,,,,,,,
应付债券,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,
长期股权投资,"3,698,183.00","3,901,521.14","4,663,169.58","15,204,985.03",,"15,676,290.31","15,588,147.94","15,146,764.77","14,754,025.26","14,795,531.99","14,583,486.69","8,581,871.46"
专项应付款,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,
预计负债,,,,,,,,,,,,
固定资产,"43,720,800.46","44,736,035.65","42,931,076.28","43,623,819.74",,"165,413,722.55","174,708,829.93","190,467,284.28","186,568,989.62","184,461,408.96","180,583,567.84","206,807,398.13"
递延所得税负债,,,,,,,,,,"147,353.42","81,162.51",
在建工程,"2,065,682.93","56,805,903.20","107,490,695.96","126,216,808.17",,"13,924,820.13","2,014,919.44","1,913,456.62","1,908,494.32","4,448,507.62","42,675,287.37","26,082,603.14"
其他非流动负债,,,,,,,,,,,,
工程物资,,,"299,335.21",,,,,,,,,
非流动负债合计,"200,000.00","35,072,165.57","67,711,557.39","62,906,740.76","49,478,800.00","50,051,177.93","70,000.13","60,000.14","50,000.15","187,353.58","111,162.68","20,000.18"
固定资产清理,,,,,,,,,,,,
负债合计,"423,811,435.28","583,617,809.73","586,524,688.48","680,642,146.91","734,557,700.00","860,942,481.75","430,534,728.79","622,845,453.78","725,335,985.85","1,102,385,541.59","891,734,481.84","1,172,817,989.79"
生产性生物资产,,,,,,,,,,,,
实收资本(或股本),"225,000,000.00","337,500,000.00","337,500,000.00","337,500,000.00",,"400,010,000.00","400,010,000.00","400,010,000.00","400,010,000.00","400,010,000.00","400,010,000.00","480,012,000.00"
油气资产,,,,,,,,,,,,
资本公积,"16,006,937.43","16,006,937.43","16,006,937.43","16,006,937.43",,"468,006,661.96","468,006,661.96","468,006,661.96","468,006,661.96","468,006,661.96","468,006,661.96","388,004,661.96"
无形资产,"79,712,754.26","83,680,655.68","80,360,434.82","101,067,824.47",,"99,716,126.36","99,102,153.40","98,391,512.08","101,341,142.64","100,878,165.33","100,047,508.48","99,489,487.90"
盈余公积,"37,354,138.22","63,150,607.76","80,625,424.63","80,625,424.63",,"101,428,723.05","101,428,723.05","101,428,723.05","101,428,723.05","121,490,252.42","121,490,252.42","121,490,252.42"
开发支出,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,
商誉,,,,,,,,,,,,
未分配利润,"312,461,234.54","364,332,048.21","520,050,625.84","507,570,484.80",,"604,885,938.47","628,089,325.48","574,307,526.44","625,967,960.81","665,228,251.46","696,890,463.12","702,503,589.39"
长期待摊费用,,"174,138.51",,"361,143.86",,"310,680.02","285,448.10","260,216.18","234,984.26","209,752.34","184,520.42","325,383.52"
少数股东权益,,,,,,,,,,,,
递延所得税资产,"5,689,319.36","8,545,047.46","8,558,185.64","9,294,974.08",,"13,132,165.32","13,121,883.70","12,116,871.30","12,445,900.87","15,286,431.58","14,952,344.36","16,325,015.10"
外币报表折算价差,,,,,,,,,,,,
其他非流动资产,"702,378.00","1,345,367.84","30,588,014.20","28,583,034.77",,"21,698,928.00","20,265,278.00","2,622,743.34","2,576,579.76","3,846,885.98","1,262,070.77","8,862,927.19"
非正常经营项目收益调整,,,,,,,,,,,,
非流动资产合计,"135,589,118.01","199,188,669.48","274,890,911.69","324,352,590.12","329,128,600.00","329,872,732.69","325,086,660.51","320,918,848.57","319,830,116.73","323,926,683.80","354,288,785.93","366,474,686.44"
所有者权益(或股东权益)合计,"598,449,278.84","792,737,432.04","968,680,765.52","957,668,095.51","1,009,667,700.00","1,593,893,691.69","1,615,937,501.60","1,563,386,795.04","1,615,710,108.73","1,681,615,739.23","1,716,354,258.12","1,725,175,238.08"
资产总计,"1,022,260,714.12","1,376,355,241.77","1,555,205,454.00","1,638,310,242.42","1,744,225,400.00","2,454,836,173.44","2,046,472,230.39","2,186,232,248.82","2,341,046,094.58","2,784,001,280.82","2,608,088,739.96","2,897,993,227.87"
负债和所有者(或股东权益)合计,"1,022,260,714.12","1,376,355,241.77","1,555,205,454.00","1,638,310,242.42",,"2,454,836,173.44","2,046,472,230.39","2,186,232,248.82","2,341,046,094.58","2,784,001,280.82","2,608,088,739.96","2,897,993,227.87"
