科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"84,330,667.16","124,074,139.30","153,081,014.80","90,403,814.69","743,693,725.37","668,853,019.28","669,291,036.26","604,620,196.47","692,998,713.08","623,524,461.90","678,561,777.57","665,785,922.75","739,781,541.83","631,502,712.77","540,775,002.33","431,325,020.86","510,230,621.85","317,973,018.79","338,845,529.69","388,569,093.30","405,608,845.05","315,505,315.28","362,940,913.66","235,910,379.47","426,501,804.77","318,645,892.66","341,757,119.89","304,117,327.07","472,983,512.02","695,738,786.96","727,874,327.17","922,852,717.06","1,146,802,248.84","1,784,479,376.49","1,432,746,300.46","1,042,897,795.23","1,930,471,164.08","1,737,569,862.83","1,602,790,004.34"
短期借款,"77,056,901.19","90,294,381.56","71,733,560.78","55,006,379.15","26,290,835.15","22,643,621.40","3,552,071.57","1,987,831.87","3,363,578.67","8,331,855.51","8,161,324.99","6,052,705.43","15,485,907.63","6,340,239.25","26,286,813.73","6,243,762.75","71,619,450.24","20,560,699.44","20,544,524.07","137,333,454.79","116,027,069.10","136,889,984.04","254,706,664.04","137,091,461.75","136,261,000.00","153,517,730.21","240,297,034.88","197,322,482.49","275,358,452.98","438,707,840.78","303,785,398.97","327,410,943.99","259,730,363.46","195,794,470.70","184,337,235.27","329,682,699.40","1,077,701,861.06","1,140,069,385.98","1,366,782,104.54"
交易性金融资产,"20,000,000.00",,,,,,,,,,,,,,,,,,,,,,"20,000,000.00",,,,,,,,,,,,,,"6,574,456.29","3,595,574.61","10,884,936.50"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,291,604.98","4,291,604.99","1,384,477.48"
应收票据,"2,984,328.72",,,"549,597.09","100,000.00",,,,"220,000.00",,,,"818,491.41",,,,"10,561,879.93","446,010.16",,"1,068,001.66","9,758,214.20","5,756,216.78","2,528,161.02","3,584,609.57","1,336,596.49","991,837.41","350,000.00","31,426.09","111,614.24","84,187.60","760,031.54","18,557,797.19","68,049,542.19","67,196,484.91","67,072,837.06","1,316,130.66","3,631,604.89","936,838.01","2,696,820.59"
应付票据,,"12,116,125.62","24,297,591.67","30,311,205.79","40,143,121.63","47,214,778.45","79,056,422.86","118,228,019.27","120,343,145.79","128,013,299.47","103,095,923.51","84,476,584.24","128,855,205.76","142,706,069.28","166,906,133.64","216,708,513.52","184,318,250.51","163,450,643.23","271,843,504.02","296,645,443.37","237,569,664.99","228,766,950.65","163,733,344.93","174,536,434.83","416,125,205.56","473,032,566.65","437,327,122.25","469,312,059.84","577,859,305.63","713,933,458.26","955,230,883.86","1,292,542,780.07","1,382,948,247.18","1,168,228,169.87","996,984,709.76","643,418,753.64","253,587,637.03","261,332,974.56","246,637,608.67"
应收账款,"72,320,822.62","73,222,565.66","76,289,058.07","72,229,147.52","96,482,454.47","100,624,989.87","143,129,672.17","130,745,495.43","140,556,906.67","127,169,482.61","118,885,119.51","145,393,694.42","151,471,263.36","175,183,096.62","225,225,977.72","310,977,143.25","268,323,709.66","348,693,647.94","373,041,140.72","352,760,437.27","324,684,085.53","380,653,534.89","386,335,608.40","375,492,877.47","374,689,026.89","371,745,153.69","312,347,518.54","294,476,899.90","262,434,300.08","266,462,059.93","317,654,361.71","342,494,109.79","329,958,756.53","363,048,900.95","406,188,602.32","394,939,288.72","422,373,043.26","474,661,538.41","726,781,470.38"
应付账款,"45,120,980.79","53,811,609.18","86,010,097.03","50,927,648.92","79,870,740.70","69,415,943.41","87,581,926.05","137,041,911.83","135,248,515.63","86,924,324.24","111,789,328.74","116,368,130.08","126,846,113.13","98,692,365.25","135,464,677.73","126,848,159.37","135,130,771.25","168,091,402.66","187,501,540.25","177,118,068.48","237,167,466.58","197,950,549.13","214,650,257.57","194,958,297.99","179,251,910.42","180,417,730.37","132,956,732.98","138,228,807.29","173,793,470.31","168,338,174.46","192,188,116.42","167,927,955.87","187,095,663.05","191,516,839.08","184,785,480.36","231,364,460.76","320,165,883.49","256,841,513.00","398,944,042.86"
预付款项,"42,106,329.16","26,905,745.72","29,768,654.91","32,363,581.59","38,905,495.00","58,802,599.06","60,640,527.84","92,401,781.61","76,398,050.90","51,398,595.81","45,937,997.21","70,313,200.23","45,930,919.43","77,486,252.28","65,596,730.28","47,965,088.52","18,886,781.59","24,409,690.30","42,051,192.28","59,050,457.63","49,042,574.43","59,782,445.11","79,083,751.99","50,508,765.88","82,698,597.34","171,056,609.60","110,324,063.74","103,239,844.23","107,103,706.82","181,082,729.39","83,093,118.40","248,096,240.47","127,184,374.86","237,900,591.82","185,859,532.46","315,964,481.80","157,369,494.12","251,179,544.72","308,736,598.59"
预收款项,"26,974,889.76","22,844,699.83","17,602,248.45","20,960,492.73","13,745,564.21","9,886,142.48","15,731,802.42","15,230,214.53","13,653,698.88","14,373,956.91","12,811,325.13","16,079,857.19","33,235,689.75","52,817,490.05","9,208,617.71","30,629,762.26","15,520,849.94","15,878,644.94","23,859,472.26","26,722,850.24","20,574,088.59","70,023,757.87","50,792,349.72","24,570,564.76","5,600,598.44","12,590,768.47","8,641,016.10","9,127,351.40","19,125,533.90","19,236,317.34","65,173,020.34","123,485,446.74","95,927,466.74","78,950,969.57","101,675,847.04","95,646,879.81","73,952,273.27","77,643,809.45","77,110,049.41"
