科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"173,409,984.89","291,975,059.07","127,830,072.05","390,611,279.65","218,990,053.92","388,332,817.56","563,149,145.16","369,440,482.77","880,167,787.29","1,387,941,321.89","1,724,816,960.48","466,165,218.33","1,030,061,435.03","1,579,980,785.72","2,394,296,084.63","725,305,512.35","1,654,178,062.00","2,711,071,856.59","3,261,851,774.54","1,160,713,867.67","2,174,377,112.32","3,416,314,815.52","3,955,149,504.29","1,363,958,564.11","3,177,588,060.61","4,560,658,692.85","6,915,654,874.92","2,005,503,973.47","4,421,322,728.81","6,753,191,184.56","7,852,290,622.65","3,718,062,040.29","6,495,248,156.31","9,436,275,968.44"
取得子公司及其他营业单位支付的现金净额,,"860,000.00",,,,,,,,,,,,,,,,,"-10,108,672.21",,,,"10,200,000.00",,,,,,"-4,719,881.26","443,221,991.95",,,,
收到的税费返还,"1,629,990.21","510,882.29",,"69,003.53","759,253.41","759,253.41","759,253.41",,,"1,569,047.90",,,,"22,152.78","1,629,528.02","181,703.35","181,703.35","6,923,008.19","455,222.28","867,057.99","4,202,720.46","49,974,080.03","66,527,853.88","64,166,061.99","101,990,185.03","102,495,669.29","102,954,054.88","352,874.41","6,428,319.16","26,044,562.62","30,350,696.17","3,659,864.30","16,165,300.60","21,677,778.83"
支付其他与投资活动有关的现金,,,,,,,,,"26,000,000.00",,,,,,,,,,,,,,"50,000,000.00",,,,,,,,,"2,550,000,000.00","2,550,000,000.00","3,258,075,500.00"
收到其他与经营活动有关的现金,"1,906,208.42","5,628,916.18","32,819.07","4,877,191.84","1,310,997.61","2,638,003.21","7,217,499.38","1,240,772.98","7,197,823.95","7,522,536.30","14,890,835.00","2,169,011.38","2,771,125.40","15,344,646.62","39,864,897.87","9,437,045.52","25,397,275.95","75,259,842.75","77,717,831.11","152,549,369.21","71,958,467.60","32,555,736.94","36,912,143.80","72,710,651.23","25,792,301.83","38,679,476.61","53,696,344.18","43,907,130.10","69,312,837.34","84,997,659.66","121,211,047.76","51,547,257.33","84,142,746.87","132,703,084.39"
投资活动现金流出小计,"57,249,507.28","151,248,382.76","13,712,869.66","15,681,648.71","19,909,760.88","57,045,578.78","69,823,201.88","31,454,681.09","125,012,902.34","186,550,134.81","525,348,782.18","81,673,224.66","207,442,239.81","394,091,071.71","809,903,207.72","638,731,831.26","1,049,592,024.14","1,717,909,739.85","1,872,823,644.30","239,749,428.39","666,500,635.17","523,400,154.40","328,191,735.08","77,957,107.56","228,814,948.50","310,975,491.49","368,477,360.88","421,036,067.90","572,635,626.59","1,182,695,893.14","711,924,518.85","2,683,783,595.95","3,494,011,985.60","5,919,018,630.42"
经营活动现金流入小计,"176,946,183.52","298,114,857.54","127,862,891.12","395,557,475.02","221,060,304.94","391,730,074.18","571,125,897.95","370,681,255.75","887,365,611.24","1,397,032,906.09","1,739,707,795.48","468,334,229.71","1,032,832,560.43","1,595,347,585.12","2,435,790,510.52","734,924,261.22","1,679,757,041.30","2,793,254,707.53","3,340,024,827.93","1,314,130,294.87","2,250,538,300.38","3,498,844,632.49","4,058,589,501.97","1,500,835,277.33","3,305,370,547.47","4,701,833,838.75","7,072,305,273.98","2,049,763,977.98","4,497,063,885.31","6,864,233,406.84","8,003,852,366.58","3,773,269,161.92","6,595,556,203.78","9,590,656,831.66"
投资活动产生的现金流量净额,"-39,838,262.49","-151,248,382.76","14,207,130.34","12,238,351.29","-19,909,760.88","-56,731,163.51","-69,823,201.88","-31,454,681.09","-125,012,902.34","-186,550,134.81","-524,888,880.57","-81,673,224.66","-207,442,239.81","-394,091,071.71","-806,143,207.72","-638,731,831.26","-1,049,592,024.14","-1,717,859,339.85","-1,872,773,244.30","-239,749,428.39","-666,503,735.17","-523,384,154.40","-322,931,559.87","-77,957,107.56","-178,814,948.50","-260,957,991.49","-318,457,660.88","-421,036,067.90","-930,719,190.96","-1,050,866,137.97","-573,395,821.80","-2,683,782,955.95","-3,362,737,281.18","-3,573,586,051.07"
购买商品、接受劳务支付的现金,"149,805,499.38","226,608,831.63","82,316,003.29","302,988,591.59","187,009,032.46","299,211,502.86","375,060,723.76","328,957,032.05","752,071,376.54","1,216,151,842.97","1,415,988,027.04","346,095,198.35","790,814,371.48","1,231,366,342.08","1,816,388,034.39","560,667,632.38","1,146,652,580.16","1,984,237,003.83","2,396,655,092.06","901,447,457.97","1,397,417,369.99","2,382,499,052.05","2,686,633,286.23","1,077,089,132.49","2,426,531,378.45","3,452,939,476.00","5,041,361,317.00","1,449,342,036.13","3,544,903,932.27","5,500,799,386.04","6,466,444,729.74","1,993,445,895.18","3,723,045,404.06","5,707,720,900.75"
吸收投资收到的现金,"61,391,405.98","260,000.00","50,000,000.00","50,000,000.00",,"554,469,600.00","554,469,600.00",,,"17,000,000.00","2,000,000.00",,"1,591,625,000.00","1,591,625,000.00","1,591,625,000.00","65,837,323.23","91,378,282.07","91,543,061.76","163,958,749.77","43,637,819.72","58,331,319.81","1,105,199,949.61","125,086,184.31","24,460,617.65","29,460,617.65","185,082,327.70","3,102,575,455.37","16,449,916.15","67,159,309.17","4,867,159,308.21","4,937,559,236.79",,,"77,631,264.11"
