科目,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"4,564,683,127.73","6,145,262,452.80","1,638,871,800.94","3,642,563,190.59","5,550,642,460.04","6,827,873,826.81","637,716,591.98","1,693,846,611.28","3,504,928,609.40","4,710,054,880.09","1,442,213,902.17","3,817,940,603.27","5,493,998,925.06","7,560,221,088.33","1,896,148,709.19","3,832,367,553.93","5,805,340,521.23","7,690,880,840.24","2,124,951,149.23","3,838,041,613.19","6,370,311,835.96","8,488,329,519.31","2,241,524,421.74","4,634,584,435.90","6,696,940,716.14","8,772,053,616.63","1,939,479,893.57","3,820,641,456.90","5,687,886,533.40","8,030,507,091.87","2,522,204,959.20","5,136,943,566.53","8,254,222,094.47","10,804,232,774.89","1,559,919,832.24","4,455,155,853.17","6,971,356,848.24","9,431,300,829.54","2,421,855,084.95","5,105,438,379.17","7,674,297,182.65","9,440,630,622.69","1,649,959,143.91","3,636,345,589.60","5,288,230,766.28","7,434,092,286.64","2,163,787,014.10"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"27,111,910.50","50,513,351.87","3,639,084.42","24,797,417.40","24,799,102.79","54,576,886.95","17,403,525.78","25,912,817.28","28,735,211.61","29,649,822.69","684,191.27","1,179,219.51","7,385,942.78","14,612,173.35","1,059,168.52","1,568,254.26","1,914,540.16","3,599,964.56","642,875.13","1,515,217.13","2,199,656.13","2,890,367.94","747,661.92","1,469,287.58","1,898,640.41","2,202,189.57","623,182.76","698,179.27","698,179.27","1,368,064.16","566,768.48","768,122.79","1,081,872.82","1,262,081.41","178,066.88","217,143.55","217,143.55","459,595.45","54,647.14","54,647.14","107,349.13","229,226.54",,"30,506.39","33,735.10","33,735.10","572,892.58"
支付其他与投资活动有关的现金,"52,000.00","52,000.00",,,,,"33,426.00","33,426.00","33,426.00","33,426.00",,,,,,,"127,040.00","13,543,401.35",,,,"81,302,473.69",,"502,460,997.63","502,460,997.63","170,000,000.00",,,"160,279,808.09","268,329,350.09","28,500,000.00","28,500,000.00","28,500,000.00","48,500,000.00","151,176,052.92","202,433,613.84","202,433,613.84",,"95,000,000.00","104,200,000.00","145,200,000.00","145,200,000.00",,,,,"15,650,119.89"
收到其他与经营活动有关的现金,"122,767,769.27","118,469,210.03","122,978,017.14","253,366,261.19","308,352,757.05","387,188,189.49","45,473,247.11","184,063,538.45","218,831,509.40","253,435,654.12","52,173,880.62","100,260,603.84","164,361,098.42","169,539,643.31","45,024,224.14","114,807,553.27","133,862,955.01","253,183,017.85","166,655,645.45","231,158,990.67","356,436,154.63","412,169,434.34","56,244,726.00","124,890,743.67","245,913,253.83","263,318,011.01","101,018,408.11","176,074,830.03","255,448,898.58","444,959,922.72","31,293,136.70","75,857,632.34","167,573,762.59","200,663,682.58","57,144,124.71","127,957,028.57","229,613,598.87","264,105,887.99","165,782,633.82","191,411,404.18","206,228,992.74","395,030,829.60","41,340,957.59","55,862,653.92","87,719,432.46","233,479,247.04","46,746,075.25"
投资活动现金流出小计,"487,917,412.80","716,315,450.21","85,299,893.34","1,693,387,252.41","1,919,819,491.97","2,489,254,033.24","224,472,866.67","713,368,135.02","973,540,063.67","1,203,928,714.61","264,856,275.38","479,820,048.19","625,751,908.74","750,421,159.94","107,073,637.43","261,864,404.59","380,599,944.75","614,024,727.60","335,121,307.36","656,024,919.79","821,695,915.57","1,171,757,055.61","1,051,535,268.06","1,612,016,783.27","1,818,911,563.20","1,782,023,144.42","336,112,273.94","994,811,739.02","1,368,349,031.94","1,562,507,205.90","518,813,934.32","822,182,415.08","1,381,960,903.66","1,728,864,091.18","176,499,198.15","541,089,190.24","697,050,756.36","1,068,887,086.58","586,892,354.70","2,109,202,488.99","2,387,831,659.34","4,101,615,553.88","151,298,027.92","215,159,709.71","487,781,139.25","931,003,866.87","263,071,835.41"
经营活动现金流入小计,"4,714,562,807.50","6,314,245,014.70","1,765,488,902.50","3,920,726,869.18","5,883,794,319.88","7,269,638,903.25","700,593,364.87","1,903,822,967.01","3,752,495,330.41","4,993,140,356.90","1,495,071,974.06","3,919,380,426.62","5,665,745,966.26","7,744,372,904.99","1,942,232,101.85","3,948,743,361.46","5,941,118,016.40","7,947,663,822.65","2,292,249,669.81","4,070,715,820.99","6,728,947,646.72","8,903,389,321.59","2,298,516,809.66","4,760,944,467.15","6,944,752,610.38","9,037,573,817.21","2,041,121,484.44","3,997,414,466.20","5,944,033,611.25","8,476,835,078.75","2,554,064,864.38","5,213,569,321.66","8,422,877,729.88","11,006,158,538.88","1,617,242,023.83","4,583,330,025.29","7,201,187,590.66","9,695,866,312.98","2,587,692,365.91","5,296,904,430.49","7,880,633,524.52","9,835,890,678.83","1,691,300,101.50","3,692,238,749.91","5,375,983,933.84","7,667,605,268.78","2,211,105,981.93"
投资活动产生的现金流量净额,"-485,112,412.80","-716,315,450.21","-85,299,893.34","-1,693,387,252.41","-1,919,819,491.97","-2,489,254,033.24","-224,472,866.67","-713,368,135.02","-973,540,063.67","-1,203,928,714.61","-264,856,275.38","-479,820,048.19","-625,751,908.74","-735,821,159.94","-107,073,637.43","-261,864,404.59","-380,599,944.75","-614,024,727.60","-334,067,804.87","-643,229,660.28","-803,860,656.06","-1,129,694,695.91","-549,947,286.75","-1,016,722,753.14","-889,247,173.79","-1,166,253,588.26","-114,492,547.91","-413,709,547.24","-776,620,540.16","-697,148,106.62","-348,609,838.43","-219,128,420.56","-356,262,032.98","-583,758,932.65","34,432,516.15","26,654,934.33","134,992,380.03","-131,460,028.86","-125,600,937.71","-1,361,833,724.80","-1,237,164,775.83","-1,623,859,642.66","1,149,128,903.60","1,474,787,948.83","1,476,620,793.53","1,159,193,445.97","354,711,779.49"
购买商品、接受劳务支付的现金,"537,020,575.10","793,505,790.54","311,295,259.94","578,244,310.59","1,133,838,735.56","1,398,190,816.90","321,725,630.93","1,250,948,267.05","3,119,907,185.56","3,484,846,713.47","1,419,437,837.59","3,010,788,427.01","4,327,905,106.71","5,543,413,891.35","1,730,855,369.98","3,074,072,318.36","4,596,916,399.65","5,805,056,982.62","1,537,055,059.58","2,874,647,683.87","4,602,578,736.45","6,024,343,131.85","1,778,828,184.52","3,669,788,781.23","5,427,203,963.21","7,185,917,918.59","1,700,221,759.28","3,218,983,271.33","4,848,460,898.86","6,932,222,020.81","2,201,410,595.45","4,577,915,454.94","7,429,730,642.31","9,549,570,770.80","1,489,640,848.67","4,063,661,148.07","6,380,993,038.40","8,561,790,950.90","2,345,142,217.27","4,560,922,349.49","7,102,188,276.09","7,983,077,785.80","1,855,395,698.09","3,207,261,741.47","4,504,231,533.45","5,512,889,567.51","1,574,868,986.56"
吸收投资收到的现金,"107,541,944.21","107,541,944.21",,"8,745,281,460.00","8,745,281,460.00","8,745,281,460.00",,,,,,"41,160,000.00","52,500,000.00","52,500,000.00","52,500,000.00","52,500,000.00","52,500,000.00","52,500,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
