科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"144,842,154.53","192,224,959.66","206,140,342.82","53,734,042.18","102,126,335.69","133,394,602.49","168,232,374.76","26,339,108.71","52,968,897.15","86,921,441.52","106,933,127.74","20,735,804.07","42,243,048.62","76,066,167.57","94,832,084.99","13,852,426.26","27,026,899.00","45,635,390.32","59,031,657.27","13,578,848.25","30,899,436.06","48,646,029.83","70,104,954.20","14,183,816.04","38,797,457.18","62,348,673.67","111,685,840.09","36,360,876.54","76,944,697.21","123,085,389.88","184,467,019.32","39,190,612.47","102,625,317.40"
二、营业利润,"56,827,530.95","77,514,188.42","77,158,058.25","19,573,547.81","40,830,979.47","51,820,218.98","46,202,863.80","4,416,664.22","4,414,094.05","12,712,411.03","4,234,603.33","5,446,246.84","7,045,544.07","15,529,676.74","11,533,065.81","-1,289,868.33","-4,905,730.20","-6,606,831.88","-18,487,220.25","-3,420,826.05","-2,162,393.34","-2,878,999.45","-12,852,913.27","-4,831,112.31","-3,161,662.98","1,033,961.23","-5,739,540.94","440,362.91","582,042.13","2,187,716.87","6,720,678.59","3,289,103.48","13,826,051.49"
减:营业成本,"70,897,617.72","78,796,252.09","87,536,571.10","21,523,720.22","41,633,441.14","55,646,577.65","73,594,924.81","14,148,571.94","26,888,360.17","43,666,213.51","55,867,695.52","10,009,622.52","21,450,886.40","38,521,416.57","48,689,480.94","6,551,857.51","12,098,349.87","19,852,676.13","26,295,584.37","5,479,241.46","13,710,847.00","21,787,737.57","31,469,646.63","5,944,394.04","18,565,625.20","31,157,067.34","59,903,529.01","20,742,718.90","45,649,592.68","75,526,095.46","116,200,278.32","23,874,525.07","63,546,946.86"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"151,023.28","1,831,609.19","2,120,678.66","903,005.99","1,225,430.85","1,507,944.40","1,758,778.75","323,959.80","641,457.57","915,307.49","1,056,071.44","94,178.59","166,245.92","461,267.58","597,597.95","168,042.84","490,101.38","694,487.41","935,603.11","197,467.70","360,157.64","534,110.60","819,315.18","166,969.96","394,302.43","533,121.51","2,045,955.26","654,736.45","2,779,232.03","3,555,204.87","4,709,252.54","639,861.99","1,650,793.54"
营业外收入,"2,005.00","2,006,618.41","19,803,084.45","8,783,443.60","14,385,502.53","16,695,502.53","20,820,250.48","9,324,109.27","20,440,371.26","31,448,378.67","48,578,297.06","2,366,002.19","6,104,410.96","9,472,286.80","16,863,246.93","1,697,869.46","3,371,541.02","6,026,330.52","7,744,950.52","1,554,009.98","3,302,258.08","45,099,608.84","51,765,634.81","2,310,845.17","7,409,310.26","10,938,876.30","17,037,303.54","2,608,181.66","4,983,717.65","7,525,498.96","391,617.31","100,000.00","88,916.39"
销售费用,"3,705,176.30","10,609,695.80","4,959,454.92","1,180,351.24","2,343,260.34","3,289,605.69","4,535,176.84","2,343,386.20","3,747,737.52","4,750,548.78","3,811,459.58","477,689.14","899,042.42","1,480,254.65","1,899,037.06","309,974.09","751,470.36","1,228,789.26","2,200,050.19","324,422.97","866,427.14","1,232,227.65","1,741,468.74","217,716.34","703,598.90","1,091,858.72","1,927,160.91","928,625.37","2,036,464.56","3,240,618.47","7,339,752.88","2,035,269.32","5,311,531.36"
减:营业外支出,"100,000.00",400.00,,,,,"20,186.98",200.00,"1,771.03","2,271.03","2,271.03",269.99,369.99,"1,169.99","62,528.15","2,500.00","46,079.98","244,961.91","2,010,780.05","30,227.69",400.00,"1,112,135.83","1,137,335.83","13,600.00","29,852.79","59,356.03","108,140.93","22,025.00","94,352.49","107,352.49","273,114.31","17,149.51","42,749.51"
管理费用,"11,355,357.07","24,388,926.58","33,830,603.31","10,369,140.69","17,055,861.02","26,703,229.90","55,440,232.95","13,084,706.67","30,757,904.12","46,558,064.97","71,285,818.84","12,286,076.37","28,102,555.97","41,977,174.97","60,115,788.60","12,926,620.45","29,851,634.59","46,487,811.26","65,664,317.73","16,688,853.01","32,277,659.07","49,866,371.38","74,837,713.62","20,239,196.01","35,243,327.20","50,838,866.53","77,399,046.03","15,361,821.79","36,909,711.02","54,696,007.86","83,795,173.16","17,760,586.81","39,911,169.67"
其中:非流动资产处置净损失,,,,,,,,,,,,,,,"44,219.66",,"43,579.98","45,548.39","43,745.83",,,,,,"2,152.79","2,152.79","19,240.93",,400.00,400.00,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"1,864,351.66","-780,556.19","456,102.04","-205,753.03","-991,595.85","-5,605,069.34","-13,517,106.03","-7,978,130.12","-13,853,210.69","-22,089,418.08","-29,755,725.64","-7,579,959.39","-15,272,483.39","-21,918,535.62","-27,785,706.11","-4,674,893.02","-10,809,126.66","-15,521,473.16","-23,609,788.60","-5,636,106.72","-12,222,629.64","-14,120,587.00","-12,397,340.80","-361,143.27","-620,930.73","-854,371.18","-1,206,708.08","-103,928.19","-218,854.48","-57,625.13","-247,405.86","48,342.16","-187,980.51"
三、利润总额,"56,729,535.95","79,520,406.83","96,961,142.70","28,356,991.41","55,216,482.00","68,515,721.51","67,002,927.30","13,740,573.49","24,852,694.28","44,158,518.67","52,810,629.36","7,811,979.04","13,149,585.04","25,000,793.55","28,333,784.59","405,501.13","-1,580,269.16","-825,463.27","-12,753,049.78","-1,897,043.76","1,139,464.74","41,108,473.56","37,775,385.71","-2,533,867.14","4,217,794.49","11,913,481.50","11,189,621.67","3,026,519.57","5,471,407.29","9,605,863.34","6,839,181.59","3,371,953.97","13,872,218.37"
资产减值损失,"41,097.55","-135,156.23","78,874.54","390,029.26","28,958.72","32,095.21","217,503.64",-50.00,"372,554.41","408,313.82","433,204.67","1,950.00","-148,742.77","19,104.46","16,276.33","-28,348.38","-238,156.64","-288,425.00","7,107,768.11","-54,204.12","-144,798.38","-337,111.28","1,932,652.08","70,149.38","66,287.23","70,456.60","5,861,130.48","5,275.38","280,058.63","144,515.50","3,370,042.74","-151,922.27","-117,932.06"
减:所得税,"10,595,910.06","9,629,007.35","8,146,202.64","2,707,999.67","5,150,693.81","6,430,177.76","2,737,824.32","283,198.13","585,938.91","3,713,117.21","4,935,014.58","1,995,812.02","2,725,490.53","4,818,137.42","3,053,306.06","375,342.70","529,807.28","661,098.48","-2,759,485.90","379,907.40","459,862.22","2,058,277.93","5,220,520.47","812,376.18","1,136,788.40","3,768,227.89","4,137,532.02","975,157.93","1,690,020.21","2,726,294.46","338,083.77","403,860.62","2,010,788.54"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,,,,,,,,,,,,,"4,191.78","233,455.59","110,958.90","211,643.70","211,643.70","1,074,657.39",,"1,785,833.43","7,437,719.64","15,445,587.98","7,262,354.11","12,393,090.07","21,522,287.08","28,504,732.58","1,668,736.07","9,714,180.95","14,252,822.16","24,143,141.42","3,452,752.33","13,988,679.89"
四、净利润,"46,133,625.89","69,891,399.48","88,814,940.06","25,648,991.74","50,065,788.19","62,085,543.75","64,265,102.98","13,457,375.36","24,266,755.37","40,445,401.46","47,875,614.78","5,816,167.02","10,424,094.51","20,182,656.13","25,280,478.53","30,158.43","-2,110,076.44","-1,486,561.75","-9,993,563.88","-2,276,951.16","679,602.52","39,050,195.63","32,554,865.24","-3,346,243.32","3,081,006.09","8,145,253.61","7,052,089.65","2,051,361.64","3,781,387.08","6,879,568.88","6,501,097.82","2,968,093.35","11,861,429.83"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,,,,,"159,919.79","-129,384.90","-1,046,074.50","-1,879,520.00","-179,893.48","-30,105.74","-45,889.13"
归属于母公司所有者的净利润,"46,133,625.89","69,891,399.48","88,814,940.06","25,648,991.74","50,065,788.19","62,085,543.75","64,265,102.98","13,457,375.36","24,266,755.37","40,445,401.46","47,875,614.78","5,847,113.24","10,568,752.42","20,415,636.52","25,569,724.44","130,151.20","-1,925,270.72","-1,292,323.05","-10,029,719.23","-2,394,329.43","428,133.21","38,720,733.82","32,048,918.72","-3,346,243.32","3,081,006.09","8,145,253.61","7,052,089.65","2,051,361.64","3,781,387.08","6,879,568.88","6,501,097.82","2,968,093.35","11,861,429.83"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,,"-30,946.22","-144,657.91","-232,980.39","-289,245.91","-99,992.77","-184,805.72","-194,238.70","36,155.35","117,378.27","251,469.31","329,461.81","505,946.52",,,,,,,,,,
