科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"1,349,527,838.08","1,852,493,017.76","2,629,667,615.90","1,574,876,442.08","2,198,377,717.76","3,068,162,274.81","939,042,565.20","1,788,429,758.42","2,823,860,350.79","3,972,776,145.86","1,085,863,060.23","2,023,832,116.40","3,291,755,987.69","4,619,611,191.90","1,136,223,904.13","2,344,286,630.88","3,678,691,432.53","5,167,187,199.63","1,139,464,169.52","2,346,153,162.25","3,684,624,034.53","5,376,977,764.67","1,303,848,770.62","2,479,458,658.56","4,239,265,421.02","6,301,121,663.90","1,491,868,145.16","3,194,297,585.08","5,235,429,410.74","7,617,980,446.75"
二、营业利润,"87,389,006.99","194,886,610.76","294,187,221.97","180,249,291.68","264,743,053.04","331,685,508.87","127,728,806.42","202,514,687.54","333,818,472.76","431,331,982.79","151,761,457.15","218,601,911.30","370,715,105.93","564,988,113.77","176,401,476.46","330,140,346.61","525,481,862.60","749,481,750.08","113,657,788.37","282,313,177.01","451,831,640.88","662,827,959.40","112,577,984.77","234,002,080.71","393,064,430.04","575,309,009.02","121,858,158.45","222,502,637.55","363,481,954.71","603,184,358.06"
减:营业成本,"1,139,653,337.93","1,500,257,276.97","2,122,995,228.79","1,260,342,199.31","1,730,399,526.44","2,399,703,311.66","730,578,528.69","1,412,925,563.37","2,231,368,075.96","3,160,564,872.12","844,316,226.49","1,616,894,459.78","2,621,933,447.64","3,611,326,069.32","854,441,356.14","1,806,188,995.96","2,841,415,439.32","3,963,976,521.06","924,998,683.63","1,856,435,587.73","2,908,749,401.24","4,259,821,035.14","996,622,264.03","1,881,333,614.39","3,270,621,577.47","4,863,675,722.20","1,185,494,307.01","2,558,008,425.02","4,180,267,247.32","6,048,209,893.26"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"5,689,083.01","7,790,322.23","8,307,895.22","7,028,129.74","10,360,465.88","12,274,501.27","8,726,377.95","11,927,308.86","16,338,085.27","20,202,349.08","5,219,124.57","8,595,934.01","13,723,068.73","19,574,738.85","6,523,306.87","12,091,081.95","19,328,793.07","27,860,217.16","6,385,988.64","11,671,334.95","18,158,339.21","27,824,348.31","65,311,794.17","111,474,309.93","181,123,116.87","289,611,680.82","80,417,274.48","137,957,124.30","233,666,799.97","342,082,232.02"
营业外收入,"5,974,560.98","11,006,206.83","12,653,376.46","6,422,832.64","8,693,051.07","46,513,333.86","7,833,148.94","24,191,836.09","121,971,417.73","150,038,981.59","4,917,577.78","27,613,087.47","37,724,922.24","58,910,105.24","5,935,608.61","17,546,157.92","39,864,205.23","54,186,995.23","7,729,314.21","13,513,245.60","18,574,634.62","45,334,812.25","8,058,829.94","14,849,036.65","26,865,692.45","75,488,698.31","8,433,459.98","64,167,792.67","80,987,853.05","4,949,551.43"
销售费用,"59,602,071.90","70,057,113.18","84,526,774.48","34,575,529.11","54,894,212.28","132,707,425.42","39,828,620.84","82,937,985.09","132,566,561.11","192,076,861.19","46,252,343.29","94,657,960.63","149,024,896.05","213,758,510.86","54,232,439.41","114,679,515.99","175,839,154.93","250,681,109.55","51,500,522.65","120,404,367.70","198,864,004.10","295,469,550.60","68,743,750.96","142,283,156.69","220,857,259.44","323,657,243.67","76,035,375.47","158,181,134.96","260,525,596.05","387,046,498.43"
减:营业外支出,"2,223,004.54","2,619,534.41","3,224,635.73","3,716,548.30","13,784,755.70","11,359,212.61","1,040,362.95","2,213,080.99","17,136,999.27","37,103,243.89","1,256,566.17","1,377,119.47","3,281,303.62","8,841,277.56","488,466.95","601,339.17","928,545.83","4,852,581.27","1,098,223.29","2,426,612.87","16,914,203.59","24,235,595.21","1,842,493.49","4,300,666.66","5,478,092.05","10,947,830.42","2,603,985.94","2,922,861.57","8,376,025.80","8,181,327.15"
管理费用,"43,522,313.41","62,914,144.01","88,574,431.20","55,194,146.74","89,041,915.30","130,249,289.60","28,024,484.43","59,204,284.30","91,241,795.99","128,379,468.92","32,661,892.46","67,228,547.10","103,940,830.18","160,912,840.23","33,750,958.61","70,367,472.17","110,771,048.98","160,879,718.73","41,357,315.32","82,618,406.38","126,786,854.46","175,444,342.39","48,671,735.80","103,812,366.39","158,734,190.35","227,786,960.39","59,255,062.44","122,612,442.97","189,928,921.14","254,605,762.29"
其中:非流动资产处置净损失,,,,,,"410,792.67",,"980,196.63",,"27,193,359.36",,"23,509.27",,"7,091,506.07",,,,"4,078,613.50",,"1,553,948.57",,"10,496,409.29",,"97,851.35",,"5,811,349.25",,"184,723.13",,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"14,797,725.50","11,332,787.57","30,339,608.65","25,919,148.88","37,370,548.20","46,857,588.06","4,155,746.87","14,239,994.77","13,847,425.21","31,700,010.36","6,456,728.09","15,903,686.00","31,870,913.81","44,767,644.76","13,332,637.03","30,273,995.90","46,074,705.56","61,431,741.97","12,356,877.56","25,355,073.61","29,675,473.86","44,630,499.83","16,232,544.36","27,667,782.80","36,672,917.15","46,666,351.91","17,676,967.80","38,447,745.54","59,235,839.60","90,533,477.98"
三、利润总额,"91,140,563.43","203,273,283.18","303,615,962.70","182,955,576.02","259,651,348.41","366,839,630.12","134,521,592.41","224,493,442.64","438,652,891.22","544,267,720.49","155,422,468.76","244,837,879.30","405,158,724.55","615,056,941.45","181,848,618.12","347,085,165.36","564,417,522.00","798,816,164.04","120,288,879.29","293,399,809.74","453,492,071.91","683,927,176.44","118,794,321.22","244,550,450.70","414,452,030.44","639,849,876.91","127,687,632.49","283,747,568.65","436,093,781.96","599,952,582.34"
资产减值损失,"-1,110,700.66","5,254,763.04","645,853.34","8,320,561.52","8,320,561.52","11,588,172.19",,"3,649,545.28","3,649,545.28","5,873,106.57",,"4,201,889.11","4,201,878.19","20,733,098.72",,"9,138,192.47","9,132,966.02","17,510,702.80",,"9,116,768.60","9,089,767.63","16,597,870.84","-21,583.60","9,876,527.67","9,690,838.55","12,366,877.50",,"5,838,549.91","5,838,549.91","40,456,621.61"
减:所得税,"18,665,642.49","31,684,325.61","43,315,299.09","29,412,094.38","48,524,978.44","47,358,201.66","21,940,576.80","32,192,104.83","56,541,921.11","64,174,573.54","24,835,112.25","43,320,615.50","72,811,228.64","82,726,110.53","26,095,118.27","52,232,569.08","85,292,462.65","112,173,000.12","18,634,380.67","44,522,448.44","71,309,843.08","68,001,315.56","15,580,216.13","45,215,518.16","80,906,259.89","95,697,702.83","23,972,651.48","58,767,595.63","76,337,923.64","78,869,994.81"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,"-545,000.00","-2,850.00","-1,274,250.00","431,100.00","545,000.00",,,"88,000.00","-462,700.00","210,450.00","-2,148,850.00","-435,625.00","-26,175.00"
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
