科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
筹资活动现金流入小计,,,"322,092,000.00","319,442,000.00",,,"9,831,325.68","4,900,000.00",,,,"9,313,872.42",,,,,,,,,,,,"553,036.90",,,,,,,,"146,664.68","33,032.45","63,993.69","63,993.69","97,797.12","6,899.33","308,360.08","307,850.01","307,850.01","3,120,000.00","351,390,000.00","353,087,710.93","543,690,000.00","29,000,000.00","109,000,000.00","109,000,000.00","190,000,000.00",
经营活动现金流出小计,"198,399,129.15","386,178,081.96","654,424,222.76","865,301,851.02","358,844,324.61","715,640,616.37","1,130,357,133.16","1,399,599,116.61","349,775,272.17","661,293,039.89","1,046,078,497.63","1,429,123,089.60","396,506,788.03","703,649,625.37","1,061,660,197.78","1,398,475,348.40","437,819,958.43","965,374,849.73","1,480,615,495.77","2,092,486,084.98","494,367,835.13","896,705,557.57","1,535,553,987.63","2,340,708,189.39","483,938,725.60","893,052,503.96","1,430,514,101.52","2,189,495,904.92","566,279,240.28","1,408,884,490.42","2,327,467,959.00","2,940,073,308.84","542,776,032.96","955,281,200.33","1,342,655,460.90","2,404,503,307.40","460,108,793.99","844,160,524.98","1,265,283,369.70","1,896,805,034.21","472,222,928.49","1,102,746,857.77","1,994,921,319.92","3,021,592,667.42","871,532,414.04","1,612,657,197.30","2,197,844,581.56","3,098,231,503.41","661,970,555.67"
偿还债务支付的现金,,,,,,"30,000,000.00","30,000,000.00","30,000,000.00",,,,,,"9,499,509.16","9,499,509.16","9,345,114.53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,500,000.00"
经营活动产生的现金流量净额,"-75,736,661.72","-1,885,564.95","18,148,034.72","337,543,494.58","-142,876,579.79","-48,809,529.35","62,056,659.88","131,963,625.23","-116,402,611.12","-52,154,262.18","38,240,486.15","253,245,069.12","-117,318,451.65","-199,652,188.95","-140,027,019.77","-103,748,894.81","-92,445,069.49","-26,561,819.19","269,541,667.50","472,632,441.65","-22,791,337.09","26,856,988.22","108,160,384.28","316,129,452.61","-3,576,094.96","146,694,148.03","192,962,053.76","105,325,381.16","332,962,003.58","254,521,100.64","-53,220,059.14","389,717,629.21","-370,799,528.96","-163,878,894.30","-180,908,835.59","-111,173,775.59","-149,579,315.80","192,989,995.86","127,356,972.32","191,109,844.25","-59,524,453.50","212,860,408.76","-115,713,155.55","397,203,839.39","-429,605,785.14","-575,106,083.73","-613,553,930.68","-432,332,348.62","-210,848,494.63"
分配股利、利润或偿还利息支付的现金,"3,525,200.00","4,149,203.01","9,782,883.01","10,114,083.01","335,400.00","14,533,930.00","14,533,930.00","14,383,930.00",,"91,136,864.00","91,259,364.00","91,259,364.00",,"20,907,868.80","21,299,868.80","21,021,540.14",,"41,815,737.60","41,815,737.60","41,738,049.10",,"53,290,742.40","54,616,301.65","55,739,703.33",,"23,472,172.19","23,472,172.19","24,891,726.70",,"23,478,999.69","23,478,999.69","23,771,726.70",,"40,077,061.04","40,143,108.06","40,535,108.06",,"22,301,726.70","22,301,726.70","23,036,726.70",,"86,709.58","28,004,005.06","34,318,576.53","6,773,474.17","13,779,281.82","21,699,756.16","29,873,877.63","1,320,065.84"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,,"1,880,000.00",,,"48,740.77","48,740.77",,,"134,243.49","134,243.49","134,243.49",,"151,934.01","151,934.01","151,934.01",,"197,397.79","197,397.79","197,397.79",,"45,742.06","45,742.06","45,742.06",,"26,311.63","126,311.63","126,311.63",,"26,084.13","126,084.13","126,084.13",,"46,359.99","146,359.99","146,359.99",,"25,940.28","125,940.28","125,940.28",,,"126,711.53","126,711.53",,,"100,000.00","100,000.00",
取得投资收益收到的现金,,,"2,374,380.85","2,374,380.85",,,"1,440,974.63","2,881,949.26",,,,,"1,986,740.12","2,496,228.20","2,496,228.20","5,982,435.53",,,,"5,000,000.00",,,"5,191,383.20","5,191,383.20",,,"4,957,956.60","4,957,956.60",,"5,784,958.00","5,784,958.00","5,784,958.00",,,,"6,186,685.20",,,,"8,221,435.40",,,,,"11,441,956.80","11,441,956.80","11,441,956.80","11,441,956.80",
筹资活动现金流出小计,"3,525,200.00","4,149,203.01","11,662,883.01","10,114,083.01","335,400.00","44,582,670.77","44,582,670.77","44,383,930.00",,"91,271,107.49","91,393,607.49","91,393,607.49",,"30,559,311.97","30,951,311.97","30,518,588.68",,"42,013,135.39","42,013,135.39","41,935,446.89",,"53,336,484.46","54,662,043.71","55,785,445.39",,"23,498,483.82","23,598,483.82","25,018,038.33",,"23,505,083.82","23,605,083.82","23,897,810.83",,"40,123,421.03","40,289,468.05","40,681,468.05",,"22,327,666.98","22,427,666.98","23,162,666.98",,"86,709.58","28,130,716.59","34,445,288.06","6,773,474.17","13,779,281.82","21,799,756.16","29,973,877.63","2,820,065.84"
处置固定资产、无形资产和其他长期资产收回的现金净额,"7,620.00","15,220.00","15,220.00","130,400.00",,"3,310.00","22,940.00","511,490.00","6,270.00","6,530.00","6,530.00","107,050.00",270.00,"5,370.00","5,370.00","45,170.00",,,"5,900.00","5,900.00",,"44,000.00","76,000.00","267,200.00","17,400.00","17,400.00","32,400.00","86,740.00",,"12,070.00","94,470.00","236,060.00","-9,000.00","132,750.00","145,800.00","172,960.00","31,000.00","-2,611.24","8,725,997.76","9,981,773.40","75,710.19","77,610.19","82,060.19","83,073.01",,"39,060.00","39,210.00","39,410.00",
筹资活动产生的现金流量净额,"-3,525,200.00","-4,149,203.01","310,429,116.99","309,327,916.99","-335,400.00","-44,582,670.77","-34,751,345.09","-39,483,930.00",,"-91,271,107.49","-91,393,607.49","-82,079,735.07",,"-30,559,311.97","-30,951,311.97","-30,518,588.68",,"-42,013,135.39","-42,013,135.39","-41,935,446.89",,"-53,336,484.46","-54,662,043.71","-55,232,408.49",,"-23,498,483.82","-23,598,483.82","-25,018,038.33",,"-23,505,083.82","-23,605,083.82","-23,751,146.15","33,032.45","-40,059,427.34","-40,225,474.36","-40,583,670.93","6,899.33","-22,019,306.90","-22,119,816.97","-22,854,816.97","3,120,000.00","351,303,290.42","324,956,994.34","509,244,711.94","22,226,525.83","95,220,718.18","87,200,243.84","160,026,122.37","-2,820,065.84"
处置子公司及其他营业单位收到的现金净额,,,,,,,,"4,497,161.54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-26,080.00","-22,021.13","-326,390.96","70,549.97","-7,509.45","-322,164.54","-460,938.76","-439,018.41",-828.98,"-21,764.39","-21,764.39","-21,764.39","-1,871.41","-14,016.77","-120,770.22","-228,274.50","-78,188.34","-113,719.38","-412,379.31","-980,596.26","451,076.04","-30,403.95","544,951.23","161,287.15",-2.35,"-1,504,749.13","-2,650,456.27","-2,992,368.59","288,074.83","259,522.29","-435,501.13","-753,769.87","-425,616.73","-368,739.04","219,944.28","821,285.79",,"401,625.70","681,304.18","1,650,657.43","-104,087.11","-1,074,108.52","-1,571,835.77","-3,025,758.38","-3,440,402.88","1,733,969.56","6,193,484.53","5,455,032.35","-3,718,858.80"
收到其他与投资活动有关的现金,"314,913.09","660,080.51","1,428,871.15","3,187,999.45","1,349,824.41","2,704,932.66","4,047,358.52","10,771,151.58","923,427.69","2,162,527.16","3,048,062.33","4,282,215.92","1,344,191.90","2,775,600.72","4,353,945.05","5,608,626.45","963,170.05","2,055,913.34","3,503,035.50","9,936,387.90","1,569,570.98","3,839,800.41","5,324,177.66","7,571,410.89","1,101,185.52","4,012,971.86","7,038,861.95","12,781,856.47","2,013,972.31","4,159,388.79","8,057,379.02",,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"322,533.09","675,300.51","3,818,472.00","5,692,780.30","1,349,824.41","2,708,242.66","5,511,273.15","18,661,752.38","929,697.69","2,169,057.16","3,054,592.33","4,389,265.92","3,331,202.02","5,277,198.92","6,855,543.25","11,636,231.98","963,170.05","2,055,913.34","3,508,935.50","14,942,287.90","1,569,570.98","3,883,800.41","10,591,560.86","13,029,994.09","1,118,585.52","4,030,371.86","12,029,218.55","17,826,553.07","2,013,972.31","9,956,416.79","13,936,807.02","6,021,018.00","-9,000.00","132,750.00","145,800.00","6,359,645.20","31,000.00","-2,611.24","8,725,997.76","18,203,208.80","75,710.19","77,610.19","82,060.19","83,073.01","11,441,956.80","11,481,016.80","11,481,166.80","11,481,366.80",
五、现金及现金等价物净增加额,"-79,475,019.63","-6,832,128.58","328,406,999.75","596,058,761.82","-158,064,325.53","-140,658,493.90","-48,101,632.80","6,605,948.14","-124,140,076.43","-173,102,403.84","-92,101,569.58","98,796,242.47","-145,108,980.15","-261,864,180.51","-215,697,083.54","-183,991,280.26","-118,958,527.26","-101,427,663.81","186,533,579.55","392,303,456.70","-33,588,858.25","-145,310,303.32","-62,497,339.68","134,057,719.56","-5,118,884.49","117,988,398.56","165,568,347.84","43,601,961.81","330,298,314.63","225,314,162.08","-81,212,348.89","352,778,725.55","-375,852,390.21","-210,053,554.65","-229,075,695.64","-163,738,518.27","-155,979,301.47","163,492,224.06","95,917,996.89","156,390,021.92","-93,028,322.31","352,318,208.72","-23,440,468.60","127,178,047.67","-510,018,401.19","-559,948,047.42","-613,078,611.73","-455,536,083.77","-255,543,410.30"
购建固定资产、无形资产和其他长期资产支付的现金,"509,611.00","1,450,640.00","3,662,233.00","11,575,980.02","16,194,660.70","49,652,371.90","80,457,281.98","48,096,481.06","8,666,334.02","31,824,326.94","41,981,276.18","76,736,593.11","31,119,859.11","36,915,861.74","51,453,524.83","61,131,754.25","27,398,439.48","34,794,903.19","44,091,508.75","52,355,229.70","12,818,168.18","16,484,203.54","20,932,192.34","33,830,605.80","2,661,372.70","7,732,888.38","13,173,984.38","24,766,365.50","2,265,811.55","6,524,569.28","8,495,287.28","9,521,683.42","4,651,276.97","5,879,243.97","8,307,129.97","19,162,002.74","6,437,885.00","7,877,479.36","12,526,460.40","15,718,871.59","8,145,491.89","182,398,992.13","187,394,531.81","690,456,218.29","44,115,695.80","25,902,668.23","37,024,576.22","132,791,256.67","13,655,991.03"
期初现金及现金等价物余额,"251,628,631.01","251,628,631.01","251,628,631.01","251,628,631.01","847,687,392.83","847,687,392.83","847,687,392.83","847,687,392.83","854,293,340.97","854,293,340.97","854,293,340.97","854,293,340.97","953,089,583.44","953,089,583.44","953,089,583.44","953,089,583.44","769,098,303.18","769,098,303.18","769,098,303.18","769,098,303.18","1,161,401,759.88","1,161,401,759.88","1,161,401,759.88","1,161,401,759.88","1,295,459,479.44","1,295,459,479.44","1,295,459,479.44","1,295,459,479.44","1,339,061,441.25","1,339,061,441.25","1,339,061,441.25","1,339,061,441.25","1,691,840,166.80","1,691,840,166.80","1,691,840,166.80","1,691,840,166.80","1,528,101,648.53","1,528,101,648.53","1,528,101,648.53","1,528,101,648.53","1,684,491,670.45","1,684,491,670.45","1,684,491,670.45","1,684,491,670.45","1,811,669,718.12","1,811,669,718.12","1,811,669,718.12","1,811,669,718.12","1,356,133,634.35"
投资支付的现金,,,,"45,000,000.00",,,,,,,,,,,,,,,,,,"106,200,000.00","106,200,000.00","106,200,000.00",,,,"26,773,200.00",,"6,693,300.00","6,693,300.00","6,693,300.00",,,,,,,"6,200,000.00","16,000,000.00","28,450,000.00","28,450,000.00","43,800,000.00","85,871,600.00","66,525,000.00","67,375,000.00","67,375,000.00","67,375,000.00","24,500,000.00"
期末现金及现金等价物余额,"172,153,611.38","244,796,502.43","580,035,630.76","847,687,392.83","689,623,067.30","707,028,898.93","799,585,760.03","854,293,340.97","730,153,264.54","681,190,937.13","762,191,771.39","953,089,583.44","807,980,603.29","691,225,402.93","737,392,499.90","769,098,303.18","650,139,775.92","667,670,639.37","955,631,882.73","1,161,401,759.88","1,127,812,901.63","1,016,091,456.56","1,098,904,420.20","1,295,459,479.44","1,290,340,594.95","1,413,447,878.00","1,461,027,827.28","1,339,061,441.25","1,669,359,755.88","1,564,375,603.33","1,257,849,092.36","1,691,840,166.80","1,315,987,776.59","1,481,786,612.15","1,462,764,471.16","1,528,101,648.53","1,372,122,347.06","1,691,593,872.59","1,624,019,645.42","1,684,491,670.45","1,591,463,348.14","2,036,809,879.17","1,661,051,201.85","1,811,669,718.12","1,301,651,316.93","1,251,721,670.70","1,198,591,106.39","1,356,133,634.35","1,100,590,224.05"
