科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"1,057,832,662.66","1,401,086,571.32","1,439,013,294.09","583,107,439.74","1,540,243,449.11","248,256,693.86","638,724,068.72","1,012,929,982.16","1,626,645,164.38","458,285,810.38","956,034,212.39","1,699,110,029.89","2,542,073,848.14","674,707,753.94","1,561,502,504.01","2,778,781,659.29","4,010,372,930.86","626,254,467.24","1,394,149,729.17","2,604,368,930.99","3,766,459,205.96","1,044,794,545.00","2,253,553,499.74","3,859,292,880.16","5,382,307,551.74","587,737,857.79"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,"231,401,132.63",,"40,458,113.75","40,458,113.75","40,513,091.56","260,264,337.46","480,185,327.95","592,157,226.10","637,289,392.58",,"151,996,128.01","163,422,061.01","167,287,526.11",
收到的税费返还,,,"736,703.73",,"2,422,093.69",,,,"334,090.24",,,,"845,672.18",,,,"3,066,620.49",,,"12,412,649.89","17,371,087.25",,"5,407.08",,"6,524,057.19",
支付其他与投资活动有关的现金,,,,,,,"2,000,000.00",,"2,000,000.00",,"168,930,000.00","489,260,000.00","808,260,000.00","238,000,000.00","308,000,000.00","620,000,000.00","1,008,000,000.00","60,720,000.00","62,755,605.93","63,293,531.14","77,531,690.63","132,000,000.00","42,000,000.00","42,000,000.00","92,515,422.80","1,500,000.00"
收到其他与经营活动有关的现金,"8,772,954.14","10,751,937.73","29,929,447.16","3,616,384.69","38,457,770.91","256,426,682.62","36,697,347.18","37,266,576.55","46,366,434.18","-31,657,648.30","9,819,518.38","16,963,920.24","20,259,929.77","56,617,241.70","80,771,415.07","117,374,129.12","130,858,909.23","80,877,755.66","88,779,453.06","77,851,374.28","218,037,356.03","49,890,037.00","100,442,008.01","389,680,550.86","268,247,478.90","47,908,841.13"
投资活动现金流出小计,"9,697,819.28","2,013,822.00","7,515,394.41","2,084,885.92","5,232,788.32","529,056.85","7,544,918.65","3,493,364.16","10,312,726.08","625,021.66","170,953,312.59","491,761,660.62","1,055,555,488.02","294,788,642.34","458,624,673.92","773,676,788.31","1,172,583,563.06","321,207,956.61","547,696,089.19","661,264,361.78","752,655,955.18","132,980,748.28","203,591,762.25","224,052,493.69","297,023,471.08","11,439,259.22"
经营活动现金流入小计,"1,066,605,616.80","1,411,838,509.05","1,469,679,444.98","586,723,824.43","1,581,123,313.71","504,683,376.48","675,421,415.90","1,050,196,558.71","1,673,345,688.80","426,628,162.08","965,853,730.77","1,716,073,950.13","2,563,179,450.09","731,324,995.64","1,642,273,919.08","2,896,155,788.41","4,144,298,460.58","707,132,222.90","1,482,929,182.23","2,694,632,955.16","4,001,867,649.24","1,094,684,582.00","2,354,000,914.83","4,248,973,431.02","5,657,079,087.83","635,646,698.92"
投资活动产生的现金流量净额,"-9,697,819.28","-1,995,424.97","-7,481,713.41","3,476,398.70","337,026.30","538,611.14","-7,543,618.65","1,433,466.59","-8,274,773.75","1,277,765.20","-1,729,115.28","-53,416,352.39","-364,568,114.32","12,838,315.72","-80,809,359.70","-179,350,135.89","-202,867,596.89","-162,732,701.51","-328,326,738.74","-441,175,011.33","-531,241,070.93","-128,686,474.43","-167,409,383.92","-182,981,591.95","-238,700,022.59","2,515,887.94"
购买商品、接受劳务支付的现金,"894,793,337.95","1,176,504,391.74","1,263,230,499.10","592,178,831.43","1,330,025,739.94","406,593,101.10","910,379,302.41","1,304,634,968.90","1,864,549,984.69","374,594,246.64","832,705,668.64","1,516,492,970.72","1,965,427,968.77","608,879,848.33","1,565,810,994.55","2,446,834,712.16","3,282,622,759.93","595,125,877.96","1,342,035,720.48","2,336,664,522.06","3,565,331,916.19","1,038,374,861.66","2,046,741,489.63","3,491,774,568.47","4,749,202,405.48","446,361,085.77"
吸收投资收到的现金,,,,,,"275,590,177.11","283,510,996.62","283,510,996.62","283,510,996.62","74,973,600.00","74,973,600.00","74,973,600.00","82,701,600.00",,"280,249,842.60","280,249,842.60","273,972,770.20",,,,"722,381,563.32",,,,,
支付给职工以及为职工支付的现金,"25,569,423.47","34,980,073.10","56,739,521.53","36,056,955.71","69,869,243.70","22,039,179.86","38,684,183.33","59,029,025.48","77,028,602.22","23,426,953.51","45,253,252.82","70,066,243.15","95,474,821.06","42,021,415.93","73,400,522.60","102,869,844.46","145,000,900.00","49,766,419.50","95,812,456.42","144,424,092.80","194,378,341.62","61,856,786.06","109,868,231.52","157,608,210.06","206,187,815.82","50,780,634.60"
取得借款收到的现金,"35,000,000.00",,,,,,,,,,,,,,"100,000,000.00","170,000,000.00","170,000,000.00","180,000,000.00","295,000,000.00","436,000,000.00","585,000,000.00","275,000,000.00","305,000,000.00","305,000,000.00","480,000,000.00","220,000,000.00"
支付的各项税费,"24,384,894.07","38,161,677.87","37,350,015.32","23,924,139.82","46,423,759.53","17,204,398.28","23,389,323.25","40,582,175.29","58,396,958.57","21,934,597.93","47,868,432.46","73,592,749.99","88,791,216.86","23,950,123.16","46,223,478.75","77,847,842.92","104,059,388.91","24,533,044.10","54,136,050.64","86,459,055.48","96,140,841.42","35,358,267.00","60,708,611.22","86,168,807.31","109,972,983.24","24,351,305.41"
收到其他与筹资活动有关的现金,,,,,,,"219,519,146.81","219,519,146.81","219,519,146.81",,,,,,,,"6,277,072.40",,,,"30,589,419.75",,,,,
