科目,2011-12-31,2012-12-31,2013-12-31,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"31,103,166.66","57,059,600.83","138,403,844.97","133,168,350.32","58,238,069.95","346,486,296.22","331,314,067.79","335,417,262.21","184,113,938.46","187,649,360.08","240,748,932.05","378,832,407.66","1,575,158,448.39","1,149,588,343.96","1,019,397,885.95","921,814,502.46","1,086,187,710.31","906,194,391.60","695,891,484.93","683,411,399.89","920,824,572.52","1,017,094,179.00"
短期借款,"75,000,000.00","75,000,000.00","50,000,000.00","50,000,000.00",,"50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","80,000,000.00","150,000,000.00","455,000,000.00","700,000,000.00","640,000,000.00","684,000,000.00","1,045,000,000.00","1,033,000,000.00","1,210,000,000.00","1,084,000,000.00","1,045,000,000.00","1,156,994,040.00","1,287,995,134.37"
交易性金融资产,,,,,,,,,,,,,,,,,"1,508,168.04","1,508,168.04","1,508,168.04","1,508,168.04","3,352,881.34","3,352,881.34"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,
应收票据,,"9,120,000.00","4,420,000.00","1,000,000.00","1,379,230.00","3,594,299.53","4,221,228.00","1,000,000.00",,,,"4,345,870.00","17,867,151.92","2,364,998.00","5,989,342.65","5,490,342.65","31,157,018.00","21,143,628.00","30,993,987.60","11,692,281.40","127,567,124.60","19,689,209.84"
应付票据,,,,,,,,,,,,"96,168,504.33","116,933,601.23","101,920,979.85","83,461,298.64","94,676,451.51","146,615,984.31","138,809,191.69","175,016,439.01",,"117,290,880.95",
应收账款,"28,726,879.63","9,311,193.33","10,917,566.22","16,288,196.73","14,212,692.61","16,840,003.89","11,462,673.20","14,264,174.62","11,532,835.37","18,265,536.19","18,851,226.77","773,643,145.01","891,062,729.98","965,757,515.98","1,276,362,713.67","1,572,608,423.48","1,317,197,650.42","1,313,252,990.97","1,457,527,518.17","1,345,141,741.86","1,444,717,866.24","1,475,232,767.80"
应付账款,"7,096,296.51","10,521,629.22","3,270,021.92","8,722,347.06","8,688,287.62","8,474,590.76","10,533,903.57","11,935,424.64","8,822,770.42","8,031,381.42","6,001,778.86","175,941,688.55","171,814,085.29","124,727,021.29","167,128,426.44","199,898,063.84","331,557,945.26","301,484,801.38","386,848,799.33",,"400,781,451.85",
预付款项,"4,967,084.78","9,760,184.71","15,736,640.42","15,379,870.00","14,867,758.60","13,060,777.91","12,123,601.93","14,649,492.35","11,411,082.22","16,747,214.53","20,594,450.72","289,247,250.66","248,562,555.29","353,038,184.46","237,522,833.71","281,253,045.47","313,819,086.28","582,655,572.18","406,676,754.70","710,946,915.48","373,825,304.31","533,789,172.63"
预收款项,"1,472,568.50","4,897,203.48","4,363,423.54","18,298,684.41","6,467,006.97","11,885,289.48","13,552,287.94","26,355,327.50","15,562,039.53","22,948,613.12","18,303,013.50","53,358,518.75","43,704,589.90","65,302,408.78","87,979,825.20","90,878,220.02","63,059,217.45","121,302,530.34","163,929,034.91","258,042,825.92","272,178,510.69","340,199,813.83"
其他应收款,"17,374,668.79","27,973,737.65","2,341,050.83","7,288,088.36","6,798,362.74","8,207,351.87","4,267,831.36","4,678,884.52","6,182,160.61","6,303,018.69","10,053,127.76","78,950,666.20","65,511,337.00","83,519,994.41","108,867,716.48","135,634,158.68","95,058,354.13","114,585,976.50","600,850,487.62","677,686,690.33","135,545,698.92","153,194,007.25"
应付职工薪酬,"4,124,818.91","4,142,968.86","4,020,825.30","1,440,770.88","4,077,228.77","1,492,664.86","1,641,456.36","1,697,461.37","8,250,829.39","2,458,576.36","2,184,814.57","29,419,268.83","31,028,988.87","21,246,659.35","21,997,532.25","20,989,360.46","40,386,152.06","31,306,615.73","25,349,113.33","32,303,800.64","67,072,835.73","36,473,647.15"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,
应交税费,"2,167,446.34","4,858,030.35","433,796.80","6,550,419.86","4,097,896.34","2,284,599.63","241,082.82","7,439,854.74","892,687.50","987,712.04","5,399,333.87","150,090,966.55","162,453,655.87","141,503,083.99","167,460,523.14","237,019,102.60","287,781,636.46","272,240,956.62","242,341,061.01","212,764,576.53","243,006,883.60","200,585,311.96"
应收利息,,,,,,,,,,,,,,,,,,,,,,
应付利息,"263,352.28","594,835.08","341,184.00","507,956.75","451,937.13","510,369.37","416,321.05","396,096.37","411,167.16","390,641.77","565,808.35","1,038,955.28","1,224,493.15","1,050,375.15","1,037,439.66","1,605,784.20","1,704,556.89","1,762,884.57","1,192,552.39","1,778,386.60","8,089,590.80","9,833,360.04"
应收股利,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,"17,299,200.00",,,,,,,,"52,420,940.20",,,,,,,
存货,"7,713,337.31","9,147,135.83","4,802,099.41","8,536,119.46","7,493,239.89","10,335,218.79","12,718,469.79","15,105,111.82","18,641,587.94","18,351,653.95","12,882,367.89","476,126,535.38","341,267,927.77","343,426,001.22","414,623,794.15","289,085,945.24","406,898,647.60","389,262,955.66","770,880,892.82","591,654,740.70","1,128,997,378.11","990,642,273.07"
其他应付款,"12,263,503.82","8,001,141.02","6,648,751.48","5,526,783.67","13,991,910.92","18,739,124.33","15,368,383.71","14,469,547.23","10,339,980.96","10,117,933.36","13,482,475.65","90,624,488.91","83,566,984.60","91,563,872.85","89,350,212.29","113,861,132.51","192,824,791.90","185,059,391.41","209,779,368.97","205,438,799.22","101,025,945.40","119,885,772.96"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,"304,862.30","304,862.28","304,862.30","328,652.18","352,009.93","352,009.93","352,009.93","2,038,310.77","1,945,108.19","1,945,108.19","4,438,796.74","1,760,906.77",,,,,,
一年内到期的非流动负债,"29,008,453.34","70,706,114.30","27,414,546.92","41,100,000.00","48,100,000.00","40,600,000.00","22,425,000.00","20,875,000.00","37,750,000.00","36,750,000.00","34,525,000.00","31,525,000.00","73,009,440.61","75,234,551.15","85,459,038.86","85,637,360.69","62,456,934.73","81,385,840.42","109,625,381.68","89,463,661.51","293,314,398.38","316,974,369.53"
其他流动资产,"862,222.78","969,250.18","1,141,370.08","2,909,695.42","6,064,854.73","1,347,184.99","1,958,202.03","2,110,117.82","106,673,495.18","108,937,939.89","108,511,116.16","96,285,658.44","85,169,852.17","116,507,202.88","60,140,425.92","96,272,148.60","83,114,130.27","97,312,181.54","33,468,892.88","37,318,046.65","47,111,592.63","51,395,562.78"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"90,747,359.95","123,341,102.53","177,762,571.93","184,570,320.29","109,359,070.82","400,175,995.48","378,370,936.40","387,553,695.52","338,907,109.71","356,606,733.26","411,993,231.28","2,099,469,844.12","3,226,545,110.71","3,016,147,349.10","3,127,343,509.27","3,303,919,473.35","3,334,940,765.05","3,425,915,864.49","3,997,798,186.76","4,059,359,984.35","4,181,942,418.67","4,244,390,053.71"
