科目,2010年度,2011年度,2012年1-9月,2012年度,2013年1-6月,2013年1-9月,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"343,088,935.68","405,070,827.25","221,514,333.36","320,426,597.10","171,194,263.95","247,959,604.22","339,019,748.34","181,128,854.59","268,427,880.69","355,675,712.29","90,675,152.32","196,729,704.97","292,826,419.71","408,750,287.34","93,354,781.66","206,448,403.94","446,585,426.61","110,146,093.16","255,515,925.42","399,213,215.33","563,121,082.21","142,461,815.45","302,174,056.24"
二、营业利润,"118,935,439.04","171,143,703.04","68,737,371.70","95,446,186.72","50,034,530.29","64,833,022.07","86,035,722.08","41,628,355.34","56,217,892.27","69,997,823.69","20,569,529.09","42,365,411.07","67,750,058.90","84,870,733.72","14,149,250.92","36,359,220.92","90,386,797.41","17,138,432.58","48,959,428.43","85,750,393.47","122,485,099.26","27,980,153.95","74,870,682.81"
减:营业成本,"150,656,539.92","176,228,135.16","113,790,957.93","167,369,422.81","90,139,834.39","134,680,812.51","188,337,315.47","107,185,431.00","166,453,249.43","221,814,765.34","52,689,013.97","120,444,850.69","179,888,268.04","259,589,593.54","60,094,946.40","130,362,868.12","282,092,620.35","69,539,802.58","160,245,945.07","249,466,097.25","355,228,325.67","86,618,271.14","176,210,299.68"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"793,251.02","3,537,976.31","1,788,113.62","2,436,968.03","1,689,624.65","2,599,253.94","3,513,037.19","1,672,988.75","2,460,826.04","3,162,141.71","816,399.67","1,675,552.11","2,539,036.93","3,406,515.53","793,095.94","1,691,156.22","5,319,326.82","1,531,344.40","3,775,990.78","5,461,772.11","8,214,467.92","1,784,296.97","3,437,584.08"
营业外收入,"9,686,510.08","2,753,717.77","10,803,297.18","13,418,094.15","428,994.27","2,213,520.81","5,963,939.68","2,136,446.51","4,271,677.18","5,911,762.20","864,677.54","2,097,439.81","3,107,013.75","4,137,290.83","776,315.28","1,470,235.53","3,250,132.16","562,301.90","260,138.21","572,253.27","2,532,417.08","116,243.03","260,948.67"
销售费用,"10,530,230.49","12,543,362.24","9,094,610.64","11,915,209.03","5,757,813.44","9,351,652.06","12,508,617.91","5,952,528.99","9,169,653.40","12,429,115.42","3,247,176.44","6,660,462.23","10,645,747.80","15,288,682.14","4,400,945.57","8,387,199.60","17,777,664.93","4,846,692.68","10,813,906.40","15,916,833.36","21,929,816.33","5,342,374.28","11,355,765.62"
减:营业外支出,"3,424.64","828,765.88","66,336.49","387,287.38","86,480.90","307,480.90","497,377.46","33,976.41","204,204.60","205,181.47",808.95,"304,710.72","1,323,166.75","1,457,911.83",,"1,836.06","10,136.06","110,993.43","264,885.83","276,270.16","234,527.21",743.46,"355,381.05"
管理费用,"63,725,895.04","42,013,327.91","29,525,569.10","41,595,663.03","21,590,365.50","33,109,298.35","46,780,888.37","23,736,052.53","35,155,031.49","48,738,965.89","12,374,004.05","26,608,039.90","39,387,847.54","51,655,228.28","14,979,812.40","30,833,006.91","59,121,954.52","14,312,008.14","31,076,686.00","46,164,845.33","67,593,377.81","16,457,809.08","35,353,028.39"
其中:非流动资产处置净损失,,"20,404.79",,,"40,184.10","40,184.10","229,446.74",,,"131,758.10",,"302,969.80","1,290,425.83","1,405,803.14",,,,774.17,"240,407.30","251,491.63",,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,
