科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"235,863,228.98","273,478,665.53","23,900,109.21","304,099,077.41","30,686,922.34","102,047,528.29","164,202,986.33","366,919,937.93","37,381,763.75","114,461,231.87","190,672,566.11","426,383,674.66","64,957,922.31","159,401,839.76","351,588,065.86","727,811,480.71","102,628,840.42","291,461,857.37","494,134,622.49","948,430,136.55","123,100,684.78","328,557,572.06","581,431,125.51","1,195,652,587.63","189,306,865.18","476,533,169.28","846,059,858.17","1,533,958,243.83","230,437,117.88","572,010,976.67","1,022,727,723.63","1,927,370,350.14","286,708,225.23","689,662,605.14","1,175,679,714.28","2,278,525,313.97","292,560,139.70","740,416,408.51","1,302,122,845.05","2,521,805,798.54","347,101,346.28"
二、营业利润,"28,636,201.79","25,097,119.23","-25,031,319.10","21,476,457.22","-22,044,317.89","-36,610,702.74","-45,850,462.70","21,513,959.25","-21,224,513.24","-40,399,392.96","-51,064,069.46","35,655,753.40","-33,749,468.75","-47,418,972.02","-60,579,256.61","47,358,630.49","-58,491,844.60","-92,515,283.45","-94,761,730.28","36,563,823.96","-57,829,987.86","-87,062,379.86","-77,791,073.51","113,472,186.76","-59,015,928.58","-76,658,805.51","-53,669,365.52","151,529,414.33","-66,908,060.54","-87,212,050.30","-50,935,565.09","133,056,163.77","-50,314,895.60","-40,892,339.13","15,233,715.58","357,586,046.99","10,244,016.10","1,589,374.92","88,050,331.52","558,688,278.09","-56,354,543.92"
减:营业成本,"87,330,191.73","94,825,291.12","9,491,924.98","110,306,389.62","11,509,858.47","41,717,013.78","61,860,033.72","129,189,337.57","9,478,861.67","36,686,493.28","66,368,335.30","144,696,802.63","36,408,227.80","68,813,152.06","154,486,433.65","285,892,952.66","31,564,495.07","97,014,788.84","164,730,685.74","344,550,995.36","44,568,858.75","112,212,710.91","202,670,258.12","399,581,351.89","60,310,968.83","129,214,937.22","259,919,754.31","483,259,381.60","63,862,591.77","157,352,379.89","315,053,303.75","639,666,330.93","90,102,908.18","220,775,579.74","400,776,586.09","793,413,684.02","125,901,307.13","273,409,710.49","474,846,749.69","870,802,404.15","126,738,684.99"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"3,928,365.10","5,478,691.79","595,866.57","10,491,685.91","625,493.41","2,323,115.83","3,580,762.87","8,764,300.59","984,531.73","2,725,690.98","4,579,298.97","9,090,049.68","1,646,941.47","3,421,322.64","6,545,059.82","9,720,154.61","2,178,374.38","4,322,410.32","7,219,848.41","12,556,323.24","2,147,523.00","4,622,055.19","7,798,048.70","17,247,477.15","2,500,902.75","4,894,132.96","12,326,505.39","22,300,546.99","2,955,857.78","6,047,794.27","10,559,086.91","21,989,487.92","3,856,611.70","9,549,994.22","16,408,361.19","29,584,399.26","5,331,179.85","11,796,015.97","18,381,065.78","30,631,994.44","6,271,640.64"
营业外收入,"16,216,442.02","29,216,380.62","11,231,137.52","37,777,525.32","11,261,258.12","16,320,202.22","25,638,630.35","43,466,657.33","11,962,485.77","13,101,963.04","14,225,638.76","37,354,460.27","1,565,483.18","15,194,812.53","23,627,097.32","45,847,218.02","16,548,664.69","36,450,394.51","48,462,895.63","97,270,855.66","22,404,291.70","41,807,962.35","57,652,858.40","94,828,955.07","48,170,161.76","93,249,978.26","104,765,512.86","148,894,472.20","69,739,716.41","95,994,922.81","107,607,823.01","168,714,853.15","39,465,495.88","9,239,022.19","13,926,351.44","115,032,633.63","2,268,678.74","3,058,489.83","2,800,393.22","44,881,428.92","742,727.25"
销售费用,"78,522,193.18","92,939,815.06","27,723,339.54","102,161,254.73","21,911,595.62","53,042,024.01","82,984,933.62","123,322,219.12","25,145,459.08","65,851,540.30","98,244,749.41","134,600,323.44","31,167,220.81","80,250,223.24","150,555,836.98","228,586,648.49","68,172,220.17","157,066,412.79","237,323,766.39","319,312,317.07","79,362,543.53","173,532,345.06","256,738,703.80","369,842,090.64","93,459,850.11","214,551,845.52","318,827,097.01","465,007,838.45","106,961,978.24","224,712,863.25","349,756,788.55","474,455,039.52","116,481,338.76","255,702,470.83","403,035,067.85","565,109,337.25","134,058,417.22","254,466,288.11","382,980,898.66","612,761,126.14","151,288,824.89"
减:营业外支出,"1,952,874.21","2,088,721.45","354,500.00","2,177,351.60","60,000.00","995,277.03","1,168,077.01","1,773,592.87","312,473.23","447,377.37","1,291,028.47","1,634,288.82","868,740.90","3,194,055.01","3,332,208.65","4,213,139.36","550,845.05","542,459.44","1,542,649.29","1,570,449.29","123,952.33","1,682,925.11","1,715,501.63","3,271,680.12","25,332.90","233,066.27","1,531,615.68","3,686,609.80","578,284.85","692,013.33","940,993.98","3,499,718.84","44,938.99","137,999.40","376,014.66","2,639,601.29","153,021.84","617,851.24","820,008.96","3,889,608.38","134,484.97"
管理费用,"31,237,538.97","49,022,355.24","10,421,844.08","53,544,013.03","18,270,438.44","39,835,476.57","58,842,462.96","83,863,615.02","22,776,584.91","50,586,017.86","73,628,171.76","106,435,361.08","29,242,401.46","53,276,489.96","99,817,877.16","148,398,909.68","50,032,191.44","113,157,287.97","167,861,030.80","227,807,304.89","51,494,090.57","124,582,284.58","189,248,817.04","280,240,684.20","90,466,456.23","210,768,774.75","308,596,519.70","407,408,135.47","116,467,157.41","256,656,604.92","385,322,178.48","550,413,203.47","125,490,115.15","285,077,507.88","428,442,309.03","616,264,308.17","133,872,149.32","340,840,310.25","110,817,038.81","157,706,104.04","30,796,813.57"
其中:非流动资产处置净损失,,"30,238.32",,"9,992.49",,"60,051.37","60,051.37","60,065.64",,"24,904.14","29,772.84","222,240.60","18,740.90","294,055.01","431,459.66","1,005,476.78","550,629.41","542,243.80","522,433.61","550,233.61","123,952.33","182,925.11","215,501.63","251,680.12","20,704.19","75,220.50","110,646.77","125,281.52","578,284.85","662,054.49","766,192.45","920,158.78","44,448.46","67,797.65","195,597.86",,,,,,
