科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"73,967,359.92","119,778,030.60","371,151,961.92","182,957,098.81","276,677,733.65","411,802,129.50","747,494,705.39","184,388,782.49","412,716,962.41","585,848,691.21","1,091,860,519.50","345,938,911.56","976,970,060.43","1,216,730,920.61","1,833,039,590.62"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,"540,557,994.72"
收到的税费返还,,,,,"10,277,990.40","24,871,106.79","28,140,316.16","7,541,996.28","14,998,082.15","54,753,611.40","59,379,051.71","7,717,732.57","21,298,967.94","83,231,488.15","95,428,707.35"
支付其他与投资活动有关的现金,"1,212,525.97",,"193,000,000.00","115,000,000.00","285,000,000.00","778,000,000.00","1,345,000,000.00","306,090,000.00","605,590,000.00","769,780,000.00","1,229,766,449.25","297,938,600.00","773,857,600.00","1,314,952,600.00","1,664,962,219.52"
收到其他与经营活动有关的现金,"15,515,557.91","1,874,464.19","8,518,424.97","36,927,236.27","39,247,773.92","41,465,593.95","57,329,949.62","110,096,716.75","112,377,948.19","115,947,437.91","138,566,111.03","123,671,656.49","129,814,692.39","136,173,319.66","214,969,538.05"
投资活动现金流出小计,"25,637,549.33","26,507,388.09","270,668,671.44","119,290,808.50","302,536,785.51","786,235,749.43","1,413,511,055.64","384,728,276.24","726,735,178.94","906,172,384.98","1,351,187,917.34","308,163,202.65","786,640,947.67","1,342,311,674.98","2,457,191,748.33"
经营活动现金流入小计,"89,482,917.83","121,652,494.79","379,670,386.89","219,884,335.08","326,203,497.97","478,138,830.24","832,964,971.17","302,027,495.52","540,092,992.75","756,549,740.52","1,289,805,682.24","477,328,300.62","1,128,083,720.76","1,436,135,728.42","2,143,437,836.02"
投资活动产生的现金流量净额,"-25,637,549.33","-26,410,740.53","-41,837,265.76","-52,065,126.23","-45,793,293.92","-157,289,515.78","-353,050,000.47","62,734,908.22","7,601,085.66","79,921,461.84","-134,105,098.00","182,013,836.05","78,202,190.25","172,209,003.78","-344,858,273.14"
购买商品、接受劳务支付的现金,"56,613,017.33","23,741,468.65","139,359,492.02","77,259,699.64","127,733,871.60","211,087,918.78","281,643,168.12","103,998,881.11","255,721,796.09","498,699,255.13","698,907,384.44","218,249,140.34","380,953,459.98","702,826,335.82","1,193,240,680.06"
吸收投资收到的现金,,,,,"335,830,100.00","335,830,100.00","335,830,100.00",,,,,,,"612,499,940.03","611,377,298.52"
支付给职工以及为职工支付的现金,"28,869,205.98","30,859,938.36","54,911,695.04","24,834,029.51","43,452,696.49","65,676,025.08","92,184,463.21","35,516,247.32","69,227,491.37","108,646,392.92","157,372,758.58","60,046,884.72","118,504,399.81","193,357,575.03","295,462,544.44"
取得借款收到的现金,"21,000,000.00","6,000,000.00","38,334,891.00",,,,,,,,,,"30,000,000.00","40,000,000.00","120,000,000.00"
支付的各项税费,"26,072,346.70","9,492,732.47","37,045,616.84","12,670,445.48","26,112,245.80","52,332,425.83","77,861,994.81","22,575,757.52","54,797,187.61","103,268,859.51","127,060,950.92","36,150,502.42","76,165,470.81","161,026,021.32","186,680,144.96"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"10,864,855.42","13,975,017.03","54,804,755.80","40,637,169.13","104,225,398.47","113,407,490.85","164,333,525.31","177,174,694.38","186,098,406.59","147,198,403.20","201,260,763.04","160,643,828.57","201,108,168.43","376,655,102.83","437,116,101.41"
筹资活动现金流入小计,"21,000,000.00","6,000,000.00","38,334,891.00",,"335,830,100.00","335,830,100.00","335,830,100.00",,,,,,"30,000,000.00","652,499,940.03","731,377,298.52"
经营活动现金流出小计,"122,419,425.43","78,069,156.51","286,121,559.70","155,401,343.76","301,524,212.36","442,503,860.54","616,023,151.45","339,265,580.33","565,844,881.66","857,812,910.76","1,184,601,856.98","475,090,356.05","776,731,499.03","1,433,865,035.00","2,112,499,470.87"
偿还债务支付的现金,,"27,000,000.00",,"5,000,000.00","5,000,000.00","38,334,891.00","38,334,891.00",,,,,,,,
经营活动产生的现金流量净额,"-32,936,507.60","43,583,338.28","93,548,827.19","64,482,991.32","24,679,285.61","35,634,969.70","216,941,819.72","-37,238,084.81","-25,751,888.91","-101,263,170.24","105,203,825.26","2,237,944.57","351,352,221.73","2,270,693.42","30,938,365.15"
分配股利、利润或偿还利息支付的现金,"910,699.11","657,513.80","24,524,118.03","19,776,759.45","20,238,357.32","34,287,702.12","34,322,280.12","72,898,210.00","72,898,210.00","75,111,202.03","75,111,202.00",,"53,040,000.00","53,040,000.00","54,326,597.78"
收回投资收到的现金,,,"35,000,000.00",,,,,,,,,,,,"182,222,000.00"
支付其他与筹资活动有关的现金,,,,,,,,,,,,,,,"31,802,069.66"
取得投资收益收到的现金,,"89,027.56","830,892.86","225,682.27","722,899.36","1,425,233.65","3,434,665.91","1,873,184.46","3,746,264.60","4,603,846.82","5,316,000.21","1,229,038.70","3,045,137.92","6,424,678.76","9,508,963.46"
筹资活动现金流出小计,"910,699.11","27,657,513.80","24,524,118.03","24,776,759.45","25,238,357.32","72,622,593.12","72,657,171.12","72,898,210.00","72,898,210.00","75,111,202.03","75,111,202.00",,"53,040,000.00","53,040,000.00","86,128,667.44"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"7,620.00",512.82,,"20,592.23","21,000.00","526,389.26",,,,"6,819.13",,,"253,000.00","630,292.21"
筹资活动产生的现金流量净额,"20,089,300.89","-21,657,513.80","13,810,772.97","-24,776,759.45","310,591,742.68","263,207,506.88","263,172,928.88","-72,898,210.00","-72,898,210.00","-75,111,202.03","-75,111,202.00",,"-23,040,000.00","599,459,940.03","645,248,631.08"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,"1,209.57",,"-28,187.87","155,257.39","229,215.06",,"-84,333.83","-658,689.06","-1,248,369.76",
收到其他与投资活动有关的现金,,,"193,000,000.00","67,000,000.00","256,000,000.00","627,500,000.00","1,056,500,000.00","445,590,000.00","730,590,000.00","981,490,000.00","1,211,760,000.00","488,948,000.00","861,798,000.00","1,507,843,000.00","1,919,972,219.52"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,
投资活动现金流入小计,,"96,647.56","228,831,405.68","67,225,682.27","256,743,491.59","628,946,233.65","1,060,461,055.17","447,463,184.46","734,336,264.60","986,093,846.82","1,217,082,819.34","490,177,038.70","864,843,137.92","1,514,520,678.76","2,112,333,475.19"
五、现金及现金等价物净增加额,"-38,484,756.04","-4,484,916.05","65,522,334.40","-12,358,894.36","289,477,734.37","141,554,170.37","127,064,748.13","-47,429,574.46","-90,893,755.86","-96,223,695.37","-104,012,474.74","184,167,446.79","405,855,722.92","772,691,267.47","331,328,723.09"
购建固定资产、无形资产和其他长期资产支付的现金,"24,425,023.36","26,507,388.09","42,668,671.44","4,290,808.50","17,536,785.51","8,235,749.43","68,511,055.64","78,638,276.24","86,228,729.69","101,475,935.73","121,421,468.09","10,224,602.65","12,783,347.67","27,359,074.98","45,349,534.09"
期初现金及现金等价物余额,"58,429,076.46","19,944,320.42","15,459,404.37","80,981,738.77","80,981,738.77","80,981,738.77","80,981,738.77","193,882,674.68","193,882,674.68","193,882,674.68","208,046,486.90","104,034,012.16","104,034,012.16","480,739,387.49","104,034,012.16"
投资支付的现金,,,"35,000,000.00",,,,,,"34,916,449.25","34,916,449.25",,,,,"206,322,000.00"
期末现金及现金等价物余额,"19,944,320.42","15,459,404.37","80,981,738.77","68,622,844.41","370,459,473.14","222,535,909.14","208,046,486.90","146,453,100.22","102,988,918.82","97,658,979.31","104,034,012.16","288,201,458.95","509,889,735.08","1,253,430,654.96","435,362,735.25"
