科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"610,280,532.63","1,032,114,498.26","1,983,827,897.09","2,382,907,509.36","4,676,420,533.20","5,255,490,680.05","4,665,235,762.35","5,676,914,306.03","6,883,981,348.94","6,330,351,590.84","6,053,799,335.11","6,782,058,211.05","7,097,804,381.00","7,776,377,843.90","5,641,711,762.64","7,691,274,173.42","7,658,768,818.08","10,085,081,510.82","8,789,224,779.66","8,622,778,153.31","7,854,845,762.12","8,571,562,510.10","6,018,626,749.23","5,233,383,709.36","4,346,951,651.21","6,547,571,239.82","5,487,745,550.37","7,054,339,339.11","4,707,796,539.41","4,943,778,825.90","1,945,938,725.58","5,176,163,827.88","2,456,627,358.97","1,581,417,398.77","1,354,753,836.21","1,716,411,954.75","1,751,452,876.18","3,079,516,924.10"
短期借款,"14,000,000.00","7,000,000.00","5,000,000.00","5,000,000.00",,,,,,,,,,,,,,,"389,000,000.00","130,000,000.00","951,000,000.00",,,,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,"660,000,000.00","1,260,000,000.00","2,920,000,000.00","2,870,000,000.00","2,350,000,000.00","1,500,000,000.00",,,,"210,000,000.00","210,000,000.00",,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"17,821,800.00","2,838,121.52","32,705,142.08","9,662,872.00","4,670,000.00","3,721,070.00","52,573,522.27","280,714,383.02","126,078,150.14","233,425,176.16","85,187,598.35","627,246,351.29","1,394,499,573.24","623,037,914.77","51,289,043.21","99,536,068.51","52,668,095.61","84,670,202.65","110,035,506.00","330,995,993.21","119,719,295.69","494,185,861.93","81,640,675.28","110,599,047.50","76,860,829.99","62,106,492.47","75,207,258.75","79,817,985.98","83,290,215.75","89,667,436.42","33,874,975.32","62,664,618.25","151,616,983.85","182,122,971.07","93,810,211.98","200,835,924.48","212,812,236.57","242,302,725.64"
应付票据,"116,300,000.00","57,000,000.00","428,300,000.00","272,500,000.00","145,200,000.00","147,100,000.00","234,800,000.00","294,000,000.00","203,450,000.00","178,150,000.00","155,300,000.00","272,650,000.00","123,350,000.00","82,000,000.00","237,300,000.00","278,600,000.00","370,500,000.00","388,886,810.35","2,570,100,000.00","2,478,000,000.00","1,516,800,000.00","2,300,000,000.00","3,003,641,290.64","3,083,908,520.00","1,750,000,000.00","2,080,000,000.00","2,925,684,000.00","2,130,000,000.00","2,240,000,000.00","2,410,000,000.00","1,250,000,000.00","1,612,000,000.00","960,000,000.00","730,000,000.00","400,000,000.00","30,000,000.00","8,200,000.00","8,200,000.00"
应收账款,"4,354,636.93","4,035,025.76","4,601,179.74","4,868,273.45","26,673,220.86","10,647,236.79","61,837,971.97","54,716,765.58","31,816,373.71","38,207,623.84","43,955,370.15","42,931,440.15","36,411,914.21","59,636,881.01","48,684,505.52","61,877,445.41","55,306,782.73","49,434,002.65","56,505,019.32","22,685,121.08","21,748,492.45","20,829,311.51","41,853,535.74","20,766,368.45","9,271,527.64","10,887,266.93","6,593,856.91","11,512,302.18","6,455,492.29","5,797,518.72","8,137,761.11","10,188,692.01","10,824,186.90","22,917,773.58","9,509,905.07","10,372,039.10","8,485,382.83","10,102,638.26"
应付账款,"89,151,712.56","104,315,682.64","92,587,722.97","123,990,686.32","168,464,086.92","150,915,273.35","296,484,599.12","334,626,730.94","433,479,616.77","384,322,513.08","454,410,440.87","437,412,997.07","629,457,730.16","482,918,774.45","553,079,695.50","562,282,543.06","750,205,552.29","838,882,436.95","950,434,108.11","814,175,446.46","1,164,908,787.07","1,051,793,207.17","914,047,710.30","786,848,859.30","826,693,128.71","951,496,501.69","1,035,113,266.04","1,072,017,529.09","798,707,353.93","1,070,442,338.69","705,632,376.61","774,079,350.94","784,213,000.76","775,752,997.76","762,041,092.68","974,879,493.88","1,111,403,574.47","1,061,474,891.05"
预付款项,"26,079,809.66","32,618,390.49","37,845,429.65","2,250,625.43","140,167,259.08","363,324,746.25","127,413,602.71","237,816,464.88","100,381,459.75","1,378,644,467.97","271,855,427.01","211,681,825.46","570,692,680.03","576,673,509.35","873,252,839.03","1,009,649,942.89","291,583,299.43","315,986,126.06","188,342,245.05","337,983,120.60","152,771,513.19","383,184,309.45","140,915,722.39","315,917,181.25","98,049,468.08","116,331,489.72","99,162,569.42","82,457,648.60","80,040,974.60","116,264,128.77","210,509,493.55","148,688,873.40","69,319,933.22","89,934,347.62","86,286,871.35","70,803,816.35","86,661,808.28","163,561,678.01"
预收款项,"40,254,045.05","34,252,573.44","194,553,684.84","269,742,339.31","167,631,040.95","64,496,833.42","124,655,365.23","174,184,904.22","1,026,282,690.48","183,543,828.91","206,596,730.20","222,620,687.54","3,512,586,755.13","840,576,273.24","672,140,309.57","788,017,121.61","861,531,097.30","487,497,639.17","241,026,519.98","268,860,106.24","893,159,253.47","219,759,117.21","203,335,616.51","278,782,555.20","899,646,566.45","440,057,313.17","156,986,670.61","352,355,024.37","1,260,792,761.11","414,639,750.85","1,131,516,305.44","1,341,542,709.00","3,847,491,823.75","1,361,104,185.65","1,462,624,293.75","2,445,085,895.92","4,199,846,323.30","1,468,259,054.08"
其他应收款,"10,552,554.85","8,468,846.99","11,449,598.66","16,628,486.21","15,845,581.61","24,351,420.11","49,646,010.58","61,798,939.27","55,937,929.03","48,598,163.06","56,565,819.42","61,040,032.64","38,800,371.79","62,276,422.37","60,699,343.40","60,642,833.67","39,189,095.28","57,135,928.35","41,537,950.15","45,928,487.83","79,665,199.24","88,452,321.76","74,209,874.59","43,323,938.22","117,909,604.42","126,244,525.70","117,028,303.53","129,540,077.16","117,025,613.50","128,707,278.07","133,390,125.20","129,220,473.13","110,535,658.50","123,009,882.71","123,066,599.68","111,630,814.89","57,084,601.83","69,978,615.75"
应付职工薪酬,"27,074,272.67","21,099,911.44","18,690,228.57","15,130,931.41","64,925,088.63","16,033,344.19","18,208,081.89","17,019,585.32","94,326,140.75","19,476,962.19","22,646,294.21","20,999,811.24","88,151,178.48","39,256,855.34","14,839,791.91","17,438,179.58","180,244,854.45","92,026,624.48","8,904,773.23","9,009,181.07","75,401,522.31","16,520,374.78","8,963,545.98","10,067,487.54","75,181,348.77","10,521,521.46","9,451,490.87","9,372,967.29","117,942,111.17","11,741,717.95","14,900,390.11","15,665,278.18","165,454,185.74","15,697,441.37","13,943,191.68","13,292,046.08","209,658,648.29","7,657,477.62"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"181,505,301.71","212,436,552.60","187,831,249.14","211,390,347.52","284,264,275.43","346,246,347.60","345,553,341.21","696,844,293.85","829,688,807.45","1,161,327,254.78","1,086,132,802.34","1,360,301,158.01","1,435,316,173.47","1,841,711,313.28","1,263,933,176.78","2,151,984,665.37","1,992,355,990.77","2,228,883,146.41","1,066,524,708.40","1,721,074,661.39","1,426,998,980.70","2,208,866,470.03","1,001,214,736.44","1,525,851,305.38","1,118,361,637.61","1,327,862,366.94","1,270,402,523.53","1,836,875,835.91","1,430,921,887.48","1,312,204,285.97","1,290,351,986.46","1,865,223,100.67","1,807,842,582.92","1,801,326,685.89","1,572,046,356.98","2,287,677,269.13","2,289,562,127.67","2,745,420,284.69"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,,,,,,"2,234,322.23",,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,"936,728.96",,"56,621,761.20",,"21,452,616.00","21,452,616.00","10,452,616.00","10,452,616.00","10,452,616.00","4,696,611.20","4,696,611.20","4,696,611.20","606,709,381.20","36,709,381.20","4,696,611.20","4,696,611.20","292,655,328.92","12,655,328.92","4,696,611.20","4,696,611.20","239,964,098.00","4,696,611.20","4,696,611.20","4,696,611.20","4,696,611.20","4,696,611.20","4,696,611.20","4,696,611.20","285,900,383.10","4,696,611.20",,
存货,"450,076,466.90","594,971,211.86","517,334,459.96","561,498,879.28","914,046,028.01","841,126,376.72","1,364,553,765.03","1,358,632,465.00","1,870,616,233.99","1,699,427,247.58","2,096,549,911.69","2,461,737,183.91","3,793,372,799.99","3,357,872,148.73","3,952,242,260.01","4,446,698,922.69","5,923,146,958.90","6,004,073,912.98","6,722,176,365.61","7,112,125,823.36","8,779,252,893.29","8,438,983,587.89","9,067,333,737.18","9,053,884,390.75","10,097,018,699.59","9,680,801,520.10","9,848,735,420.07","9,982,088,877.47","11,122,379,916.13","10,315,081,123.72","10,628,962,287.11","10,744,369,030.59","12,221,515,305.37","11,273,659,931.46","11,604,442,640.37","11,809,460,539.29","12,861,503,434.11","12,016,413,327.68"
其他应付款,"127,344,194.94","211,002,910.70","330,436,968.52","490,184,063.96","430,635,429.80","601,749,189.10","884,622,678.57","1,373,656,018.61","1,118,104,034.73","1,741,266,456.95","2,238,942,312.93","3,502,613,330.08","2,880,821,615.24","4,833,038,283.48","4,610,936,074.23","4,850,693,613.95","4,523,461,717.04","4,472,088,335.73","3,718,617,925.57","4,023,963,112.56","4,522,163,325.55","4,372,696,123.95","3,642,926,782.09","4,080,224,565.12","4,046,780,196.20","4,127,981,564.51","3,750,302,497.73","4,125,214,604.39","4,724,585,228.44","4,637,246,109.81","4,035,119,038.76","4,338,494,680.66","4,867,632,425.33","5,028,786,968.91","4,466,061,255.37","5,020,829,977.93","5,620,040,515.94","5,803,153,198.35"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"355,000,000.00","355,000,000.00","248,000,000.00","88,900,000.00","238,900,000.00","238,900,000.00","641,100,000.00","602,200,000.00","552,200,000.00","552,200,000.00"
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产,,,,,,,,,,,,,,,,,,,,,,,"387,900,000.00","2,610,500,000.00","1,445,250,000.00","1,635,600,000.00","1,749,000,000.00","1,448,000,000.00","4,983,900,000.00","6,867,000,000.00","6,195,902,000.00","5,700,784,797.52","10,065,235,053.84","11,683,256,650.76","8,290,181,941.96","10,746,208,327.11","12,996,375,380.41","12,885,625,263.43"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"1,119,165,800.97","1,675,046,094.88","2,587,763,707.18","2,977,816,645.73","5,777,822,622.76","6,498,661,529.92","6,321,260,634.91","7,670,593,323.78","9,068,811,495.56","9,728,654,269.45","8,607,913,461.73","10,846,695,044.50","14,191,581,720.26","15,375,874,720.13","13,497,879,753.81","15,719,679,386.59","15,520,663,050.03","16,596,381,683.51","15,907,821,865.79","16,472,496,699.39","17,218,003,155.98","18,207,197,902.64","15,812,480,294.41","17,388,374,635.53","16,191,311,780.93","18,179,542,534.74","17,383,472,959.05","18,787,756,230.50","21,455,888,751.68","22,821,296,311.60","19,404,715,367.87","22,060,980,312.78","25,324,574,480.65","25,195,218,955.97","22,203,152,006.62","25,267,923,415.97","28,526,575,720.21","29,019,701,172.87"
流动负债合计,"595,629,526.93","647,107,630.82","1,257,399,854.04","1,387,938,368.52","1,261,119,921.73","1,326,540,987.66","1,905,260,794.98","2,890,331,532.94","3,761,953,051.38","3,668,087,015.91","4,185,481,196.55","5,838,050,599.94","8,680,136,068.48","8,129,954,115.79","7,362,681,663.99","8,653,712,734.77","8,682,995,823.05","8,512,961,604.29","9,551,317,416.49","9,481,791,888.92","10,557,362,802.53","10,174,331,904.34","9,066,785,010.88","9,778,338,621.46","8,721,359,488.94","8,942,615,878.97","9,387,904,546.78","9,530,532,572.25","10,577,645,953.33","9,860,970,814.47","8,432,216,708.58","9,951,701,730.65","12,437,330,629.70","9,717,364,890.78","8,962,616,573.56","10,776,461,294.14","13,438,711,189.67","11,094,164,905.79"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,"1,004,624,874.88","1,125,122,817.90","1,178,523,424.14","1,347,190,735.28","1,369,361,590.19","1,158,685,162.03","1,195,354,291.66","1,175,123,140.47","1,122,662,295.22","1,458,069,647.18","1,492,415,644.58","1,620,338,814.69","2,020,549,792.42","3,460,279,142.76","4,086,813,399.49"
长期借款,"400,000.00","400,000.00","400,000.00","400,000.00","400,000.00","400,000.00","400,000.00","400,000.00","400,000.00","400,000.00","400,000.00","400,000.00","400,000.00","400,000.00","363,636.00","363,636.00","363,636.00","327,272.00","327,272.00","327,272.00","327,272.00","327,272.00","327,272.00","290,908.00","254,544.00","254,544.00","254,544.00","254,544.00","218,180.00","218,180.00","181,816.00","181,816.00","181,816.00","145,452.00","145,452.00","145,452.00","145,452.00","145,452.00"
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,"8,806,385.99","7,746,052.86","6,800,000.00","6,800,000.00","6,800,000.00","6,800,000.00","11,948,000.00","13,935,200.00","13,935,200.00","66,435,200.00","269,861,649.00","318,273,064.00","518,658,890.00","602,348,683.00","602,348,683.00","627,348,683.00","627,348,683.00","652,858,131.00","607,607,532.50","671,129,263.51","970,181,263.51","970,181,263.51","995,626,520.03","20,000,557.19","19,823,585.92","23,163,807.16","22,932,776.31","22,934,581.74","46,423,463.63","43,192,600.19","22,450,987.63","22,324,136.33","21,029,470.42","21,411,760.29","19,607,067.68","19,650,661.73","1,980,046.94","5,133,956.01"
专项应付款,"152,348,109.00","151,021,285.00","150,052,816.63","149,858,174.08","149,556,824.53","149,430,172.00","149,357,415.74","149,325,725.74","242,722,545.51","242,642,692.00","242,029,144.92","220,061,149.92","219,950,556.32","213,985,283.67","206,032,634.48","203,682,190.73","203,053,835.73","202,803,181.73","202,622,901.73","202,175,861.73","202,036,021.73","201,719,781.73","201,550,861.73","201,363,261.73","201,176,421.73","201,067,032.73","200,800,112.73","200,724,914.73","200,663,349.67","200,535,189.67","200,206,583.07","200,037,423.07","199,978,943.07","199,777,410.75","199,630,090.75","199,310,410.75","199,107,530.75","198,978,090.75"
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"190,266,145.64","236,061,460.61","294,164,130.88","295,460,633.85","493,362,599.02","494,894,266.74","752,995,591.98","772,445,322.36","880,386,170.94","939,094,600.23","967,138,084.54","1,011,844,834.19","1,564,890,835.56","1,821,819,237.42","1,879,973,121.32","2,350,516,723.13","3,122,609,284.58","3,181,966,671.16","3,533,084,071.34","3,577,126,347.23","5,345,352,595.51","5,663,018,842.42","6,046,960,476.10","6,100,435,013.45","6,362,235,974.30","6,402,552,655.91","6,486,148,648.95","6,552,215,741.16","6,968,913,193.01","6,954,123,612.79","7,231,017,247.32","7,384,488,302.07","7,970,035,119.29","7,845,804,891.09","7,759,459,661.61","7,841,422,189.06","8,249,559,468.26","8,150,322,455.83"
递延所得税负债,,,,,,,"94,718,828.09","90,681,138.82","87,077,094.48","83,477,135.80","79,877,247.37","76,682,804.27","73,403,963.18","70,110,134.64","66,788,274.77","63,480,430.56","60,186,815.09","56,886,085.25","53,585,355.41","50,307,892.53","47,014,918.34","43,727,497.15","40,413,458.66","37,112,728.83","33,899,801.96","30,624,111.95","27,348,421.95","24,110,375.39","20,886,556.50","17,653,953.10","14,417,459.77","18,467,361.87","18,499,326.73","18,210,449.81","17,760,184.61","19,399,358.24","17,957,771.10","17,155,310.47"
在建工程,"25,543,685.64","112,810,861.33","165,226,314.97","210,470,909.16","56,952,123.10","97,710,878.37","174,623,241.69","227,026,345.77","377,524,460.93","704,632,552.84","1,006,397,217.21","1,365,198,803.38","1,005,355,974.72","1,127,853,692.05","1,475,884,811.99","1,754,269,240.05","1,920,630,356.55","2,840,486,776.73","3,019,618,536.48","3,376,641,942.11","2,064,558,999.10","2,367,234,764.97","2,009,142,706.64","2,132,472,834.05","2,002,215,007.83","2,184,837,445.61","2,090,415,770.98","2,009,605,896.42","1,526,064,248.40","1,639,158,259.64","1,248,102,088.84","1,246,919,057.63","544,670,924.38","564,438,414.09","588,146,503.54","643,602,910.15","234,431,457.83","240,531,792.54"
其他非流动负债,,"1,334,166.67","886,666.67","886,666.67","839,166.67","815,416.67","791,666.67","767,916.67","744,166.67","720,416.67","696,666.67","672,916.67","649,166.67","625,416.67","601,666.67","577,916.67","554,166.67","530,416.67","506,666.67","482,916.67","14,963,166.67","37,889,416.67","67,865,666.67","67,841,916.67",,,,,,,,,,,,,,
