科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"200,557,752.83","297,539,939.20","381,307,107.00","229,195,851.43","277,229,256.91","409,248,702.05","122,276,942.58","317,911,431.83","473,681,528.85","668,360,576.58","128,701,388.32","185,096,320.34","485,026,946.80","632,700,379.95","129,550,400.58","272,290,176.89","592,973,123.20","814,165,692.76","229,499,764.23","613,581,781.43","938,918,564.31","1,100,288,384.79","306,060,468.77","576,983,977.30","975,554,134.40","1,349,076,214.53","397,640,635.76","803,598,808.10","1,332,716,796.93","2,018,234,162.85","445,243,919.68","834,357,507.82","1,233,165,701.50","2,177,602,885.87"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"3,143,537.62","1,216,104.72","2,559,242.51",,,"1,624,639.08",,,"1,417,898.74","3,625,796.05","2,206,808.10","1,735,494.35","3,356,841.15","3,586,962.03","5,931,177.94","6,183,744.06","8,011,904.23","8,190,157.32","2,019,679.81","2,217,838.67","3,422,727.78","10,149,693.59","2,080,065.91","7,717,009.34","7,717,009.34","9,090,197.24","2,815,774.15","7,084,127.85","21,508,230.90","44,896,014.00","3,471,449.21","26,883,552.69","36,238,833.57","67,949,691.98"
支付其他与投资活动有关的现金,,,,,,,,,,,,,"15,013.51",,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"4,356,602.74","2,228,039.72","9,280,686.04","855,451.08","5,059,512.29","10,113,202.63","1,767,716.32","2,773,059.85","3,999,062.00","9,857,812.00","12,760,150.55","37,298,705.51","28,272,835.23","23,485,580.47","1,501,417.93","2,452,329.17","5,263,322.10","9,881,085.84","2,173,341.27","3,019,794.16","4,832,463.63","8,582,901.29","1,592,063.16","15,456,943.40","20,321,083.24","129,834,455.07","28,907,659.62","16,076,669.96","29,971,404.39","126,780,376.80","35,754,842.75","19,235,989.93","64,362,546.64","63,483,348.93"
投资活动现金流出小计,"24,493,001.41","16,327,746.89","18,440,311.36","15,930,711.45","49,765,536.98","88,507,398.68","63,512,634.50","167,552,466.23","213,509,482.64","271,657,795.24","39,202,074.09","134,108,523.94","178,520,617.39","344,277,876.58","37,589,733.49","169,708,164.66","260,447,816.12","463,244,698.17","29,346,636.82","255,479,819.73","683,535,926.57","643,723,296.44","315,910,373.87","1,375,835,688.85","1,815,703,107.87","1,689,955,113.15","396,620,993.41","794,073,924.74","893,110,401.87","1,976,729,751.72","131,666,691.65","163,305,214.40","957,062,387.82","2,547,992,862.98"
经营活动现金流入小计,"208,057,893.19","300,984,083.64","393,147,035.55","230,051,302.51","282,288,769.20","420,986,543.76","124,044,658.90","320,684,491.68","479,098,489.59","681,844,184.63","143,668,346.97","224,130,520.20","516,656,623.18","659,772,922.45","136,982,996.45","280,926,250.12","606,248,349.53","832,236,935.92","233,692,785.31","618,819,414.26","947,173,755.72","1,119,020,979.67","309,732,597.84","600,157,930.04","1,003,592,226.98","1,488,000,866.84","429,364,069.53","826,759,605.91","1,384,196,432.22","2,189,910,553.65","484,470,211.64","880,477,050.44","1,333,767,081.71","2,309,035,926.78"
投资活动产生的现金流量净额,"-24,493,001.41","-14,477,746.89","-18,440,311.36","-15,930,711.45","-49,765,536.98","-88,507,398.68","-63,512,634.50","-167,552,466.23","-213,509,482.64","-271,474,587.55","-39,202,074.09","-134,108,523.94","-178,520,617.39","-344,226,376.58","-37,589,233.49","-169,707,664.66","-260,447,316.12","-458,063,748.20","80,484,568.79","-60,919,725.07","-417,048,500.94","-371,220,785.63","-315,910,373.87","-1,255,147,726.31","-1,064,901,969.26","-1,404,707,120.70","-396,603,245.51","-106,940,333.59","-181,620,614.95","52,172,563.19","151,985,570.34","269,316,182.31","121,924,046.46","-15,949,972.77"
购买商品、接受劳务支付的现金,"191,244,913.95","127,023,649.36","309,634,108.50","125,771,400.91","201,646,403.02","389,856,368.40","99,036,306.04","200,470,314.22","381,826,009.80","603,826,536.74","75,450,089.00","106,273,387.88","359,398,973.02","340,204,815.53","51,432,500.37","165,004,243.00","408,451,590.95","593,189,714.38","140,730,385.88","398,605,156.27","620,846,479.05","586,301,683.91","158,939,395.82","435,871,506.37","734,540,345.15","813,380,812.28","343,008,318.22","609,020,465.06","1,023,087,619.32","1,346,077,995.14","475,203,496.92","798,327,349.28","1,138,397,509.62","1,872,636,976.16"
吸收投资收到的现金,,,,,"552,792,700.00","563,150,000.00",,,,,,,,,,,,,,,,"1,265,243,207.56",,,,,,,,,,,,
