科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2015-12-31
货币资金,,"19,859.76",,"184,789.96",,"25,184.84",,"65,835.48",,"43,209.82",,"5,127.00",,"19,035.76",,"29,711.29",,"50,743.71",,"145,475.25",,"245,624.80","141,985.59",,"8,959.06","17,219.54","7,805.03","6,667.75","1,869,636.10"
短期借款,,"7,000,000.00",,"7,000,000.00",,"7,000,000.00",,"7,000,000.00",,"7,000,000.00",,,,,,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,249,492.50"
应付账款,,"68,898.02",,"68,898.02",,"68,898.02",,"68,898.02",,"68,898.02",,,,,,,,,,,,,,,,,,,
预付款项,,"428,000.00",,"428,000.00",,"428,000.00",,"428,000.00",,"428,000.00",,,,,,"152,768.00",,"196,187.00",,"2,627,383.38",,"2,893,724.35","2,998,536.45",,"2,436,371.48","1,436,371.48","9,000.00",,"300,000.00"
预收款项,,"11,509,239.01",,"1,698,819.29",,"1,698,819.29",,"1,698,819.29",,"1,698,819.29",,,,,,,,,,,,"127,903.00","67,904.00",,"17,904.00","17,904.00",,,
其他应收款,,"495,186.62",,"150,979.96",,"150,979.96",,"38,686.63",,"38,686.63",,"90,986.63",,"106,995.63",,"105,746.63",,"612,158.63",,"68,254.58",,"5,225,619.02","50,043,142.52",,"49,626,017.31","49,297,268.92","50,029,040.82","44,545,796.51","44,030,248.00"
应付职工薪酬,,"2,501,845.34",,"2,030,319.40",,"2,030,319.40",,"2,030,319.40",,"2,030,319.40",,"2,029,919.40",,"2,029,919.40",,"2,029,919.40",,"2,029,919.40",,"2,029,919.40",,"2,029,919.40","2,029,919.40",,"2,029,919.40","2,029,919.40","2,029,919.40","2,061,721.61","3,903,616.14"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,,"50,429.46",,"50,429.46",,"50,429.46",,"50,429.46",,"63,059.46",,"67,269.46",,"66,993.73",,"68,601.87",,"67,318.73",,"179,318.73",,"233,434.41","1,104,697.86",,"1,124,648.85","1,124,648.85","2,115,098.80","2,117,161.47","10,612,874.11"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,"10,342,419.72",,"10,342,419.72",,"11,406,419.72",,"11,938,419.72",,"12,470,419.72",,"13,002,419.72",,,,,,,,,"3,037,520.28",,"3,037,520.28","3,037,520.28","3,168,548.99","3,168,548.99","3,042,425.30"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
