科目,2008年度,2009年度,2010年度,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"29,749,593.90","40,975,041.36","75,541,459.24","46,638,534.45","88,191,943.56","5,565,059.07","33,892,158.41","59,191,764.35","88,312,365.09","24,082,719.67","50,414,762.97","79,751,766.90","126,611,487.49","31,982,437.12","75,648,799.09","117,225,134.50","172,021,896.89","62,407,075.23","153,980,171.72","222,882,044.42","372,096,449.70","98,100,678.13","208,187,349.51","318,961,253.60","506,081,510.80","101,505,962.05","208,338,391.36","325,083,714.61","570,528,419.27","108,305,465.62","222,441,907.13","333,443,485.17","517,643,852.67","83,447,855.05"
取得子公司及其他营业单位支付的现金净额,,,"3,570,642.83",,,,,,"-157,453.39",,,"8,107,714.81","9,851,563.81","34,139,377.77","34,357,599.30","34,357,599.30","34,357,599.30",,"173,593,370.90","173,468,370.90","173,468,370.87",,,,,"213,570,427.71","287,628,361.71","287,628,361.71","323,570,427.71",,,,"22,000,000.00","240,000.00"
收到的税费返还,,,,,,,,"5,850.00",,,,,,,"262,930.00","264,743.43",,"260,168.00","260,168.00","260,168.00",,"1,243,255.60","1,243,255.60","1,243,255.60","1,343,274.65",,,"309,051.77","309,051.77",,,"2,178,173.37","2,178,173.37",
支付其他与投资活动有关的现金,,,,,,,,"122,000.00",,,,,,,,"8,000,000.00",,,,,"2,092,811.97","1,300,000.00",,,"300,069,649.53",,"35,942,066.00","35,942,066.00",,,,,,
收到其他与经营活动有关的现金,"3,706,027.76","239,183.35","3,455,198.05","1,422,908.51","2,576,457.94","2,237,170.20","673,783.18","2,249,237.70","1,618,231.56","582,027.80","5,874,971.70","8,490,005.07","9,101,254.33","6,477,637.13","10,351,155.93","14,367,476.75","9,006,241.69","2,897,804.83","9,383,784.59","18,920,050.21","36,480,119.15","5,198,234.29","4,414,985.43","10,456,691.05","17,509,602.70","43,218,218.11","14,908,128.13","20,295,538.36","12,881,813.25","11,841,625.76","9,267,361.71","16,637,390.48","14,204,394.45","11,376,545.32"
投资活动现金流出小计,"6,384,135.96","1,464,205.00","4,074,503.83","4,363,008.00","6,012,527.00","1,915,793.00","4,138,182.46","6,291,183.86","123,108,230.03","3,970,096.50","8,013,441.10","16,260,467.53","15,867,265.88","50,563,792.77","56,363,916.30","64,699,244.30","62,879,628.33","83,963,567.74","311,724,164.15","380,475,356.94","426,191,435.88","141,399,514.99","198,697,577.28","458,004,322.72","480,276,288.13","538,268,550.58","715,475,144.48","804,280,823.18","918,120,217.06","19,904,846.81","26,317,806.48","79,184,837.11","108,011,033.63","36,845,546.24"
经营活动现金流入小计,"33,455,621.66","41,214,224.71","78,996,657.29","48,061,442.96","90,768,401.50","7,802,229.27","34,565,941.59","61,446,852.05","89,930,596.65","24,664,747.47","56,289,734.67","88,241,771.97","135,712,741.82","38,460,074.25","86,262,885.02","131,857,354.68","181,028,138.58","65,565,048.06","163,624,124.31","242,062,262.63","408,576,568.85","104,542,168.02","213,845,590.54","330,661,200.25","524,934,388.15","144,724,180.16","223,246,519.49","345,688,304.74","583,719,284.29","120,147,091.38","231,709,268.84","352,259,049.02","534,026,420.49","94,824,400.37"
投资活动产生的现金流量净额,"-6,384,135.96","-1,464,205.00","-4,043,975.83","-4,350,002.74","-5,961,900.24","-1,894,960.00","-4,076,886.46","-6,061,850.47","-51,558,209.10","-3,090,585.51","32,003,890.90","23,757,108.47","25,553,605.42","-50,556,592.77","-56,356,421.02","-64,661,191.52","-62,186,888.77","-59,770,992.68","-232,626,984.06","-284,140,674.14","-259,441,726.51","-47,073,700.32","-17,287,788.05","-29,067,294.91","-377,651,219.54","-298,443,517.83","-365,778,470.27","-358,960,562.06","-352,519,930.73","2,122,545.85","28,133,138.12","-1,091,957.20","-4,640,438.13","-36,845,546.24"
购买商品、接受劳务支付的现金,"11,519,902.65","9,779,928.99","16,602,029.46","23,059,662.78","28,055,578.99","5,906,880.30","10,944,624.41","17,923,689.72","37,709,741.28","13,484,813.39","31,568,217.16","44,222,316.45","64,261,527.42","18,247,042.71","35,310,646.13","52,643,341.66","85,302,568.13","33,210,542.57","66,998,361.21","89,214,076.90","148,526,998.35","57,790,552.84","112,849,520.18","153,454,973.91","180,848,637.14","62,896,115.35","87,223,082.79","150,220,688.46","215,394,734.13","99,137,873.14","157,239,966.36","235,434,299.64","211,490,830.53","54,950,631.28"
吸收投资收到的现金,"737,450.00","15,010,000.00","8,665,050.00",,,"253,320,000.00","253,320,000.00","253,320,000.00","253,320,000.00",,,,,,,,,,"173,023,964.87","173,023,964.87","173,023,964.87",,,,,,,,,,,,,
