科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"25,926,857.04","178,146,913.56","279,083,915.36","359,500,074.40","133,089,160.45","200,770,605.80","272,855,453.47","657,253,346.42","184,318,797.17","237,104,136.49","424,340,296.90","573,680,423.04","105,592,294.39","261,326,497.46","297,152,201.29","504,227,742.57","149,239,657.85","191,674,254.48","194,880,218.21","509,812,978.62","129,311,168.56","423,712,462.94","670,414,380.33","764,757,191.68","299,501,235.00","374,778,641.56","825,408,589.71","891,715,053.49","183,481,549.77","396,758,461.31","603,385,869.20","640,839,545.38","44,343,329.94","99,727,337.78","341,032,590.22","477,735,809.60","241,815,278.38","427,124,546.70","657,045,590.09","1,592,067,967.14","369,810,863.19","718,281,887.40","1,326,132,832.36","2,075,256,781.28","1,040,042,779.76","2,332,376,581.38","4,629,764,384.36","5,998,574,652.64","1,841,740,626.81"
三、利润总额,"830,747,201.63","2,526,544,293.49","2,953,668,641.14","7,641,605,685.33","1,022,827,821.69","3,327,956,389.86","3,750,421,309.49","6,322,285,626.03","1,227,682,233.52","4,191,005,358.24","5,017,079,166.86","8,617,427,808.09","1,551,610,840.12","4,148,140,350.66","5,062,745,818.44","11,940,752,579.02","1,674,454,722.54","4,451,808,658.22","5,650,195,653.25","15,805,882,420.32","2,058,142,814.14","6,048,671,988.14","8,165,983,483.36","21,070,185,138.11","2,394,885,503.42","7,133,412,305.51","10,001,034,270.06","24,291,011,249.30","2,039,197,873.75","7,122,474,745.79","9,830,773,053.48","25,252,363,233.49","1,184,265,120.93","8,777,007,697.39","12,494,441,850.43","33,802,617,619.10","1,687,268,595.75","9,980,342,845.59","15,961,171,833.13","39,253,611,726.28","1,571,531,169.40","13,826,911,377.53","20,901,592,186.65","51,141,952,665.41","2,999,301,999.31","19,667,844,908.03","31,662,106,734.28","67,460,201,390.98","5,871,699,645.16"
资产减值损失,"204,344.08","19,027,214.34","7,287,989.69","18,570,156.23","7,239,780.95","9,768,106.44","564,836,093.77","1,268,113,233.13","651,647.26","-222,646,158.90","-238,153,228.42","-524,239,596.14","-172,954,370.14","-232,134,457.87","-219,691,773.33","-545,451,004.03","38,713,184.07","68,438,616.63","91,283,062.32","64,627,174.84","37,276,267.35","100,316,779.88","131,347,455.16","83,818,288.19","17,074,027.88","77,898,847.04","49,233,224.95","60,153,366.60","38,902,473.38","30,891,546.05","55,813,578.66","789,764,570.45","17,893,571.72","24,357,772.96","55,244,138.43","495,946,081.38","5,421,150.12","182,228,889.72","273,594,141.39","1,192,790,158.00","33,976,760.36","67,346,355.65","97,556,270.70","1,318,741,210.19","124,683,904.98","666,110,127.13","3,251,603,420.96","2,354,254,781.00",
减:所得税,"214,638,289.46","725,679,313.34","863,070,196.71","2,324,104,867.51","281,098,025.98","1,021,286,319.72","1,116,100,948.33","1,682,416,473.30","339,139,681.33","1,090,778,103.45","1,347,097,206.51","2,187,420,269.40","375,655,681.01","987,319,461.74","1,237,100,160.03","3,101,142,073.98","484,490,001.77","1,199,291,123.90","1,543,846,650.58","4,206,276,208.55","527,596,047.91","1,513,194,352.23","2,019,811,326.79","5,407,596,715.05","605,516,273.76","1,797,521,006.92","2,523,890,378.34","5,993,461,378.06","400,867,449.88","1,629,994,819.27","2,225,775,642.64","5,964,839,205.41","276,238,897.46","1,987,525,828.14","2,955,817,830.35","7,853,179,592.79","437,445,162.97","2,885,712,247.20","4,670,918,759.93","10,903,356,245.62","462,360,348.35","3,773,921,927.18","6,085,064,955.74","13,933,565,335.34","1,219,816,224.83","6,145,244,287.72","9,864,308,541.59","18,187,906,856.37","2,665,765,269.87"
加:公允价值变动净收益,"593,630.98","1,710,797.76","-1,295,671.90","-22,252,783.90","-15,321,975.13","-3,016,728.00","19,651,104.00","19,262,232.00","-2,146,320.00","-1,849,320.00","1,694,880.00","2,435,350.77","-1,082,691.69","-5,810,671.18","-16,275,323.80","-15,054,493.43","-1,942,460.44","3,627,849.49","-10,446,016.47","-2,868,565.33","-10,353,617.67","-2,271,459.04","-9,272,666.50","-8,719,233.08","1,461,266.63","1,463,937.43","-387,926.35","-572,042.22","-572,697.83","2,894,705.74","2,804,353.95","11,013,281.97",,,,,,,,,,,,,"-16,602,575.98","2,208,479.36","60,890,662.39","86,634,641.18","-35,196,479.59"
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"-2,972,479.83","-10,291,485.51","4,768,260.16","208,030,696.10","6,973,159.30","22,498,788.21","68,141,627.31","209,411,393.50","35,434,913.80","162,106,209.81","314,242,143.86","924,076,829.10","67,864,365.84","494,735,138.69","516,504,216.31","777,931,240.02","-12,352,923.89","28,330,445.86","88,637,485.10","699,715,008.48","125,323,401.68","472,950,034.20","672,266,635.86","928,687,953.69","35,334,452.82","387,543,470.30","515,560,375.08","1,005,187,804.32","730,820,824.95","1,309,133,729.66","1,629,437,106.83","4,159,261,963.52","361,818,628.22","915,690,544.61","1,481,107,900.37","3,561,908,083.68","384,980,776.58","1,342,402,104.73","2,246,171,626.36","5,013,835,862.38","259,723,196.94","1,519,842,840.22","3,387,117,731.34","6,244,561,688.39","-334,817,342.90","784,406,736.76","2,650,012,835.36","6,787,934,513.16","-206,560,647.16"
四、净利润,"616,108,912.17","1,800,864,980.15","2,090,598,444.43","5,317,500,817.82","741,729,795.71","2,306,670,070.14","2,634,320,361.16","4,639,869,152.73","888,542,552.19","3,100,227,254.79","3,669,981,960.35","6,430,007,538.69","1,175,955,159.11","3,160,820,888.92","3,825,645,658.41","8,839,610,505.04","1,189,964,720.77","3,252,517,534.32","4,106,349,002.67","11,599,606,211.77","1,530,546,766.23","4,535,477,635.91","6,146,172,156.57","15,662,588,423.06","1,789,369,229.66","5,335,891,298.59","7,477,143,891.72","18,297,549,871.24","1,638,330,423.87","5,492,479,926.52","7,604,997,410.84","19,287,524,028.08","908,026,223.47","6,789,481,869.25","9,538,624,020.08","25,949,438,026.31","1,249,823,432.78","7,094,630,598.39","11,290,253,073.20","28,350,255,480.66","1,109,170,821.05","10,052,989,450.35","14,816,527,230.91","37,208,387,330.07","1,779,485,774.48","13,522,600,620.31","21,797,798,192.69","49,272,294,534.61","3,205,934,375.29"
其中:对联营企业和合营企业的投资权益,"-2,932,402.78","-37,986,309.63","-31,829,485.77","128,643,366.50","6,973,159.30","21,781,037.48","74,664,101.40","209,735,864.65","18,971,433.30","145,036,315.35","179,591,758.19","541,860,864.68","8,949,974.68","94,439,939.81","85,281,854.38","291,703,045.44","-17,803,746.42","7,773,408.66","28,904,777.43","643,987,754.62","76,262,237.97","422,519,279.65","626,672,977.93","889,787,588.26","35,047,719.69","387,628,972.71","509,360,288.53","999,397,870.95","236,185,302.94","568,440,403.69","888,746,628.61","1,840,369,221.27","305,230,914.89","911,043,537.60","1,232,602,222.23","2,393,092,504.58","85,807,348.08","1,272,331,003.14","2,046,833,798.33","4,930,715,977.10","241,182,537.32","1,472,533,226.92","2,417,092,790.12","4,569,160,048.02","-343,386,540.84","764,544,476.82","2,574,961,233.42","6,279,910,444.74","-312,437,198.49"
归属于母公司所有者的净利润,"612,349,282.31","1,667,999,940.76","1,916,886,797.17","4,844,235,494.21","718,133,261.64","2,061,055,712.25","2,276,541,800.20","4,033,170,027.89","768,764,018.98","2,524,392,406.54","2,957,592,238.84","5,329,737,727.00","1,126,579,449.19","2,812,498,573.20","3,272,003,908.45","7,283,127,039.15","1,205,138,559.33","2,977,854,653.10","3,583,910,174.21","9,624,875,268.23","1,395,936,766.18","3,725,085,079.33","5,079,887,062.17","12,551,182,392.23","1,613,904,228.33","4,556,304,906.89","6,160,218,880.98","15,118,549,405.78","1,529,479,377.61","4,809,238,120.15","6,458,133,425.96","15,745,454,144.70","650,232,416.58","4,846,279,065.45","6,854,457,908.30","18,119,406,249.27","833,232,885.76","5,351,309,986.08","8,262,381,011.76","21,022,606,256.56","695,411,556.91","7,302,723,984.96","11,091,000,884.88","28,051,814,882.36","894,878,011.08","9,123,743,200.32","13,984,559,799.91","33,772,651,678.61","1,120,626,569.29"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"3,759,629.86","132,865,039.39","173,711,647.26","473,265,323.61","23,596,534.07","245,614,357.89","357,778,560.96","606,699,124.84","119,778,533.21","575,834,848.25","712,389,721.51","1,100,269,811.69","49,375,709.92","348,322,315.72","553,641,749.96","1,556,483,465.89","-15,173,838.56","274,662,881.22","522,438,828.46","1,974,730,943.54","134,610,000.05","810,392,556.58","1,066,285,094.40","3,111,406,030.83","175,465,001.33","779,586,391.70","1,316,925,010.74","3,179,000,465.46","108,851,046.26","683,241,806.37","1,146,863,984.88","3,542,069,883.38","257,793,806.89","1,943,202,803.80","2,684,166,111.78","7,830,031,777.04","416,590,547.02","1,743,320,612.31","3,027,872,061.44","7,327,649,224.10","413,759,264.14","2,750,265,465.39","3,725,526,346.03","9,156,572,447.71","884,607,763.40","4,398,857,419.99","7,813,238,392.78","15,499,642,856.00","2,085,307,806.00"
