科目,2008-12-31,2009-12-31,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"65,079,632.30","90,558,057.83","115,368,855.81","55,599,544.42","289,733,995.55","95,411,533.90","161,922,498.71","149,741,360.54","130,267,335.21","99,988,323.39","370,147,382.91","184,613,492.77","214,648,985.01","195,413,017.59","307,691,199.37","273,289,913.62","341,734,272.29","336,454,244.51","370,209,326.44","218,831,916.26","183,104,304.17","592,441,095.62","745,392,153.84","502,350,228.99","492,023,137.57","328,554,488.43","495,645,820.50","580,365,405.95","653,409,218.77","574,995,189.29"
短期借款,"75,000,000.00","92,000,000.00","192,000,000.00","233,400,000.00","253,500,000.00","208,000,000.00","228,000,000.00","302,101,089.39","311,000,000.00","326,000,000.00","403,000,000.00","442,000,000.00","611,400,000.00","820,400,000.00","765,400,000.00","834,534,993.68","747,578,555.00","783,578,555.00","763,578,555.00","682,800,000.00","664,000,000.00","627,000,000.00","742,000,000.00","809,692,500.00","802,156,000.00","784,389,000.00","866,995,370.23","859,496,500.00","858,372,000.00","850,879,885.00"
交易性金融资产,,,,,,,"906,090.00","294,565.32","361,837.31","62,539.22","82,082.82","86,852.30","377,028.94","399,542.79",,,"506,118.53","435,891.00","427,680.00","366,432.00",,,,,,,"545,672.71","545,672.71",,
交易性金融负债,,,,,,,,,,,,,,,"500,310.70","1,039,539.09",,,,,,,,"270,900.00",,,,,,
应收票据,"4,459,155.47","11,640,000.00","16,962,102.00","19,599,600.05","22,184,313.00","48,703,618.06","78,267,090.16","37,829,431.12","110,289,273.83","71,364,641.86","79,175,762.48","176,051,300.49","199,580,157.10","208,271,495.75","262,537,338.70","175,529,313.69","94,345,741.30","128,672,363.66","258,727,729.65","189,496,020.31","76,173,327.16","66,771,673.20","105,422,642.35","100,711,587.97","72,284,432.20","46,821,439.87","83,062,909.40","49,866,108.55","22,644,839.04","39,755,321.69"
应付票据,"15,510,000.00","26,020,829.85","40,154,958.64","31,360,794.44","8,150,000.00","9,970,000.00","21,377,990.00","15,607,990.00","25,300,000.00","24,830,000.00","97,747,052.80","228,865,858.68","175,196,734.89","95,277,929.01","59,431,000.00","100,478,723.42","118,239,659.12","171,117,939.95","227,787,387.75","171,434,929.07","156,206,504.07","180,033,153.75","210,889,426.40","201,262,835.73","172,259,281.05","57,114,864.27","67,723,381.74","105,996,774.97","138,406,852.85","191,089,799.68"
应收账款,"34,664,468.63","37,414,088.32","71,494,058.43","145,462,170.55","179,628,210.61","240,781,637.06","179,587,530.73","259,314,311.35","303,691,688.80","406,438,338.84","388,779,394.39","512,587,913.95","596,201,073.90","598,447,483.73","646,876,902.10","892,217,920.59","864,995,112.16","930,166,745.44","770,652,395.96","804,506,581.42","814,922,157.68","830,529,295.09","816,739,005.56","854,376,029.89","840,681,945.35","871,359,371.39","655,427,281.47","612,421,703.66","905,489,077.72","837,777,161.44"
应付账款,"56,658,808.93","79,854,690.37","118,784,968.49","113,494,187.84","156,825,354.96","199,558,402.10","197,778,437.86","226,340,956.24","297,448,653.56","356,475,869.75","398,336,877.20","442,510,796.19","538,156,836.57","501,263,167.24","632,963,424.46","569,955,006.93","575,006,397.47","605,093,913.73","614,495,317.23","493,580,257.78","457,002,539.48","490,946,558.96","560,711,531.30","466,573,316.86","433,524,342.91","423,178,619.22","598,865,178.83","591,415,891.91","798,964,273.12","807,047,124.88"
预付款项,"17,285,477.47","24,579,665.16","49,474,995.54","113,342,638.33","115,277,688.84","157,390,760.13","101,603,343.44","162,357,915.32","172,923,464.76","165,215,492.88","122,578,706.84","265,324,913.45","193,480,778.99","291,726,714.02","181,343,059.31","174,962,810.36","207,320,651.91","192,203,691.87","63,370,686.40","115,128,724.08","71,184,116.64","60,831,978.90","61,424,943.52","77,273,466.75","87,684,298.64","101,578,459.86","70,581,197.93","98,353,965.27","119,663,806.62","193,476,363.79"
预收款项,"101,785,043.02","71,761,239.98","106,488,078.26","120,974,753.34","166,079,970.77","167,140,526.76","209,228,967.65","224,317,164.12","308,803,661.99","306,515,872.47","377,746,965.44","412,941,290.98","440,066,214.37","490,674,553.93","394,489,747.90","283,874,703.30","210,808,349.21","223,648,669.37","195,372,417.08","251,491,526.65","197,479,475.89","223,124,509.76","151,395,119.32","192,535,811.49","211,123,445.85","174,584,094.58","193,061,783.95","276,509,869.65","347,082,654.16","362,935,549.40"
其他应收款,"2,684,356.78","2,206,557.13","4,703,697.23","5,853,630.98","7,112,670.13","11,070,012.50","8,793,517.54","9,868,308.50","10,101,497.39","12,054,240.88","11,066,089.92","22,866,418.31","14,744,925.31","17,662,826.18","14,725,842.58","13,182,026.82","14,624,319.16","16,911,680.56","9,653,504.11","20,784,225.49","14,329,787.05","7,609,663.30","16,937,272.01","19,943,541.07","13,652,715.40","26,353,740.78","15,115,485.35","62,028,833.18","44,825,530.94","38,440,439.41"
应付职工薪酬,"4,286,276.58","9,909,501.60","11,619,689.69","6,599,283.35","8,611,267.31","14,592,994.39","19,399,374.51","28,526,744.26","22,270,350.80","28,833,702.99","31,043,134.39","50,063,382.30","74,351,834.30","89,227,668.21","74,113,228.40","82,468,045.83","60,620,243.70","65,183,812.56","70,640,214.04","72,238,559.93","51,574,839.43","56,179,672.21","51,154,774.14","37,113,436.80","25,790,314.67","31,741,819.16","41,949,448.12","41,259,795.51","22,865,931.18","24,484,834.36"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"-734,179.67","-667,266.59","7,807,667.71","13,665,126.40","6,081,071.51","9,493,882.31","-6,115,507.27","349,923.18","13,220,792.09","8,891,552.01","24,947,369.41","22,858,505.22","6,046,387.70","20,137,477.75","18,336,538.46","21,062,769.23","24,955,315.20","12,692,020.46","19,119,504.53","25,621,045.31","20,001,216.55","1,974,381.70","7,945,093.97","3,051,672.52","5,428,999.17","9,802,841.42","6,398,004.63","3,903,963.38","10,496,292.40","12,046,452.91"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,,,,,,,,,,,,"980,089.50","980,912.12","985,667.73","421,536.92"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,"20,287,200.00",,,,,,,,"2,939,628.08",,,,,,
