科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"160,938,912.32","277,234,783.06","435,397,584.67","113,921,436.48","218,570,802.11","319,567,130.95","480,267,777.26","117,803,093.12","186,024,229.88","257,441,218.39","285,866,438.58","60,289,772.22","169,054,844.10","323,077,848.71","513,578,986.63","111,799,733.17","244,683,671.25","351,736,291.07","533,450,917.49","61,322,673.83","180,208,162.99","265,723,670.48","362,093,928.17","86,974,022.93","180,818,229.38","258,170,309.48","309,899,959.94","69,119,067.59","156,882,595.15"
二、营业利润,"37,411,166.91","68,074,428.54","97,937,400.23","21,678,572.51","31,339,738.75","51,136,809.37","86,124,247.09","13,184,394.12","14,340,003.81","845,510.54","-67,575,416.02","-20,713,379.10","-14,960,051.46","2,829,360.68","9,097,214.37","1,282,881.56","-1,235,002.98","893,757.61","5,115,821.99","-30,667,746.62","-31,907,317.17","-54,481,193.84","14,927,384.86","-14,916,432.27","-13,896,729.09","-39,780,184.32","-151,227,986.43","12,406,140.70","14,547,087.09"
减:营业成本,"87,038,348.11","140,345,260.59","222,290,342.92","58,425,825.25","101,684,333.63","148,813,883.70","236,420,060.97","57,464,741.00","88,986,425.41","125,311,963.57","157,203,204.61","33,391,477.96","86,422,337.86","159,337,077.54","264,654,068.42","59,268,953.34","130,133,033.99","180,935,976.66","274,515,807.74","32,908,711.10","100,346,440.10","149,541,999.90","219,246,894.50","51,561,031.57","105,685,222.69","158,078,058.49","192,687,854.25","31,969,243.62","94,881,555.56"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,172,030.83","6,011,957.63","9,012,751.46","3,302,237.56","5,701,138.50","5,750,674.88","11,131,828.64","3,629,053.52","5,326,913.67","6,508,332.03","6,114,893.73","901,689.84","2,825,016.29","6,593,368.58","9,390,204.41","2,598,560.96","4,014,263.33","5,696,190.03","9,623,728.49","357,216.64","306,980.53","-453,221.77","1,229,440.26","380,913.23","-50,120.83","-1,110,056.17","1,890,054.51","84,012.20","269,692.85"
营业外收入,"1,023.08","919,557.82","1,442,739.15","4,600.35","1,086,554.74","1,664,266.82","1,726,818.07","353,662.94","1,064,042.68","3,278,512.68","3,331,502.52","71,353.38","86,589.55","113,270.89","126,498.21","14,750.97","216,721.55","245,716.56","2,708,281.70","2,170.35","12,724.78","126,944.93","241,855.72","248,998.35","3,353,038.24","3,380,016.94","7,191,544.90",,"1,213.20"
销售费用,"9,546,977.41","23,395,525.00","41,763,542.55","11,639,891.46","25,593,008.61","38,894,415.98","54,094,851.18","18,352,757.10","29,772,858.52","41,298,478.88","69,385,507.34","25,783,928.44","36,528,969.47","55,354,213.78","78,158,743.00","27,118,653.14","41,295,921.24","58,979,854.23","77,867,892.58","22,499,254.37","37,992,645.71","53,786,360.51","71,815,997.30","18,324,241.15","33,322,764.86","46,884,064.50","68,480,245.26","10,706,711.62","21,373,559.78"
减:营业外支出,"54,729.29","340,934.14","45,953.87","13,367.72","16,172.01","184,663.69","371,548.81","6,633.30","88,496.05","108,329.99","1,255,366.38","100,800.00","101,548.95","105,094.81","196,716.98",500.12,"129,214.46","142,021.36","345,704.66","34,734.48","77,182.27","97,880.24","309,877.98","147,300.00","246,682.61","311,787.25","338,442.67","1,525.52","65,377.35"
管理费用,"18,364,616.01","30,379,734.73","48,691,498.60","14,140,301.43","39,045,083.31","53,942,814.83","71,356,592.52","21,038,407.77","37,399,725.15","56,751,544.37","89,243,841.87","23,856,865.59","46,596,648.94","73,844,835.76","106,963,972.53","26,328,167.50","51,595,792.15","71,843,130.95","96,258,448.18","28,387,942.99","52,011,352.56","79,745,142.59","107,208,190.80","21,059,944.19","40,142,437.63","69,806,351.88","87,598,530.85","15,654,298.36","30,100,237.55"
其中:非流动资产处置净损失,,,,,,,,,,,,,,,,,,,"30,316.62",,,,,,"64,705.83","68,584.31",,,
