科目,2008年度,2009年度,2010年度,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"42,330,806.86","69,640,533.60","103,375,682.47","80,660,733.18","128,987,309.12","17,649,915.07","49,754,124.73","83,005,572.55","125,545,951.95","25,308,372.98","63,042,809.86","109,809,401.56","182,551,768.56","24,634,879.17","86,098,332.52","136,294,803.85","222,872,295.62","44,598,161.89","137,946,561.14","245,651,252.23","378,424,503.38","79,936,096.93","183,061,147.27","302,700,140.51","452,625,310.61","172,399,423.59","265,674,255.06","362,937,551.95","530,346,309.07","139,973,309.18"
二、营业利润,"13,485,047.00","25,884,168.07","37,863,956.03","26,086,792.93","41,061,377.12","1,446,369.60","11,531,226.88","20,998,457.46","24,327,131.76","1,572,576.75","9,231,349.83","16,567,792.65","18,249,049.57","-4,693,269.65","8,660,370.26","17,118,576.55","24,491,183.21","-113,865.93","25,569,183.52","45,232,381.95","70,491,230.30","12,601,898.71","44,939,669.55","84,117,792.64","117,960,682.88","72,980,097.62","88,680,546.66","84,463,913.74","-182,548,082.46","22,180,432.78"
减:营业成本,"17,066,625.34","24,148,291.51","40,959,043.90","32,394,146.66","52,393,630.32","7,804,610.86","22,596,367.54","38,791,462.69","66,527,201.62","18,306,146.55","42,655,809.58","77,376,250.83","124,162,508.05","20,492,108.62","56,790,115.51","86,975,331.72","146,493,959.31","35,665,258.22","76,869,333.62","135,556,556.47","186,589,382.44","34,803,853.84","80,842,035.53","126,977,503.71","183,126,511.60","57,574,048.58","92,036,172.33","131,450,425.11","229,518,221.56","51,909,015.70"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,159,141.74","4,015,079.97","6,155,509.01","4,871,033.51","7,646,649.26","986,241.65","2,802,436.88","4,597,973.34","5,309,547.57","361,645.10","1,113,842.05","1,455,259.34","2,266,290.53","290,186.20","677,280.41","1,036,042.47","1,676,706.54","387,554.90","1,471,960.21","2,255,062.71","4,281,117.68","943,661.84","1,408,716.93","1,704,467.67","3,445,473.73","623,504.96","1,211,342.80","1,694,548.95","3,348,179.26","301,612.02"
营业外收入,"44,251.44","36,370.60","267,382.31","1,041,352.86","1,917,639.19","52,220.96","60,067.29","227,485.97","562,360.44","112,569.28","165,319.54","200,725.95","387,586.85","129,902.97","762,998.33","863,086.91","862,335.26","293,113.53","2,630,442.81","3,737,902.48","10,125,887.81","3,259,830.51","3,471,055.03","6,619,373.82","15,471,870.33","793,037.74","6,108,431.79","8,541,066.48","553,784.23","438,740.16"
销售费用,"1,630,072.57","1,536,598.09","1,743,822.19","1,718,312.01","2,784,718.65","915,043.88","1,820,295.11","2,620,257.98","3,746,109.95","705,535.12","978,135.48","1,358,992.90","1,816,275.49","269,360.87","526,954.91","841,170.41","1,575,212.21","139,582.90","3,322,994.38","8,173,892.98","12,168,300.48","3,591,565.29","7,013,691.24","10,364,707.36","27,879,076.42","2,543,884.54","7,411,138.46","25,651,381.16","53,604,895.84","19,233,306.30"
减:营业外支出,"11,200.52","80,180.50","81,726.74","7,724.24","8,710.51",833.99,"2,351.94","3,768.87","29,758.69","15,541.58","45,910.90","67,780.96","71,895.75","34,334.16","169,919.44","251,332.09","290,227.22","8,478.03","559,285.92","3,586,091.62","898,355.22","40,805.90","130,195.18","138,245.68","433,948.03","51,299.94","62,529.98","62,602.17","126,236.08","60,000.00"
管理费用,"7,806,579.06","11,267,208.50","14,631,143.45","12,666,894.14","20,134,127.50","5,262,400.56","11,002,126.22","17,119,025.00","22,912,841.97","5,210,802.20","11,451,832.84","16,899,139.74","26,638,714.61","7,670,951.91","16,902,632.97","23,677,970.55","34,537,160.40","7,857,284.81","25,291,714.34","47,780,923.10","93,068,961.06","26,117,486.59","48,386,490.06","67,119,002.43","102,523,473.90","26,493,272.62","52,935,128.28","84,630,121.79","118,643,374.38","31,953,006.14"
其中:非流动资产处置净损失,,"60,228.70","18,085.20","1,853.64","2,465.85",,"2,247.94","2,247.94","27,706.40","2,084.10","4,633.15","5,770.66","13,702.27","17,002.25","50,783.13","51,750.26","137,794.83",,"4,668.30","4,668.30","10,966.17",,,"1,450.47","1,450.47",,,,,
