科目,2007年度,2008年度,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"324,711,373.26","268,585,423.97","179,073,193.39","245,368,614.93","55,842,460.78","113,466,357.40","168,934,203.69","251,226,595.14","57,864,059.79","119,738,656.88","176,278,271.19","252,348,676.75","55,111,810.53","99,995,330.92","154,800,099.64","223,411,670.89","54,224,793.50","121,477,478.45","167,719,629.15","234,059,478.95","51,756,764.01","90,767,615.59","136,279,071.92","221,522,904.12","74,323,964.28","173,386,871.52","273,497,673.56","396,428,877.76","85,125,866.77","209,992,977.58","356,146,520.31","571,790,263.20","219,024,357.60","466,967,120.69","671,914,488.75","886,868,361.68","187,422,327.74","388,486,228.08","679,411,543.09","962,709,390.91","191,570,251.24"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"6,427,582.53","2,524,665.80","2,807,945.73","4,011,574.33","1,197,513.02","2,897,163.33","5,952,206.22","6,103,393.42","871,968.36","2,755,792.69","6,306,849.29","7,786,905.93","767,495.85","1,458,818.32","2,923,622.76","3,477,577.56","286,848.78","4,903,314.48","6,062,857.62","6,418,800.51","655,873.75","1,076,401.41","3,148,961.55","4,661,645.58","2,976,733.19","7,089,647.75","9,945,824.69","13,091,363.48","3,709,432.72","6,701,106.48","14,678,803.33","18,753,372.06","1,892,633.81","5,755,252.05","15,821,188.41","26,561,629.30","11,357,549.32","16,140,760.04","24,195,082.58","40,091,841.08","10,349,153.02"
支付其他与投资活动有关的现金,,,,,"36,855.86","64,936.06","64,936.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"14,574,059.80","5,792,375.97","2,902,865.06","3,391,923.22","613,844.05","2,874,542.40","4,556,801.32","3,850,937.49","1,956,826.58","5,237,488.51","7,970,677.64","42,733,979.50","4,402,764.61","15,047,145.45","25,715,055.61","31,617,475.67","6,022,807.69","13,817,652.85","25,689,460.58","27,207,464.23","7,575,934.47","20,612,886.02","28,076,483.63","34,660,913.37","7,749,278.91","15,356,990.55","24,645,061.68","34,213,054.60","7,409,550.09","18,465,397.30","29,190,856.54","42,650,823.37","10,308,078.97","21,651,542.71","32,569,367.80","56,982,132.18","13,723,071.60","24,260,929.75","36,091,897.59","46,194,914.06","9,870,159.01"
投资活动现金流出小计,"93,013,381.40","75,540,628.10","52,944,821.54","73,729,568.78","15,151,717.80","24,019,737.68","30,927,569.57","77,287,776.73","21,517,095.54","27,258,934.52","40,222,595.91","85,574,887.90","10,174,784.76","55,611,736.17","60,121,124.56","122,197,155.64","14,621,096.19","27,999,883.04","63,379,142.37","41,268,748.66","3,285,897.35","8,109,847.78","9,078,348.53","9,821,379.33","364,471.58","20,599,957.79","20,885,086.77","21,122,846.58","247,599,001.42","248,704,113.70","248,822,666.53","248,902,879.53","250,172,869.00","251,319,248.81","424,934,887.87","1,065,234,310.49","230,475,591.61","620,841,970.46","751,233,805.27","1,181,970,731.77","281,874,003.57"
经营活动现金流入小计,"345,713,015.59","276,902,465.74","184,784,004.18","252,772,112.48","57,653,817.85","119,238,063.13","179,443,211.23","261,180,926.05","60,692,854.73","127,731,938.08","190,555,798.12","302,869,562.18","60,282,070.99","116,501,294.69","183,438,778.01","258,506,724.12","60,534,449.97","140,198,445.78","199,471,947.35","267,685,743.69","59,988,572.23","112,456,903.02","167,504,517.10","260,845,463.07","85,049,976.38","195,833,509.82","308,088,559.93","443,733,295.84","96,244,849.58","235,159,481.36","400,016,180.18","633,194,458.63","231,225,070.38","494,373,915.45","720,305,044.96","970,412,123.16","212,502,948.66","428,887,917.87","739,698,523.26","1,048,996,146.05","211,789,563.27"
投资活动产生的现金流量净额,"-1,850,773.51","-34,912,804.90","-50,336,501.54","-71,121,248.78","-15,151,717.80","-23,949,737.68","-30,809,569.57","-77,156,296.73","-21,454,095.54","-27,194,534.52","-40,158,195.91","-85,510,487.90","-10,174,784.76","-55,611,436.17","-60,120,824.56","-122,194,855.64","-14,619,896.19","-27,997,283.04","-63,367,792.37","-31,239,448.66","142,345,256.31","137,530,005.88","136,561,505.13","135,821,974.33","-363,671.58","-20,599,157.79","-20,884,286.77","-20,645,513.43","-247,458,617.87","-248,563,730.15","-247,202,830.93","-227,277,993.93","2,156,535.93","1,437,498.59","-167,803,639.10","-164,563,801.44","-17,420,912.17","-11,147,821.79","-9,419,930.58","-42,267,540.40","1,589,375.43"
购买商品、接受劳务支付的现金,"250,611,424.74","213,048,510.67","120,223,972.61","185,532,277.85","39,728,699.59","97,556,221.19","150,908,554.85","206,563,500.76","32,736,115.55","97,815,963.27","144,766,775.93","204,240,049.31","21,902,649.59","66,208,749.29","109,238,980.37","183,082,265.95","41,922,001.89","102,279,112.76","150,199,459.86","187,617,450.18","31,065,230.53","60,951,256.46","111,165,767.62","197,940,513.37","76,059,193.42","148,821,768.29","251,316,146.98","337,252,096.59","87,335,659.84","218,387,616.10","369,137,408.15","522,283,508.82","250,255,368.44","486,950,917.88","678,280,652.49","838,004,293.85","201,853,802.39","383,579,497.03","665,285,998.61","888,322,392.00","202,163,651.62"
吸收投资收到的现金,,,,"624,507,400.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
