科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"260,219,840.89","231,059,069.64","347,634,892.70","164,445,803.55","314,672,486.06","400,880,479.40","82,776,412.97","181,645,937.92","289,113,159.06","377,931,884.54","89,290,807.89","184,241,677.63","283,554,135.30","440,044,740.44","94,739,681.84","211,375,933.03","321,795,750.81","513,619,721.20","88,504,547.68","190,896,786.44","321,340,764.19","395,996,970.54","102,147,913.85","193,090,621.96","338,463,379.10","498,480,863.23","159,084,623.20","314,878,083.18","524,216,092.75"
取得子公司及其他营业单位支付的现金净额,,,"6,644,426.91",,,,,,,,,,,,,,,,,,,"16,077,304.07",,,,"11,712,289.96",,,"195,570,312.40"
收到的税费返还,"5,520,974.87","10,057,826.61","6,172,972.05","5,454,456.33","9,188,729.37","10,199,883.57","536,510.79","892,687.12","2,410,789.81","5,394,630.09","1,001,843.76","2,144,709.87","6,380,541.63","9,809,335.76","6,361,326.74","10,333,509.14","13,025,200.77","16,401,642.03","2,875,907.53","4,423,924.40","7,389,621.90","24,762,064.16","3,594,336.35","7,310,812.78","20,808,364.70","24,903,136.19","5,625,806.78","12,611,586.23","18,871,583.49"
支付其他与投资活动有关的现金,"4,776,639.80",,,,,,,,"224,548.80","102,235,750.00","19,367,480.40","90,142,998.60","90,142,998.60","2,700,000.00","3,991,860.00","3,764,590.50","3,764,590.50","3,509,075.63",,"150,228,000.00","150,228,000.00","100,000,000.00","55,000,000.00","50,000,000.00",,"55,000,000.00",,"30,000,000.00","15,976,745.97"
收到其他与经营活动有关的现金,"439,601.58","1,917,763.95","17,836,374.63","2,041,042.61","7,959,075.11","7,266,874.11","1,744,902.26","4,054,956.03","15,930,099.60","25,802,278.40","2,250,852.86","7,054,124.20","17,000,222.90","29,053,082.26","9,971,743.87","38,963,491.85","33,818,610.04","19,567,147.46","4,389,436.90","8,848,605.34","15,312,985.13","22,582,737.78","16,091,851.52","17,422,252.41","16,105,822.14","43,109,426.91","5,297,362.99","19,759,376.86","31,238,155.25"
投资活动现金流出小计,"82,845,769.02","37,899,071.79","45,399,258.09","50,349,103.34","66,681,618.97","91,747,225.56","37,584,493.32","85,003,276.78","190,432,099.19","357,391,890.47","60,174,069.45","181,473,714.73","210,581,354.62","182,450,762.25","60,355,991.32","70,788,407.74","94,703,607.80","117,177,948.97","25,761,799.58","213,698,000.71","238,713,259.21","266,401,866.51","150,164,543.89","138,286,751.41","123,609,329.21","175,027,153.82","9,373,606.85","57,272,968.28","262,390,023.92"
经营活动现金流入小计,"266,180,417.34","243,034,660.20","371,644,239.38","171,941,302.49","331,820,290.54","418,347,237.08","85,057,826.02","186,593,581.07","307,454,048.47","409,128,793.03","92,543,504.51","193,440,511.70","306,934,899.83","478,907,158.46","111,072,752.45","260,672,934.02","368,639,561.62","549,588,510.69","95,769,892.11","204,169,316.18","344,043,371.22","443,341,772.48","121,834,101.72","217,823,687.15","375,377,565.94","566,493,426.33","170,007,792.97","347,249,046.27","574,325,831.49"
投资活动产生的现金流量净额,"-80,015,500.34","-37,899,071.79","-44,984,940.55","-50,233,908.34","-66,566,423.97","-91,296,051.80","-37,584,493.32","-85,003,276.78","-190,432,099.19","-353,129,218.47","-60,174,069.45","-28,901,960.11","-10,767,897.90","-75,871,048.53","-39,802,566.05","-69,588,407.74","-65,213,607.80","-82,910,432.41","-14,081,799.58","-202,018,000.71","-217,790,725.21","-192,675,555.96","-99,865,379.51","-37,699,597.53","-72,910,744.32","-69,282,823.59","-9,347,406.85","-26,233,870.61","-223,552,138.53"
购买商品、接受劳务支付的现金,"216,796,319.12","163,144,038.41","268,809,965.27","142,568,846.09","262,656,651.41","301,352,960.49","63,363,244.58","149,693,975.34","207,268,281.15","256,422,744.50","53,540,217.63","145,451,964.56","224,958,056.46","303,765,827.25","49,476,518.90","117,550,480.56","159,288,690.14","305,883,685.83","58,972,650.75","129,927,938.79","225,743,638.48","259,172,564.69","60,772,173.61","116,234,544.26","183,823,604.31","305,657,562.36","97,061,375.72","214,626,397.96","347,076,717.43"
吸收投资收到的现金,"21,714.00",,"40,000,000.00",,,"575,971,300.00",,,,,,,"4,900,000.00","4,900,000.00",,,,,,"439,999,938.80","439,999,938.80","438,639,938.80",,"1,000,000.00","1,490,000.00","1,490,000.00",,,
