科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"7,140,521,088.34","6,710,594,486.46","5,215,988,029.30","1,135,809,315.40","2,405,327,835.88","3,727,344,168.58","4,933,569,179.64","1,391,178,275.34","2,795,159,876.32","4,386,661,440.54","5,717,336,623.83","1,389,562,897.39","2,803,458,389.16"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,
收到的税费返还,,"42,324,531.71","183,210,536.69",,"30,878,678.71","30,878,678.71","65,960,399.86",,"56,093,711.35","56,093,711.35","80,955,836.71",,"12,932,850.60"
支付其他与投资活动有关的现金,,,,,,,"1,610,000.00","2,897,188.20","2,897,188.20","15,372,188.20","9,180,000.00",,"196,800,470.90"
收到其他与经营活动有关的现金,"90,413,257.97","133,940,230.50","60,890,523.21","4,906,879.26","10,578,571.18","25,656,671.16","31,208,074.08","13,921,802.42","35,630,839.58","41,893,785.69","36,079,641.22","14,478,734.84","20,874,043.25"
投资活动现金流出小计,"109,702,845.73","372,077,931.06","794,931,052.37","1,237,384,779.36","1,874,785,771.17","3,631,486,941.12","5,679,864,341.31","1,705,166,689.01","5,143,848,741.73","8,569,432,312.53","11,051,379,789.25","4,140,295,073.15","7,171,889,960.95"
经营活动现金流入小计,"7,230,934,346.31","6,886,859,248.67","5,460,089,089.20","1,140,716,194.66","2,446,785,085.77","3,783,879,518.45","5,030,737,653.58","1,405,100,077.76","2,886,884,427.25","4,484,648,937.58","5,834,372,101.76","1,404,041,632.23","2,837,265,283.01"
投资活动产生的现金流量净额,"-104,606,320.92","-372,068,461.06","-794,892,207.37","-1,115,294,991.69","-1,193,130,066.18","-2,087,704,082.68","-3,123,309,785.60","357,191,473.84","226,147,775.87","276,138,651.59","526,780,350.60","-180,043,075.55","-121,904,874.04"
购买商品、接受劳务支付的现金,"4,586,941,055.92","4,289,591,086.96","3,552,342,547.21","608,413,631.95","1,347,317,826.58","2,155,061,770.12","3,490,010,364.43","1,581,412,492.40","2,314,377,358.72","3,034,026,460.96","3,910,393,794.19","1,096,416,770.84","2,007,034,374.48"
吸收投资收到的现金,,,,,,"4,287,759,600.00","4,287,759,600.00",,,,,,
支付给职工以及为职工支付的现金,"318,018,482.33","338,617,961.12","324,029,155.27","84,067,755.70","192,528,683.30","307,729,665.56","436,974,849.03","115,696,532.93","239,726,296.59","360,990,867.16","489,060,941.06","117,538,095.96","238,427,821.07"
取得借款收到的现金,"760,000,000.00","1,238,980,000.00","1,352,000,000.00","150,000,000.00","500,000,000.00","500,000,000.00","500,000,000.00",,,"200,000,000.00","200,000,000.00","150,000,000.00","500,068,980.96"
支付的各项税费,"523,196,944.58","616,729,147.88","563,774,086.76","113,011,329.44","229,576,604.16","380,148,100.81","481,533,185.81","154,109,623.74","303,670,171.54","415,628,645.63","571,396,066.90","92,312,195.59","236,132,888.60"
收到其他与筹资活动有关的现金,,,,,,,,,"1,096,520.75","1,370,753.39","2,016,463.35","500,618.47","1,259,827.26"
