科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"454,492,330.88","545,796,039.38","643,442,713.01","375,727,388.91","840,018,567.04","205,738,274.76","455,692,640.25","676,716,674.83","957,995,163.19","204,613,776.15","415,426,916.75","623,929,423.11","827,100,296.71","234,911,774.52","437,343,266.27","705,432,350.93","958,489,219.80","227,717,215.84","451,939,638.24","735,521,164.42","1,005,180,877.12","246,027,615.29","427,235,149.92"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,"1,159.78",,,"1,305,672.61","1,307,137.13",,,,,"10,491.61","10,491.61","10,491.61","1,245,262.54",,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,"17,000,000.00","375,000,000.00","560,000,000.00"
收到其他与经营活动有关的现金,"16,883,499.90","4,705,066.42","6,589,405.31","4,104,034.65","6,981,593.66","1,192,687.03","5,443,699.14","7,688,456.37","8,951,355.61","1,695,317.41","28,183,158.76","32,225,504.96","11,248,319.72","2,235,682.33","3,804,743.76","5,028,819.13","12,790,700.43","2,811,280.54","4,357,664.86","6,274,861.44","16,532,254.42","1,940,768.86","2,856,310.69"
投资活动现金流出小计,"58,886,681.19","38,013,914.54","16,617,563.13","29,627,203.23","150,140,052.20","25,956,359.02","69,866,450.69","130,429,232.04","139,369,180.78","30,093,307.43","51,349,400.85","95,163,431.68","170,295,596.60","8,951,416.23","24,564,800.29","62,079,325.58","80,187,507.98","29,617,377.06","51,313,450.18","67,686,012.23","106,829,233.59","391,031,142.15","584,395,780.10"
经营活动现金流入小计,"471,375,830.78","550,501,105.80","650,032,118.32","379,831,423.56","847,001,320.48","206,930,961.79","461,136,339.39","685,710,803.81","968,253,655.93","206,309,093.56","443,610,075.51","656,154,928.07","838,348,616.43","237,157,948.46","441,158,501.64","710,471,661.67","972,525,182.77","230,528,496.38","456,297,303.10","741,796,025.86","1,021,713,131.54","247,968,384.15","430,091,460.61"
投资活动产生的现金流量净额,"-58,883,131.19","-37,983,778.54","-16,612,563.13","-29,627,203.23","-150,001,027.20","-25,899,359.02","-69,789,450.69","-130,101,732.04","-138,999,680.78","-30,083,307.43","-51,280,900.85","-95,094,931.68","-170,227,096.60","-8,951,416.23","-24,554,800.29","-47,882,193.58","-65,799,479.03","-29,617,377.06","-49,575,450.18","-62,831,002.23","-101,775,019.59","-391,031,142.15","-307,297,582.85"
购买商品、接受劳务支付的现金,"258,725,014.12","363,520,395.54","443,508,157.14","245,417,865.07","505,425,781.46","135,504,223.05","306,020,018.74","449,776,930.04","566,242,337.72","128,383,705.55","228,458,058.12","334,154,469.44","430,507,219.02","134,383,855.48","264,011,822.72","385,615,599.60","540,517,525.84","159,286,431.18","297,317,140.95","429,988,397.65","576,162,137.11","164,196,498.98","327,745,492.38"
吸收投资收到的现金,,"61,600,000.00",,,,"219,922,560.00","219,922,560.00","255,711,060.00","255,711,060.00",,,"84,074,718.00","84,074,718.00",,,,,,,,"248,015,493.33",,"-50,003,437.05"
支付给职工以及为职工支付的现金,"45,839,164.29","69,591,435.10","78,763,360.77","44,917,950.58","91,558,532.94","29,656,365.45","54,049,677.54","77,692,227.34","130,344,223.09","36,467,692.28","67,699,474.26","96,401,790.03","128,716,249.91","37,797,960.59","71,652,751.46","105,111,615.63","147,055,350.25","45,682,908.18","85,928,591.98","125,401,457.19","171,525,924.77","48,067,649.22","96,253,664.86"
取得借款收到的现金,"66,900,000.00","29,900,000.00","40,000,000.00",,"30,000,000.00",,,,,,,,,,,,,,,,,,
