科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"184,723,532.64","243,785,311.58","102,222,923.15","154,116,069.99","288,046,409.43","43,693,492.28","134,568,919.23","200,955,470.92","373,188,193.89","61,050,838.95","167,391,838.18","236,007,372.21","438,653,220.68","86,975,260.85","240,966,059.43","368,058,330.95","657,421,226.00","148,314,807.94","253,788,511.15","447,286,236.85","898,360,698.79","210,111,257.76","381,581,312.09","589,656,703.99","1,256,369,245.20","193,353,344.66","419,590,470.42","658,898,785.12","1,426,291,404.80","334,370,331.66","520,640,031.18","698,212,403.98","1,039,454,149.28","199,719,674.20","380,348,729.92","565,926,269.11"
二、营业利润,"33,081,159.18","31,476,059.63","3,483,491.98","2,720,753.52","32,604,120.06","-12,084,920.41","248,145.03","1,290,571.74","25,421,595.46","-7,939,426.85","4,348,571.56","5,555,934.75","39,041,182.45","-14,168,751.19","-1,855,741.88","-4,397,822.18","44,752,315.02","-11,535,684.47","-42,458,198.46","-14,959,479.10","75,456,065.55","-24,654,750.22","-47,849,697.01","-51,785,620.54","50,505,842.61","-42,674,636.26","-125,100,953.12","-204,378,152.28","-81,270,625.88","-21,380,118.45","-141,726,153.47","-295,398,131.08","-1,242,375,222.50","-44,332,127.25","-128,612,632.34","461,313,561.85"
减:营业成本,"110,074,385.90","143,593,361.64","63,762,130.37","98,560,443.85","171,196,203.60","29,606,336.35","84,519,926.76","128,899,915.81","240,590,256.98","38,422,246.48","103,723,179.18","141,838,237.94","278,194,950.61","60,152,452.26","158,183,545.32","239,901,279.65","436,353,404.72","107,047,222.48","193,185,816.75","321,148,914.91","608,085,514.01","172,176,549.39","300,042,088.59","438,712,057.90","901,291,464.35","146,125,037.24","309,343,436.44","481,635,928.09","926,543,429.40","182,347,119.98","367,566,180.88","552,826,978.81","866,861,070.11","164,623,573.43","331,939,900.60","492,626,862.20"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,058,876.88","2,734,992.29","926,455.34","1,424,307.13","3,137,379.20","64,697.00","1,173,319.98","2,195,610.71","4,324,586.20","851,040.10","2,207,536.36","3,086,622.99","6,888,602.32","1,692,700.79","4,758,896.90","6,033,094.08","13,911,127.97","3,481,881.16","8,195,191.53","8,699,409.39","15,478,879.82","1,528,641.77","2,441,363.76","4,360,617.38","16,487,314.24","1,437,238.36","3,814,983.24","8,017,243.95","24,706,835.98","3,046,516.20","7,584,704.93","7,759,949.80","13,290,060.35","294,287.48","3,532,748.29","4,459,487.12"
营业外收入,"6,605,299.74","10,010,529.22","6,740,883.43","14,477,006.85","21,232,602.59","7,574,535.05","9,126,625.93","18,184,751.25","31,411,678.31","4,619,002.22","5,879,594.52","6,629,594.52","20,364,722.71","2,405,260.50","11,054,714.69","17,831,840.85","25,942,196.47","1,656,680.00","19,585,965.27","19,993,825.27","39,380,005.64","15,075,398.48","24,032,698.93","27,845,562.78","46,216,533.19","993,096.28","19,700,530.41","25,480,034.68","60,186,227.15","19,178,455.98","23,349,384.04","26,788,872.97","38,134,296.85","18,226,812.23","27,599,108.92","35,515,214.06"
销售费用,"24,168,385.56","34,083,689.79","16,816,538.11","27,358,261.79","43,716,407.38","18,127,543.50","25,555,962.47","40,313,187.78","62,056,360.21","19,382,537.35","33,947,986.61","51,775,822.59","68,691,429.97","24,317,053.68","46,089,358.63","72,787,490.45","82,374,068.44","26,074,623.86","51,016,409.15","70,903,533.36","88,438,037.37","32,734,749.67","71,403,060.65","113,612,307.14","167,907,807.38","58,938,586.69","157,413,103.42","245,260,694.35","351,160,838.06","120,240,083.34","198,137,369.46","299,919,110.38","491,563,776.30","50,753,181.95","130,683,496.20","177,972,989.20"
减:营业外支出,"30,499.33","685,764.80","905,526.46","905,526.46","971,723.15","130,000.00","139,144.54","203,263.41","380,070.07",5.26,"109,897.44","212,968.80","426,136.07","-76,832.71","33,976.56","142,521.38","736,808.25","349,342.14","486,236.00","602,719.51","14,328,731.51","1,060,407.44","1,069,430.27","1,316,407.75","1,435,370.43","19,076.60","124,762.04","125,456.54","2,170,850.69","366,743.07","492,370.19","704,306.59","81,255,708.52",34.36,"90,700,276.36","90,700,536.93"
管理费用,"15,199,049.09","30,030,296.77","15,230,623.46","20,625,057.18","33,236,086.01","7,407,426.62","21,192,030.40","27,843,487.25","40,599,441.77","8,907,580.90","22,182,276.88","32,636,414.43","43,087,024.81","13,517,802.66","27,832,997.20","44,835,313.58","68,341,032.14","18,583,522.13","29,627,563.16","41,567,260.18","85,645,332.29","22,509,087.46","37,826,919.89","59,265,600.68","88,996,071.66","22,296,483.24","55,999,285.74","89,092,062.33","134,924,283.10","26,182,465.07","64,446,156.49","99,810,003.91","169,575,969.52","23,549,462.09","44,702,963.57","88,025,749.09"
其中:非流动资产处置净损失,"6,983.18","1,635.52","876,264.50",,"939,057.28",,,,"78,625.36",,"9,692.18","12,754.39","75,991.88",,"-66,058.62","40,012.85","532,941.72",,"135,689.39","152,692.90","13,757,185.80",163.07,"8,485.90","152,629.66","169,299.19","19,076.60","24,762.04","25,456.54","333,047.16","334,248.30","463,691.24","532,533.77","81,059,760.91",,"27,822.70","27,822.70"
