科目,2013-12-31,2014-12-31,2015-06-30,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"154,619,314.52","141,335,902.65","158,074,274.43","150,441,460.48","167,642,758.73","178,940,178.77","534,675,857.56","468,274,567.29","471,447,587.29","431,976,324.15","573,576,943.26","486,389,526.45","479,352,391.74"
短期借款,"88,734,812.37","78,119,783.37","64,426,223.61","79,187,098.85","60,743,530.83","63,777,032.35","63,515,778.35","32,242,173.68","48,673,045.08","42,455,982.25","137,739,774.81","201,202,203.99","269,935,120.58"
交易性金融资产,,,,,,,,,,,,,"13,252,200.00"
交易性金融负债,,,,,,,,,,,,,"1,900,560.00"
应收票据,"870,000.00","781,500.00","1,300,000.00","3,471,400.00","8,281,563.00","5,629,000.00","4,292,019.35","7,297,000.00","7,240,000.00","13,206,642.29","32,157,803.47","10,731,700.00","14,050,000.00"
应付票据,"119,308,115.80","137,647,764.25","164,404,605.39","107,118,160.35","93,470,196.74","120,605,859.52","133,164,716.63","166,249,581.30","167,553,728.24","133,316,695.83","91,533,490.28","149,234,084.60","167,199,527.47"
应收账款,"160,646,179.34","178,248,416.98","170,339,806.95","164,943,139.12","164,351,380.45","179,116,190.52","218,282,217.91","279,179,124.67","298,927,899.47","251,574,264.99","200,761,804.37","297,533,775.92","270,478,362.24"
应付账款,"117,699,076.04","171,875,403.12","121,607,947.21","128,145,932.09","133,521,760.44","150,027,591.61","154,102,547.06","147,158,031.45","174,129,829.91","154,310,744.02","228,589,965.76","258,840,777.22","237,664,851.46"
预付款项,"3,923,746.78","6,362,705.31","6,513,233.39","2,411,862.35","1,968,085.63","3,676,435.15","4,448,014.86","19,840,536.83","24,110,123.29","54,336,806.23","33,392,774.26","76,043,425.46","67,687,825.32"
预收款项,"2,466,302.57","3,189,874.08","1,201,028.48","4,323,224.60","1,658,449.36","2,136,087.31","17,678,023.08","5,605,639.43","4,655,475.39","37,735,527.51","46,885,942.14","25,331,440.29","21,760,758.79"
其他应收款,"1,983,635.00","3,111,755.12","2,282,988.11","156,106.67","38,163.92","1,419,678.97","30,561.78","170,009.27","138,483.64","357,433.30","183,872.01","199,756.61","203,107.26"
应付职工薪酬,"6,784,136.76","14,002,071.42","12,643,730.71","15,302,236.43","12,832,706.88","16,758,609.72","26,602,423.00","14,216,353.93","18,955,167.56","21,948,688.43","29,477,390.74","18,343,939.71","25,149,279.21"
应收关联公司款,,,,,,,,,,,,,
应交税费,"-5,934,729.24","-16,457,277.75","-7,798,289.05","-12,912,117.63","-14,012,498.25","-14,771,021.88","5,635,605.84","5,903,147.97","6,059,761.12","5,076,036.12","8,375,606.01","7,012,344.01","11,749,857.88"
应收利息,,,,,,,,,,,,,
应付利息,"299,731.95","364,113.74","262,365.85","554,685.41","295,120.80","369,720.86","289,087.56","237,102.98","285,099.02","293,960.30","497,038.28","803,940.50","878,263.91"
应收股利,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,
存货,"88,696,016.36","165,211,343.77","154,294,018.29","161,172,235.03","141,273,163.78","163,500,045.85","177,091,681.25","161,453,940.97","166,951,092.70","166,340,136.68","177,488,185.21","220,881,470.20","207,635,216.09"
其他应付款,"815,880.11","1,441,836.03","2,178,187.74","1,930,029.91","1,851,486.47","1,950,319.30","8,671,982.10","4,655,573.34","5,126,460.93","5,030,998.77","6,335,795.91","7,684,502.51","8,322,497.83"
其中:消耗性生物资产,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,"50,400,000.00","48,000,000.00","35,966,728.41","48,000,000.00","48,000,000.00","48,000,000.00","48,000,000.00","43,200,002.40"
其他流动资产,"100,454.61",,,,,,"22,403,845.28","16,509,397.03","23,055,601.89","19,967,177.63","37,814,805.52","53,462,494.31","65,893,966.09"
其他流动负债,,,,,,,,,,,,,
流动资产合计,"410,839,346.61","495,051,623.83","492,804,321.17","482,596,203.65","483,555,115.51","532,281,529.26","961,224,197.99","952,724,576.06","991,870,788.28","937,758,785.27","1,055,376,188.10","1,145,242,148.95","1,118,553,068.74"
流动负债合计,"330,173,326.36","390,183,568.26","358,925,799.94","323,649,250.01","290,360,753.27","391,254,198.79","457,660,163.62","412,234,332.49","473,438,567.25","448,168,633.23","597,435,003.93","716,453,232.83","787,760,719.53"
可供出售金融资产,,,,,,,,,,,,,
长期借款,,"55,000,000.00","69,000,000.00","96,000,000.00","144,000,000.00","79,200,000.00","67,200,000.00","76,071,288.40","57,086,514.88","66,688,796.94","105,649,200.76","132,479,759.36","172,448,126.87"
持有至到期投资,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,
长期股权投资,,,,,"220,000.00","220,000.00","185,637.77","405,637.77","276,779.69","889,747.73","7,411,670.13","8,465,538.26","11,868,204.66"
专项应付款,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,
固定资产,"116,406,291.00","216,406,368.77","210,139,638.37","264,952,732.62","279,239,379.95","304,537,772.33","361,775,885.52","352,961,904.21","368,863,462.96","361,670,877.20","394,963,569.08","383,945,482.99","384,633,359.73"
递延所得税负债,,,,"91,159.46","179,448.05","27,771.32",,,"166,234.54",,,,
在建工程,"67,794,553.54","70,569,178.85","87,717,697.12","82,378,628.36","95,164,772.92","71,018,176.66","30,368,689.01","45,948,632.92","50,559,648.36","85,493,188.72","160,403,752.00","215,942,398.49","361,353,498.35"
其他非流动负债,,,,,,,,,,,,,
工程物资,"1,650,394.35","3,438,220.82","3,982,890.06","3,636,448.46","3,206,214.49","3,217,307.46","3,236,581.57","3,233,883.28","3,454,338.90","3,526,846.74","4,990,039.32","7,258,930.72","8,734,241.07"
非流动负债合计,"2,060,333.33","60,342,333.33","73,293,833.33","101,269,492.79","151,602,281.38","86,440,354.65","74,169,000.00","84,620,038.40","65,541,249.42","74,859,904.06","115,671,883.78","142,587,035.17","182,068,566.90"
固定资产清理,,,,,,,,,,,,,
负债合计,"332,233,659.69","450,525,901.59","432,219,633.27","424,918,742.80","441,963,034.65","477,694,553.44","531,829,163.62","496,854,370.89","538,979,816.67","523,028,537.29","713,106,887.71","859,040,268.00","969,829,286.43"
生产性生物资产,,,,,,,,,,,,,
实收资本(或股本),"55,000,000.00","55,000,000.00","55,000,000.00","55,000,000.00","55,000,000.00","55,000,000.00","73,350,000.00","73,350,000.00","73,350,000.00","73,350,000.00","73,350,000.00","73,350,000.00","73,350,000.00"
油气资产,,,,,,,,,,,,,
资本公积,"122,387,483.04","122,387,483.04","122,387,483.04","122,387,483.04","122,387,483.04","122,387,483.04","471,917,134.72","471,931,285.67","471,917,134.72","471,917,134.72","471,917,134.72","471,917,134.72","471,917,134.72"
无形资产,"9,227,164.41","23,886,522.65","23,606,380.91","25,071,255.28","24,970,205.94","60,815,336.56","60,430,555.23","60,054,109.71","59,677,663.89","59,301,218.59","58,926,728.08","58,703,679.13","58,340,342.02"
盈余公积,"13,738,592.96","21,607,800.86","21,607,800.86","31,766,309.80","31,766,309.80","31,766,309.80","40,229,323.14","40,229,323.14","40,229,323.14","40,229,323.14","54,138,909.12","54,138,909.12","54,138,909.12"
开发支出,,,,,,,,,,,,,
