科目,2011-12-31,2012-12-31,2013-12-31,2014-06-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"130,867,399.19","87,267,035.42","126,198,743.41","161,536,545.67","85,199,285.60","119,417,217.71","68,889,526.33","48,816,582.64","77,434,357.64","88,024,111.95","250,351,375.33","213,888,334.94","675,640,746.01","159,265,786.71","379,166,701.01","307,034,307.70","383,923,587.94","611,637,208.97","269,773,590.06","560,140,632.60","359,573,837.88","259,608,236.60"
短期借款,"138,700,000.00","130,000,000.00","246,392,659.95","247,413,365.17","260,000,000.00","175,000,000.00","245,420,700.03","265,000,000.00","255,711,464.79","310,000,000.00","350,000,000.00","330,000,000.00","230,000,000.00","236,000,000.00","434,400,000.00","380,500,000.00","361,000,000.00","299,900,000.00","398,900,000.00","380,000,000.00","520,000,000.00","525,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,
应收票据,"1,979,741.40","16,452,965.55","19,773,863.90","5,824,348.08","14,721,099.65","4,130,000.00","7,468,390.24","2,490,000.00","14,639,848.86","16,052,586.00","34,892,580.07","4,306,892.91","35,162,880.93","10,033,730.00","30,666,073.50","21,157,326.40","6,357,464.59","2,707,412.25","49,107,360.81","41,976,978.76","8,869,975.00","15,458,548.53"
应付票据,"1,650,000.00",,,"12,875,000.00","4,100,000.00","3,000,000.00","7,000,000.00","7,000,000.00",,,,,,,,,,,,,,
应收账款,"54,703,743.80","74,751,557.29","67,970,353.98","115,160,874.66","96,965,443.80","185,576,136.85","163,463,129.48","162,046,160.00","113,774,861.10","167,199,126.38","119,683,666.15","152,585,818.50","118,406,231.12","283,832,245.57","170,711,750.37","183,466,907.08","136,220,758.01","180,186,984.44","145,922,829.93","178,253,779.00","130,408,034.07","229,760,434.69"
应付账款,"31,196,512.93","47,205,898.88","38,888,980.57","69,863,463.40","72,126,004.34","79,161,127.80","79,810,900.86","70,636,371.73","55,751,121.55","76,419,490.93","109,973,941.92","136,064,701.80","110,386,200.36","115,641,957.26","111,466,194.49","104,142,548.67","90,596,843.81","99,781,869.70","59,974,487.99",,"87,311,746.47",
预付款项,"5,983,306.98","11,214,882.53","6,387,539.22","6,206,739.89","8,937,766.09","6,884,935.97","16,097,547.72","17,420,518.61","13,041,329.67","16,248,783.47","11,627,938.48","21,779,098.47","21,780,390.52","26,863,259.45","39,715,659.10","74,716,143.67","32,785,903.98","54,415,598.76","46,076,872.15","103,654,277.44","50,756,224.09","60,894,624.73"
预收款项,"20,538,215.81","8,672,412.69","21,015,006.95","5,819,611.85","8,019,632.76","9,473,600.14","7,881,695.82","5,507,639.23","33,446,343.10","25,270,631.81","129,150,344.01","82,248,911.59","48,182,999.37","25,934,363.46","12,562,904.57","40,234,461.61","70,593,902.18","35,497,925.45","28,653,769.15","115,326,151.23","90,192,803.11","32,580,136.99"
其他应收款,"4,683,741.57","6,480,977.71","5,689,347.35","3,349,615.61","3,064,981.30","3,795,508.19","4,023,351.81","7,666,643.82","4,656,012.09","3,141,597.64","5,768,303.00","8,227,325.70","4,471,137.85","4,854,775.78","5,271,271.35","4,718,133.22","5,157,344.13","5,597,174.57","7,060,169.64","7,105,809.35","6,562,751.95","6,688,352.26"
应付职工薪酬,"7,276,041.26","9,987,743.18","8,239,891.48","4,516,348.36","7,902,253.09","6,749,453.43","11,444,826.07","14,194,697.79","15,626,717.97","11,482,829.48","17,062,344.63","18,793,595.96","21,341,596.83","7,938,888.36","18,432,144.89","20,173,987.65","28,098,398.17","12,475,169.82","16,770,438.39","22,579,074.84","27,541,669.67","13,141,170.36"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,
应交税费,"-2,360,320.69","210,056.85","340,828.61","1,359,722.69","928,977.40","715,134.15","1,330,871.83","1,961,378.62","1,284,853.80","1,803,883.29","1,020,600.53","2,067,913.89","4,136,016.99","2,563,985.09","8,909,613.84","1,883,794.76","1,955,787.25","1,681,388.91","1,661,076.46","1,799,588.35","3,029,661.86","2,208,020.37"
应收利息,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,,"33,443.33","7,833.33","15,333.33",,"266,810.86","163,329.17"
应收股利,,"1,200,000.00",,,,,,,"2,787,280.10","2,787,280.10","2,787,280.10","2,787,280.10","15,433,857.35","15,433,857.35","15,433,857.35","15,433,857.35",,,"26,151,753.32",,,
应付股利,,,,,,,,,,,,,,,"7,776,404.56","7,776,404.56","7,776,404.56","7,776,404.56","7,776,404.56",,"7,776,404.56","7,776,404.56"
存货,"82,389,909.94","81,745,630.62","89,772,570.70","81,375,985.64","99,760,311.31","94,804,498.55","101,020,259.41","109,413,370.72","137,395,607.37","136,439,727.67","129,773,441.49","102,805,486.81","131,976,141.68","114,499,852.77","199,096,749.84","189,800,001.07","239,104,640.47","283,419,510.93","277,995,571.40","255,999,404.74","264,969,333.18","311,684,511.71"
其他应付款,"9,992,710.05","14,062,665.33","11,501,967.83","15,314,861.99","5,663,658.93","18,110,175.47","14,111,155.69","8,546,479.24","12,790,094.25","13,600,005.90","13,329,387.25","16,560,373.08","52,790,864.87","46,807,982.96","75,266,237.82","33,659,317.79","61,142,216.93","64,731,301.65","69,900,911.86","54,557,337.35","50,115,371.68","51,326,747.42"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,"118,000.00","118,000.00","118,000.00","118,000.00",,
其他流动资产,,"8,364,285.68","6,418,293.07","3,674,376.12","15,890,870.99","8,705,832.21","11,135,014.98","8,808,103.99","7,548,140.94","495,080.34","2,230,332.13","2,526,447.35","170,003,501.65","550,791,336.53","344,319,668.87","369,593,489.61","386,981,598.64","38,733,545.94","371,727,025.06","149,557,977.50","620,750,440.10","524,128,127.49"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"280,607,842.88","287,477,334.80","322,210,711.63","377,128,485.67","324,539,758.74","423,314,129.48","372,097,219.97","356,661,379.78","371,277,437.77","430,388,293.55","557,114,916.75","508,906,684.78","1,172,874,887.11","1,165,574,844.16","1,184,381,731.39","1,165,920,166.10","1,190,531,297.76","1,176,697,435.86","1,193,815,172.37","1,296,688,859.39","1,441,890,596.27","1,408,222,836.01"
流动负债合计,"206,993,159.36","210,138,776.93","326,379,335.39","357,162,373.46","358,740,526.52","292,209,490.99","367,000,150.30","372,846,566.61","374,610,595.46","438,576,841.41","620,536,618.34","585,735,496.32","466,837,678.42","434,887,177.13","668,813,500.17","588,370,515.04","621,314,996.23","521,969,893.42","583,770,421.74","647,389,835.96","778,191,252.79","773,290,787.99"
可供出售金融资产,,,,,,,"29,000,000.00","29,000,000.00",,,,,,,"1,090,000.00","1,090,000.00","1,090,000.00","1,090,000.00","1,090,000.00","1,090,000.00","1,090,000.00",
长期借款,"39,900,000.00","80,000,000.00",,"40,000,000.00","60,000,000.00","60,000,000.00",,,,,,,,,,,,"33,115,825.00","33,115,825.00","45,527,040.00","44,527,040.00","44,527,040.00"
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,"68,374,308.22","64,406,250.58","61,784,625.57","60,115,909.16","60,114,028.28","61,261,426.22","64,208,197.74","66,090,240.52","71,494,630.35","74,929,320.07","81,522,900.31","90,048,129.56","85,168,317.94","94,080,522.00","101,227,787.37","104,279,931.97","95,764,607.16","108,889,634.77","99,899,552.56","124,290,194.50","160,764,036.54","200,520,519.24"
专项应付款,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,"7,719,762.87","7,534,756.27","8,344,997.73","8,171,509.83","7,998,021.93","7,915,717.26","7,824,534.03","7,742,229.36","9,642,662.99","9,534,423.50","9,426,184.01","9,317,944.52","9,209,705.03","9,101,465.54","8,993,226.05","8,884,986.56","8,776,747.07","8,668,507.58","8,560,268.09","8,452,028.60","8,343,789.11","8,235,549.62"
预计负债,,,,,,,,,,,,,,,,,,,,,,
固定资产,"112,785,951.59","291,346,592.34","276,914,956.94","284,654,585.17","301,719,633.56","326,057,063.44","535,594,582.30","528,670,227.45","523,407,207.88","512,338,915.56","503,631,739.37","700,308,296.40","691,061,102.34","682,486,358.92","751,950,451.21","734,126,386.39","766,564,399.73","744,774,282.56","728,397,788.27","716,120,496.50","760,042,486.30","760,555,287.06"
递延所得税负债,,,,,,,,,,,,,,,"15,003,537.95","14,694,851.24","13,645,397.09","13,354,018.86","13,062,640.63","12,771,262.40","12,473,726.00","12,180,808.23"
在建工程,"90,491,051.45","12,530,063.64","38,006,281.20","57,346,520.48","148,431,305.74","189,821,060.51","13,820,073.63","18,660,619.09","41,269,079.95","81,656,108.07","139,924,877.05","18,995,863.47","445,334.87","445,334.87","19,498,182.85","45,699,297.46","60,774,206.07","75,212,493.61","91,745,017.65","102,129,590.33","60,777,018.06","96,366,470.27"
其他非流动负债,"6,391,246.08","6,380,956.32","4,950,730.48","4,514,142.16",,,,,,,,,,,,,"182,000.00","182,000.00","182,000.00","182,000.00","4,413,000.00","4,413,000.00"
工程物资,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"46,291,246.08","86,380,956.32","4,950,730.48","44,514,142.16","64,128,537.52","63,946,449.44","3,764,361.36","3,582,273.29","3,400,185.21","3,278,097.13","3,156,009.05","9,950,587.64","21,403,128.10","20,947,612.62","35,495,635.09","37,022,661.72","34,739,970.12","67,067,805.52","66,279,815.92","78,203,041.32","80,292,274.50","80,450,208.15"
