科目,2010-12-31,2011-12-31,2012-12-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"95,775,739.11","149,896,232.72","233,520,254.42","124,427,747.68","60,260,539.90","274,429,386.26","337,534,856.44","248,531,823.34","237,809,397.88","532,274,882.03","305,381,675.09","363,255,923.85","283,746,998.22","811,273,035.60","369,054,433.37","338,974,924.68","389,257,272.67","1,639,223,375.52","1,706,990,520.71","767,208,573.81","608,879,317.54","943,735,327.09","416,189,514.25","676,584,585.46","420,352,301.71","953,248,564.45","639,227,661.28"
短期借款,"10,000,000.00","25,000,000.00","151,406,603.79","230,151,608.00","264,686,409.00","249,236,230.40","218,874,622.40","169,771,618.19","319,026,350.00","368,346,618.19","408,066,618.19","425,988,938.19","488,446,325.00","393,000,000.00","373,000,000.00","513,000,000.00","655,787,630.84","560,777,620.00","554,571,015.00","565,651,888.11","636,579,141.67","778,529,992.08","747,843,318.34","1,200,393,350.03","1,235,321,900.00","1,546,009,884.41","1,620,253,387.52"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,"280,000,000.00"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"2,410,800.00","7,116,268.00","3,200,000.00","5,304,973.90","1,090,000.00","1,921,994.00","1,850,000.00","7,574,200.00","9,777,986.00","42,238,502.80","50,497,834.80","21,782,042.40","25,128,350.00","51,513,740.80","70,128,866.80","52,697,092.80","70,324,202.80","77,831,997.61","78,252,580.00","92,358,900.65","100,203,583.91","172,484,142.23","118,435,011.52","46,482,308.78","71,485,050.57","81,811,505.71",
应付票据,,,"15,886,921.30","31,688,281.04","69,997,754.99","89,721,388.50","53,542,930.00","27,199,612.75","39,705,689.20","116,754,403.61","71,972,014.21","44,444,447.50","47,793,255.00","98,106,928.81","48,026,807.76","53,333,183.61","148,412,619.53","173,823,572.50","56,980,459.55","35,907,842.18","76,742,196.94","92,697,106.24","67,339,725.37","60,715,859.60",,"122,206,747.62",
应收账款,"40,554,051.70","30,515,719.30","103,434,019.04","136,468,513.76","209,522,409.93","164,667,071.51","226,246,315.56","276,552,815.76","333,258,566.30","278,364,681.74","343,788,514.93","387,115,840.20","533,660,134.77","707,333,971.07","786,059,938.03","1,101,372,988.09","1,247,522,432.88","1,249,748,502.26","1,416,895,063.67","1,659,588,541.47","1,910,674,559.36","1,818,012,662.40","2,039,278,995.87","2,404,175,092.82","2,600,162,796.73","2,708,152,418.34","2,865,933,346.42"
应付账款,"17,696,022.74","15,557,908.99","49,074,414.33","25,572,555.51","29,380,323.29","43,206,393.05","34,653,966.66","45,021,320.64","48,617,371.14","81,946,740.55","67,744,803.58","45,632,474.63","54,185,857.48","111,622,567.14","134,655,276.20","176,170,888.20","139,574,939.14","138,937,410.36","176,441,706.13","274,891,669.58","280,660,766.18","321,144,900.22","349,017,880.66","434,422,841.05",,"614,805,016.13",
预付款项,"7,221,310.68","12,356,677.19","62,305,589.27","123,201,443.54","174,790,019.86","164,871,096.77","198,469,733.07","169,137,603.87","184,801,485.67","163,933,559.18","201,899,303.82","139,984,664.66","171,881,558.58","162,354,730.20","176,671,534.13","164,112,768.27","196,815,695.23","103,691,979.93","141,382,965.64","118,108,087.19","110,308,227.30","84,291,220.48","123,689,779.90","182,635,622.65","257,859,338.48","261,330,604.17","343,909,998.06"
预收款项,"11,208,724.35","1,203,488.34","942,924.34","1,227,481.84","1,283,403.92","486,653.00","1,801,646.56","1,136,416.72","14,103,241.50","27,458,127.94","35,974,653.38","12,158,073.62","7,753,804.46","8,799,581.28","6,873,240.45","9,042,452.37","10,557,691.98","23,963,816.01","19,226,114.55","15,044,662.53","25,675,169.22","19,776,741.62","12,682,491.77","11,870,031.00","12,727,495.79","13,731,138.21","7,660,183.06"
