科目,2010年度,2011年度,2012年度,2013年1-9月
一、营业收入,"449,387,408.87","575,165,663.76","671,756,897.94","509,766,568.46"
二、营业利润,"42,880,495.13","106,460,461.73","125,140,246.24","47,569,485.76"
减:营业成本,"262,842,113.54","312,307,858.94","363,293,873.55","312,633,614.55"
加:补贴收入,,,,
营业税金及附加,"1,196,532.87","1,468,534.56","2,132,258.11","883,071.76"
营业外收入,"3,460,308.54","1,608,742.12","584,325.86","759,573.03"
销售费用,"64,569,950.38","84,383,226.53","94,842,236.78","74,405,513.04"
减:营业外支出,"872,269.17","883,620.64","608,917.38","248,901.05"
管理费用,"72,727,848.43","68,714,781.29","84,055,762.19","72,113,409.08"
其中:非流动资产处置净损失,,"476,148.57","263,589.02","227,757.06"
堪探费用,,,,
加:影响利润总额的其他科目,,,,
财务费用,"191,383.47","208,264.33","2,242,723.93","1,096,257.24"
三、利润总额,"45,468,534.50","107,185,583.21","125,115,654.72","48,080,157.74"
资产减值损失,"4,976,294.61","1,418,051.53","-56,060.66","1,140,954.29"
减:所得税,"8,409,330.25","20,050,732.72","27,190,647.22","14,799,645.32"
加:公允价值变动净收益,,,,
加:影响净利润的其他科目,,,,
投资收益,"-2,790.44","-204,484.85","-105,857.80","75,737.26"
四、净利润,"37,059,204.25","87,134,850.49","97,925,007.50","33,280,512.42"
其中:对联营企业和合营企业的投资权益,,,,
归属于母公司所有者的净利润,"36,004,386.24","84,140,867.08","96,318,097.20","34,246,044.13"
影响营业利润的其他科目,,,,
少数股东损益,"1,054,818.01","2,993,983.41","1,606,910.30","-965,531.71"
