科目,2014年度,2015年度,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"431,082,705.51","499,374,307.08","471,904,176.65","105,962,172.58","280,395,207.05","439,758,067.29","547,062,534.27","98,885,459.34","300,980,209.81","478,553,121.87","572,698,922.73","100,816,712.85"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,
收到的税费返还,"30,158,930.60","40,806,916.30","35,907,736.14","6,470,815.75","20,847,097.79","35,460,093.30","40,258,714.40","10,735,816.01","29,903,015.00","45,820,026.86","51,417,226.99","11,592,188.89"
支付其他与投资活动有关的现金,,,,,,,"397,971.46",,,,,
收到其他与经营活动有关的现金,"9,673,804.95","7,943,344.28","7,650,690.38","3,688,098.75","5,501,777.37","7,634,981.94","11,329,162.22","5,138,143.85","7,276,498.20","10,492,259.98","14,002,009.25","5,838,797.72"
投资活动现金流出小计,"7,570,351.67","6,739,715.92","7,120,591.90","1,261,082.20","166,012,038.58","249,039,324.63","453,615,354.19","17,414,289.88","194,012,492.02","446,492,644.95","660,125,846.31","256,344,233.00"
经营活动现金流入小计,"470,915,441.06","548,124,567.66","515,462,603.17","116,121,087.08","306,744,082.21","482,853,142.53","598,650,410.89","114,759,419.20","338,159,723.01","534,865,408.71","638,118,158.97","118,247,699.46"
投资活动产生的现金流量净额,"-3,019,707.86","-1,933,637.35","-7,053,000.32","-2,085,960.20","-165,603,659.08","-235,119,954.30","-191,514,151.00","15,307,318.83","31,383,166.53","-58,861,314.77","-13,255,193.28","-58,348,093.09"
购买商品、接受劳务支付的现金,"329,323,215.71","311,298,499.15","310,393,144.36","76,944,592.37","181,325,774.75","262,027,661.86","374,035,869.19","96,863,168.76","202,018,151.77","296,590,881.12","391,820,966.73","84,478,246.39"
吸收投资收到的现金,,,,"245,215,300.00","245,215,300.00","245,215,300.00","245,215,300.00",,,,,
支付给职工以及为职工支付的现金,"55,778,233.48","70,879,944.88","79,336,278.69","22,085,908.66","47,527,433.10","68,383,132.32","99,510,656.21","29,745,667.27","56,662,907.78","81,692,159.46","114,584,745.39","30,825,503.71"
取得借款收到的现金,"132,732,530.78","42,277,344.00",,"8,000,000.00","8,000,000.00","8,000,000.00",,,,,,
支付的各项税费,"30,710,166.26","48,693,306.19","42,617,488.40","3,222,018.69","23,609,275.24","34,323,903.32","41,938,992.15","6,759,320.44","21,678,074.32","36,985,197.58","49,858,241.38","5,708,043.54"
收到其他与筹资活动有关的现金,"14,375,700.00","13,705,720.00","10,278,575.00","4,100,786.89","8,702,204.75","14,004,528.37",,,,,,"78,623,466.67"
支付其他与经营活动有关的现金,"44,883,983.59","42,885,610.23","41,595,143.87","10,376,405.65","22,921,158.53","32,620,859.89","48,744,839.04","11,284,403.76","24,258,762.56","37,222,926.04","53,591,285.22","12,892,938.32"
筹资活动现金流入小计,"147,108,230.78","55,983,064.00","10,278,575.00","257,316,086.89","261,917,504.75","267,219,828.37","245,215,300.00",,,,,"78,623,466.67"
