科目,2010-12-31,2011-12-31,2012-12-31,2013-06-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"14,755,012.69","41,380,453.46","39,593,949.02","34,064,943.11","37,126,296.67","271,420,385.63","187,170,751.15","162,336,728.28","163,929,822.35","97,829,877.48","234,473,004.74","315,201,107.45","171,058,394.55","150,949,714.21","140,517,694.57","130,446,093.66","161,680,245.57","98,815,778.15","152,974,674.80","103,051,676.19","376,194,045.74","297,531,741.65","461,364,004.97","364,957,930.42","559,890,420.84","414,264,679.91"
短期借款,"15,000,000.00","79,750,000.00","44,800,000.00",,"30,000,000.00","50,000,000.00","15,000,000.00","15,000,000.00","55,000,000.00","58,000,000.00","73,000,000.00","72,700,000.00",,,"80,000,000.00","90,000,000.00","128,000,000.00","148,000,000.00","278,000,000.00","304,000,000.00","296,000,000.00","356,000,000.00","428,000,000.00","418,000,000.00","418,000,000.00","438,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"6,765,530.90","40,538,859.91","11,607,332.85","8,645,577.10","16,416,563.14","677,327.49","3,547,263.00","8,299,479.28","40,489,431.84","12,063,752.97","34,033,917.22","7,553,236.68","10,262,471.33","5,859,648.00","8,397,373.23","11,531,794.14","29,214,663.88","12,502,189.59","30,092,199.92","45,217,341.64","87,221,947.34","37,109,006.24","56,002,424.52","42,792,903.92","37,947,385.71","9,304,142.08"
应付票据,,"3,200,000.00",,,,,,"6,240,160.00","6,240,160.00","5,096,560.00","36,927,462.36","66,706,717.00","86,000,000.00","109,677,306.66","98,411,842.45","138,413,167.77","139,283,879.74","156,203,907.92","196,297,787.39","197,825,374.43","195,255,925.64","150,453,462.98","167,853,625.71",,"182,865,440.44",
应收账款,"87,339,162.08","110,682,437.00","135,789,828.05","172,259,640.19","163,111,318.02","194,500,380.85","230,080,727.45","281,504,259.88","306,515,268.00","329,900,865.08","428,432,518.12","483,797,379.36","538,603,495.37","622,811,248.21","647,142,635.70","714,861,811.44","681,017,310.68","739,383,101.33","791,582,856.26","830,132,229.81","656,669,204.34","679,668,298.14","732,943,236.92","807,643,278.92","722,196,999.70","730,855,759.74"
应付账款,"104,013,822.99","87,653,378.43","112,727,245.01","179,844,047.65","177,510,834.28","194,213,010.61","225,173,302.10","241,052,922.94","268,309,034.01","259,540,596.36","306,536,285.56","274,150,653.69","296,138,254.06","281,042,039.72","288,465,462.64","280,696,786.12","312,008,172.50","295,057,731.40","317,161,899.88","374,471,526.85","426,528,434.23","416,824,331.91","407,914,489.35",,"430,819,818.01",
预付款项,"26,897,999.38","6,988,491.85","33,489,217.97","14,256,877.86","15,257,746.65","13,569,106.18","12,214,037.42","24,618,483.15","37,816,625.57","37,419,569.68","45,603,148.21","33,901,976.91","29,158,263.23","31,673,813.83","51,534,482.85","59,393,614.61","28,232,847.34","48,391,609.43","74,720,938.91","76,718,504.88","39,379,529.03","53,550,070.18","62,409,580.18","58,519,973.86","31,869,407.35","48,097,145.42"
预收款项,"63,699,152.98","89,017,065.28","226,638,950.50","334,245,767.98","340,448,645.30","244,777,125.17","203,526,308.78","173,497,969.69","149,445,707.39","121,925,684.71","138,670,448.58","107,911,360.01","58,630,913.09","39,185,774.97","82,307,814.99","92,156,920.59","82,180,140.61","114,729,833.47","221,311,649.25","241,531,197.06","310,844,265.07","282,960,084.37","365,918,889.12","431,941,409.51","438,862,359.43","356,068,833.17"
