科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"176,732,154.23","160,941,651.44","79,490,407.76","104,550,799.07","171,829,634.45","26,429,851.49","96,283,014.28","130,422,953.84","220,418,114.35","60,273,568.29","102,083,054.57","195,220,103.54","344,658,582.07","56,881,553.57","148,434,517.91","204,382,282.81","312,632,763.33","83,477,733.62","177,278,390.70","291,036,338.02","412,348,560.85","68,670,542.11","162,655,390.33","257,063,436.55","394,157,258.61","73,811,522.44","190,599,970.71","255,863,340.89","385,798,068.50","93,076,906.96","244,740,908.13","325,337,253.68","546,574,925.74","132,164,927.55","304,646,735.26","425,539,269.95","503,958,191.12"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,500,000.00",,"83,241,933.26","131,600,000.00","116,141,933.26",,"32,900,000.00",,"32,900,000.00"
收到的税费返还,"71,867.05","1,674,854.23","150,703.55","527,749.94","544,482.66","20,123.44",,"222,433.72",,"316,880.83","408,321.25","449,397.30","545,213.50","39,010.96","189,647.99","6,141,423.11","6,364,425.12","211,124.04","1,055,136.61","1,234,251.97","5,724,341.92","3,853,087.33",,"5,000,153.37","4,991,937.28","2,718,116.50","2,718,116.50","2,952,443.80","4,459,865.13",,,"4,151,583.15","7,813,223.47","3,142,900.45","3,616,256.62","4,083,595.98","4,061,678.12"
支付其他与投资活动有关的现金,,,,,"11,739,000.00",,,,,,"315,000.00",,,,,,,"1,000,000.00","514,500.00","514,500.00","246,366.24",,,,"1,384,200.00","2,964.40",,"2,964.40",,,,"110,000,000.00","453,095,000.00",,"100,000,000.00","195,000,000.00","292,650,000.00"
收到其他与经营活动有关的现金,"2,325,512.57","6,001,069.80","3,618,365.39","3,839,963.91","13,179,253.07","2,682,239.08","11,366,641.77","11,658,773.40","12,972,432.43","1,184,814.92","489,658.98","15,618,374.33","11,407,803.22","3,113,356.07","2,137,941.51","2,385,468.16","16,700,572.71","4,088,837.00","10,135,305.57","9,708,298.71","12,108,286.44","1,982,564.84","7,130,891.72","12,455,876.02","32,517,163.44","9,498,818.39","15,080,564.71","17,822,453.98","13,352,914.35","16,144,756.58","21,907,956.94","37,660,009.25","76,853,501.45","13,645,539.89","16,033,694.66","23,848,196.30","20,976,664.42"
投资活动现金流出小计,"59,955,335.64","31,443,316.40","19,780,377.38","39,683,314.62","71,863,695.04","26,652,154.76","64,765,753.60","84,056,336.16","134,339,811.35","26,956,676.50","50,356,906.61","79,508,747.26","153,542,093.50","19,219,325.53","33,639,494.25","56,336,626.01","117,356,329.85","22,034,630.44","26,753,685.01","202,672,026.26","263,661,792.61","37,892,966.18","72,259,181.05","84,756,734.25","139,036,024.37","46,807,095.07","74,705,073.01","95,381,650.30","156,980,914.69","19,041,858.96","131,059,904.58","320,276,574.31","701,581,673.87","16,398,376.55","176,547,876.58","299,803,594.15","440,651,055.22"
经营活动现金流入小计,"179,129,533.85","168,617,575.47","83,259,476.70","108,918,512.92","185,553,370.18","29,132,214.01","107,649,656.05","142,304,160.96","233,390,546.78","61,775,264.04","102,981,034.80","211,287,875.17","356,611,598.79","60,033,920.60","150,762,107.41","212,909,174.08","335,697,761.16","87,777,694.66","188,468,832.88","301,978,888.70","430,181,189.21","74,506,194.28","169,786,282.05","274,519,465.94","431,666,359.33","86,028,457.33","208,398,651.92","276,638,238.67","403,610,847.98","109,221,663.54","266,648,865.07","367,148,846.08","631,241,650.66","148,953,367.89","324,296,686.54","453,471,062.23","528,996,533.66"
投资活动产生的现金流量净额,"-61,017,473.49","-31,433,316.40","-18,379,516.45","-38,281,614.50","-70,168,334.11","-26,652,154.76","-61,623,953.60","-80,914,536.16","-126,050,027.90","-24,366,676.50","-50,106,905.11","-79,340,448.87","-149,971,314.03","-19,199,325.53","-33,546,194.25","-56,234,826.01","-107,585,438.83","-21,969,050.44","-26,637,905.01","-202,426,246.26","-261,264,547.07","-35,614,766.18","-34,324,615.41","-46,822,168.61","-101,636,536.59","-46,781,095.07","-74,513,373.01","-95,377,777.30","-154,091,914.69","-19,032,058.96","-17,484,487.33","-97,081,979.82","-152,036,100.20","-16,381,990.05","-75,481,630.17","-97,805,042.37","-259,885,351.49"
购买商品、接受劳务支付的现金,"125,085,671.39","107,137,790.49","42,744,503.45","57,779,535.20","111,304,753.15","22,334,378.89","72,989,275.43","84,309,304.36","144,479,128.33","42,918,243.99","78,380,841.81","156,935,997.23","226,206,465.71","53,238,571.45","103,529,011.45","151,217,598.05","233,891,136.20","48,903,418.67","103,775,048.25","175,251,097.98","246,604,270.71","67,336,918.48","130,061,025.26","194,553,499.43","292,519,927.19","53,535,768.78","159,023,312.38","172,546,930.53","244,221,551.27","79,331,348.98","188,303,677.84","258,118,785.90","393,636,251.39","108,482,274.05","257,753,262.14","339,244,802.78","332,925,413.37"
吸收投资收到的现金,"68,500,000.00",,,"278,852,000.00","267,518,800.00",,"7,854,000.00","7,854,000.00","7,854,000.00",,,"5,580,000.00","4,292,000.00",,,,,,,,"573,099,995.02",,,,,,,,,,"422,775,000.00","422,775,000.00","422,775,000.00",,,,
