科目,2008年度,2009年度,2010年度,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"2,719,376,145.49","3,030,285,407.39","3,853,419,592.16","3,457,673,482.38","4,803,388,419.16","1,387,645,507.52","2,514,975,857.27","3,532,612,889.43","4,947,867,592.69","1,367,706,640.92","2,476,127,876.59","3,410,013,379.34","4,685,851,388.17","1,182,933,890.09","2,179,135,442.06","3,100,192,345.35","6,141,543,762.88","1,611,914,320.14","2,968,077,308.46","4,200,239,012.28","5,761,041,739.50","1,447,388,863.31","2,692,823,536.11","3,884,383,489.56","5,379,602,561.39","1,356,423,005.09","2,529,046,583.72","3,660,895,698.62"
二、营业利润,"181,570,572.11","134,879,292.75","131,831,380.11","144,761,787.09","175,711,676.42","48,390,911.82","114,465,115.40","150,467,797.59","194,682,424.01","74,172,213.93","122,603,488.95","137,949,306.30","172,985,782.41","48,593,507.34","80,582,863.34","92,731,355.46","171,386,485.23","64,994,125.58","94,722,453.66","114,354,709.60","213,630,924.80","45,570,978.29","57,875,727.76","73,067,414.49","147,147,614.93","53,222,612.62","83,822,340.59","100,147,412.20"
减:营业成本,"2,156,360,298.41","2,413,383,273.96","3,088,839,407.05","2,816,202,914.17","3,903,179,214.83","1,127,323,503.72","2,006,596,844.96","2,811,950,866.28","3,949,460,698.03","1,095,234,073.09","1,983,149,539.27","2,721,642,059.43","3,742,767,596.88","939,287,451.54","1,725,163,532.99","2,447,497,464.86","4,847,889,979.03","1,287,011,366.40","2,359,440,385.18","3,332,160,546.53","4,550,239,001.53","1,154,700,383.25","2,149,807,224.36","3,106,202,142.05","4,296,823,248.62","1,093,715,881.82","2,026,301,317.39","2,928,654,845.17"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"23,338,057.16","26,324,177.88","37,638,912.46","33,080,930.64","49,328,062.54","15,491,646.79","26,994,038.13","40,393,233.94","57,125,488.06","14,210,879.46","28,441,483.36","41,775,576.10","57,490,685.20","13,439,823.47","24,161,704.55","35,979,439.42","70,778,616.34","19,210,140.25","32,785,495.62","49,047,818.71","68,770,624.64","14,704,169.03","26,697,127.42","35,543,045.45","66,550,469.10","17,679,108.98","32,449,008.90","49,674,090.84"
营业外收入,"769,297.37","606,227.54","9,566,152.77","4,174,877.19","5,579,734.79","2,568,809.88","2,980,714.54","3,850,789.97","6,167,306.00","3,472,093.27","4,120,570.46","4,654,966.60","9,560,165.08","937,815.26","2,547,938.85","3,591,730.91","55,970,909.48","1,650,133.42","4,241,201.27","10,129,619.36","11,942,982.84","1,696,564.84","4,175,801.39","5,011,639.18","7,487,861.81","844,956.47","884,275.27","2,606,028.48"
销售费用,"322,289,046.39","421,934,239.00","475,066,833.01","391,049,816.25","546,917,135.75","149,160,991.47","286,392,167.21","420,521,096.13","599,317,845.20","151,659,427.68","284,759,069.59","428,398,586.77","596,016,604.88","155,597,697.00","300,439,087.83","444,821,465.59","840,764,046.01","190,964,701.90","382,341,229.03","560,617,776.00","744,407,619.55","176,353,085.93","351,795,548.25","513,935,424.03","711,058,899.10","150,408,667.81","304,653,678.69","462,761,241.26"
减:营业外支出,"335,750.47","425,197.41","887,236.06","379,902.08","628,531.96","103,608.88","107,197.06","133,636.90","394,600.01","129,736.08","275,766.91","292,501.74","532,070.00","7,990.42","33,172.53","93,684.05","1,271,659.03","20,013.08","196,708.71","235,017.56","624,753.89","322,341.89","341,543.33","1,371,362.61","2,614,515.59","3,588,449.67","4,230,976.01","4,366,317.69"
管理费用,"63,881,670.55","59,799,182.55","120,601,234.58","74,263,189.54","120,441,771.22","39,457,135.34","68,406,100.92","95,871,833.39","133,743,762.36","31,508,212.53","58,945,823.16","83,995,238.11","120,277,815.03","30,080,960.96","57,925,396.96","90,533,429.87","232,707,903.81","54,095,151.33","107,827,801.12","155,695,159.25","217,891,952.46","55,289,579.25","104,280,395.41","154,541,137.01","203,440,745.58","41,162,641.64","86,189,514.09","127,435,255.07"
其中:非流动资产处置净损失,"36,964.36","118,876.00","102,601.54","90,552.95","135,244.83",,"63,387.50","81,210.09","95,709.95","121,536.08","124,931.98","140,936.49","148,152.94","5,367.50","28,890.61","89,402.13","925,578.16","12,886.70","146,831.42","157,488.54","171,875.03","203,364.16","217,347.13","1,192,559.69","1,474,892.67","114,821.36","389,246.39","522,881.68"
