科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"52,021,280.26","20,895,702.11","10,831,456.51","19,082,509.02","22,347,933.32","90,611,855.26","39,677,493.43","20,297,589.76","21,538,503.63","22,286,246.75","26,520,001.06","30,670,479.45","19,125,042.89","28,371,175.58","29,050,201.66"
短期借款,"65,700,000.00","70,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,
应收票据,"10,919,984.01","14,130,856.92","30,235,104.62","17,728,933.49","21,806,403.95","34,830,917.27","25,936,140.89","26,312,549.02","34,644,274.11","33,281,240.98","25,086,898.59","21,240,634.53","30,888,098.89","33,597,664.77","21,892,710.07"
应付票据,"23,730,000.00",,,,,,,,,,,,,,
应收账款,"42,623,404.47","50,869,829.14","52,656,167.13","69,120,696.22","68,436,112.30","62,312,502.49","66,594,936.65","79,229,733.85","81,188,808.77","67,319,595.75","68,988,131.64","80,913,458.54","99,743,057.48","73,115,950.70","72,968,533.45"
应付账款,"4,468,301.58","8,661,790.00","6,131,696.56","5,443,857.80","4,632,968.15","10,194,336.21","5,921,411.86","5,276,887.98","7,195,519.21","6,909,478.21","8,825,896.50","14,012,007.29",,"10,571,323.63",
预付款项,"5,469,189.56","4,845,879.17","3,692,019.35","6,212,226.73","5,020,996.85","7,553,728.03","12,405,019.32","9,763,907.13","10,759,035.68","14,862,303.29","15,270,968.16","16,818,094.07","16,766,538.93","13,209,177.42","10,501,889.51"
预收款项,"78,339.29","145,035.80","158,913.41","2,599,884.13","829,647.85","553,841.33","1,188,923.04","699,451.11","1,153,420.90","709,004.69","944,299.47","1,066,462.23","1,136,917.66","1,463,064.38","113,347.00"
其他应收款,"4,053,308.32","18,208,951.55","5,856,792.03","7,730,562.26","6,836,239.17","550,014.49","1,173,320.76","4,614,361.01","5,329,129.30","1,580,242.82","2,020,300.04","1,740,027.10","1,303,062.76","1,487,063.12","1,461,634.92"
应付职工薪酬,"362,250.00","426,872.27","534,075.63","1,391,220.00","1,378,000.00","1,193,376.02",,"523,531.50","523,531.50","2,425,887.82",,"13,336,718.72","6,115,550.50","14,635,120.91","13,157,789.47"
应收关联公司款,,,,,,,,,,,,,,,
应交税费,"3,799,413.74","8,165,807.16","9,651,382.98","12,186,855.81","9,905,753.47","11,634,488.54","9,934,647.12","9,223,117.93","9,094,606.80","7,801,623.70","6,585,916.89","7,068,876.74","9,660,790.73","3,804,856.83","6,108,294.28"
应收利息,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,
存货,"23,858,569.35","39,390,343.42","38,698,271.37","35,261,833.11","38,002,388.48","48,104,447.24","48,704,392.86","48,776,183.06","53,141,065.83","54,830,293.27","50,288,168.42","45,833,834.83","41,336,462.26","56,314,914.84","61,412,554.72"
其他应付款,"47,528,565.77","103,360,989.78","88,694,606.20","55,107,400.99","47,724,135.96","36,613,971.48","37,734,565.88","20,197,383.27","22,382,231.13","24,269,668.61","21,009,482.97","27,820,870.47","36,501,539.62","43,625,866.34","39,625,589.52"
其中:消耗性生物资产,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,
一年内到期的非流动负债,,"29,000,000.00","18,000,000.00","18,000,000.00","18,000,000.00","28,000,000.00",,,,,,,,,
其他流动资产,,,,,,,,,,"330,603.20","582,697.74","1,795,034.96","2,831,528.66","3,669,563.05","4,721,962.61"
其他流动负债,,,,,,,,,,,,,,,
流动资产合计,"138,945,735.97","148,341,562.31","141,969,811.01","155,136,760.83","162,450,074.07","243,963,464.78","194,491,303.91","188,994,323.83","206,600,817.32","194,490,526.06","188,757,165.65","199,011,563.48","211,993,791.87","209,765,509.48","202,009,486.94"
流动负债合计,"145,666,870.38","219,760,495.01","203,170,674.78","174,729,218.73","162,470,505.43","168,190,013.58","104,779,547.90","85,920,371.79","90,349,309.54","92,115,663.03","87,365,595.83","113,304,935.45","114,789,793.49","124,100,232.09","124,367,249.48"
可供出售金融资产,"500,000.00","500,000.00","500,000.00","500,000.00",,,,,,"2,195,100.00","2,195,100.00","2,195,100.00","2,195,100.00","2,195,100.00",
长期借款,"60,000,000.00","56,000,000.00","20,000,000.00","10,000,000.00","10,000,000.00",,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,
