科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"34,489,265.25","30,798,955.81","70,739,810.08","55,871,931.85","665,924,341.70","415,182,001.36","445,772,214.95","445,391,109.31","403,599,865.99","282,344,936.41","232,784,673.06","187,501,923.34","152,783,954.72","134,539,579.43","126,162,089.37","116,036,041.83","47,035,871.86","99,620,600.23","121,432,112.95","89,183,720.22","92,895,303.59","74,004,475.25","117,045,423.94","128,217,141.47","94,640,993.06","95,588,750.26","139,304,602.96","148,289,935.12","154,815,114.37","209,051,867.10","214,140,355.19","245,723,115.69","219,311,004.12","626,102,374.79","311,515,361.18","279,091,761.12","342,122,386.19","412,110,038.94","610,945,952.04","533,420,726.36"
短期借款,"75,950,000.00","57,000,000.00","70,000,000.00","100,000,000.00","160,000,000.00","115,000,000.00","115,000,000.00","190,000,000.00","210,000,000.00","145,000,000.00","155,000,000.00","205,000,000.00","235,000,000.00","280,000,000.00","260,000,000.00","320,000,000.00","280,000,000.00","325,000,000.00","355,000,000.00","355,000,000.00","405,000,000.00","405,000,000.00","385,000,000.00","405,000,000.00","405,000,000.00","405,000,000.00","548,000,000.00","570,500,000.00","670,500,000.00","655,500,000.00","676,500,000.00","775,000,000.00","788,400,000.00","766,400,000.00","774,750,000.00","779,750,000.00","900,550,000.00","937,450,000.00","1,062,936,404.62","1,019,254,258.01"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"4,498,121.00","4,830,748.00",,"1,733,470.40","3,832,000.00","917,200.00","2,331,000.00","2,540,000.00","15,804,100.00","550,000.00","25,940,750.00","12,366,060.07","9,187,257.99","8,740,774.27","22,676,372.96","1,000,000.00","780,000.00","664,000.00","794,000.00","8,177,500.00","6,400,000.00","17,512,790.14","7,069,005.56","6,268,457.40","10,137,200.00","19,904,640.78","59,019,088.29","56,590,525.60","54,315,132.52","73,677,318.84","72,692,447.59","69,175,155.39","76,832,536.82","77,031,678.05","70,389,238.68","59,099,793.05","75,471,208.63","74,548,488.55","177,754,774.11","96,001,929.44"
应付票据,"9,844,452.80","16,176,212.00","27,720,651.34","17,195,000.00","42,572,545.63","20,688,326.23","53,999,210.52","68,054,800.48","71,344,575.30","38,660,443.00","4,750,000.00","19,980,502.00","17,030,502.00",,,"2,205,388.50","2,205,388.50","6,000,000.00","6,700,000.00","10,871,748.00","13,609,946.22","21,891,338.36","41,291,780.14","44,548,827.00","39,508,335.14","59,444,062.24","90,386,182.20","99,039,702.20","129,283,376.00","160,448,045.75","170,504,340.79","204,124,117.45","269,450,046.12","227,771,917.57","166,929,605.66","147,764,694.81","212,671,283.44",,"219,395,982.46",
应收账款,"142,123,609.63","149,519,475.94","215,745,737.78","229,888,064.14","273,882,460.49","287,647,697.77","276,052,652.42","353,949,235.11","443,267,073.86","464,827,982.44","395,705,357.96","452,023,063.03","503,572,754.30","503,853,254.82","393,221,500.73","390,377,444.06","446,115,891.60","471,594,886.84","489,673,244.11","484,950,611.63","554,002,522.30","588,009,343.57","613,786,211.61","689,460,994.16","728,507,955.41","763,226,421.93","733,164,774.78","823,094,957.99","908,541,051.97","985,842,574.47","734,065,856.82","736,240,250.57","767,334,802.17","776,950,426.14","856,121,706.53","832,410,848.74","911,960,831.51","960,440,383.65","858,026,599.09","839,616,158.68"
应付账款,"107,874,195.75","122,236,111.39","132,587,418.21","132,430,867.80","147,956,308.95","159,414,389.60","149,683,196.67","159,251,875.83","189,979,197.72","211,579,966.78","242,933,215.48","192,151,349.89","213,608,498.62","211,163,597.32","201,843,149.57","189,435,412.35","218,325,450.69","234,497,190.28","217,704,693.81","187,207,321.88","235,466,971.00","297,626,619.20","280,511,728.69","306,968,518.15","324,642,713.81","320,098,694.84","283,085,416.52","371,422,574.70","373,956,501.29","396,588,992.04","369,916,592.61","378,569,708.61","453,132,787.65","618,135,287.81","670,474,804.36","792,168,533.27","1,231,817,670.48",,"1,389,722,474.23",
预付款项,"15,559,921.84","18,948,100.59","31,329,204.17","37,948,453.66","53,276,770.51","75,797,521.26","47,931,218.06","91,442,288.71","60,295,695.99","72,345,362.42","46,610,685.95","54,769,220.99","81,164,147.76","103,827,149.98","50,172,100.19","108,250,442.90","113,217,536.87","163,121,318.97","132,533,297.95","159,336,456.03","200,506,716.45","201,002,605.03","33,773,193.01","43,871,639.36","40,364,514.78","36,477,571.48","22,402,046.25","44,042,903.79","63,632,313.27","76,448,096.92","32,452,528.75","52,876,577.98","69,108,379.14","47,596,467.38","35,761,706.79","113,603,473.54","161,666,018.16","158,447,537.80","122,577,553.24","183,446,053.31"
预收款项,"112,435,828.99","127,744,933.44","81,524,617.00","65,547,055.84","61,178,171.26","66,502,138.63","69,412,447.05","52,248,198.71","42,352,099.61","48,081,433.16","70,487,022.37","52,759,430.66","44,169,722.43","56,413,171.31","70,631,463.77","68,357,290.79","78,721,316.51","66,653,763.01","64,411,064.93","69,629,152.95","61,163,561.02","77,902,890.92","61,060,745.79","55,186,260.46","61,358,624.97","33,266,102.83","35,583,023.59","28,731,272.67","24,348,961.57","43,068,800.50","32,090,644.99","52,441,320.61","65,638,651.61","80,315,830.27","70,010,208.01","118,781,479.98","375,891,391.33","272,288,781.76","330,398,132.26","235,015,871.23"
其他应收款,"1,313,585.41","2,861,522.92","4,400,576.49","5,866,966.05","6,565,414.57","7,838,629.37","23,273,366.11","11,144,853.75","12,844,571.16","11,677,763.13","6,987,854.22","11,544,614.68","23,220,768.53","22,513,034.06","10,527,869.45","17,031,785.89","17,715,190.55","21,616,344.99","11,441,295.79","16,030,977.45","16,749,956.66","20,268,417.80","17,548,077.03","25,231,915.22","29,723,059.84","22,496,043.20","14,432,309.83","26,289,291.45","37,739,429.24","39,140,515.00","27,423,178.55","37,665,765.55","41,588,656.06","43,642,931.29","33,296,422.87","48,047,559.70","66,915,843.41","65,642,800.37","58,756,629.83","70,743,995.06"
应付职工薪酬,"3,985,540.46","3,853,341.93","3,798,925.15","3,710,257.88","3,486,958.42","4,296,815.87","8,650,492.25","6,216,247.18","4,853,609.03","7,499,647.35","9,680,838.93","8,832,138.78","8,480,466.58","8,479,729.53","8,550,847.74","7,426,351.09","7,964,827.10","8,399,983.98","9,133,688.50","8,546,469.43","9,353,866.46","11,264,861.05","11,868,167.71","11,433,675.75","15,790,279.27","12,221,544.63","12,557,188.10","12,133,753.64","11,907,201.21","12,510,745.83","13,068,862.90","12,438,117.41","13,183,115.72","13,663,497.25","18,556,808.11","15,004,297.87","15,611,730.40","16,796,466.34","25,788,112.57","16,837,735.26"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"19,202,391.61","6,622,614.72","4,137,250.51","10,931,762.57","6,994,485.03","5,891,457.01","693,550.55","12,547,890.66","13,686,528.71","5,747,770.89","-10,244,524.76","-3,142,270.15","8,186,939.29","-643,702.22","-9,491,909.02","-11,522,567.93","-9,462,485.88","-7,673,046.30","-1,527,795.57","903,537.88","45,398.16","-5,468,352.88","6,205,967.97","9,915,820.40","8,628,449.87","17,170,064.81","15,879,631.91","22,215,695.00","14,725,533.29","14,598,893.17","7,935,079.92","12,221,473.90","14,973,310.77","21,523,153.12","19,134,325.18","26,344,932.16","44,696,172.27","52,962,863.16","62,572,143.46","61,702,513.49"
应收利息,,,,,,,"2,262,359.11","679,585.78","778,686.27","488,982.68","362,166.67","13,416.67","13,416.67","258,500.00","105,160.26","79,898.76","19,676.71",,"70,500.43","24,482.88","18,590.00","10,725.00","4,781.10","18,765.00",,,,,,,,,,,,,,,,
