科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月
一、营业收入,"221,686,890.62","503,306,170.42","752,409,750.78","1,017,670,586.08","257,324,383.39","522,413,373.19","890,578,103.84","1,269,669,173.66","275,091,469.26","692,535,852.39","1,005,720,741.60","1,588,240,895.75","304,662,506.68","863,705,177.84","1,296,681,744.19","1,418,517,997.68","350,020,273.95","854,893,970.65","1,354,316,296.10","1,686,345,518.54","382,834,208.68","830,975,173.04","1,129,643,489.98","1,550,635,405.88","416,131,589.15","916,366,715.86","1,253,817,968.67","1,624,727,209.92","286,704,371.17","481,343,753.20","682,367,809.54","929,518,743.99","243,119,468.77","609,822,144.62","732,693,722.15","901,787,760.47","113,883,169.85","223,673,137.60","377,051,610.61","746,103,772.39","41,701,207.65","160,697,494.47"
二、营业利润,"26,683,664.56","71,120,484.72","94,265,151.48","105,119,898.93","-528,654.19","22,227,567.31","53,008,964.46","77,707,685.45","26,320,209.98","41,434,649.92","31,599,983.19","25,573,061.95","-16,485,743.66","-19,661,880.60","-4,909,509.78","-34,628,210.04","-19,585,174.91","-19,226,233.69","-14,208,412.15","-116,013,830.26","-23,690,588.62","-27,942,416.35","-41,757,162.47","-34,884,716.16","-14,668,826.66","12,189,495.70","12,218,469.09","-9,597,891.30","-991,000.11","-34,424,546.38","-60,724,523.71","-130,648,633.47","-1,420,192.53","-1,593,483.18","-37,098,488.81","-95,528,871.79","-43,970,142.59","-145,896,752.72","-200,502,899.89","14,292,872,213.20","3,446,058,778.27","8,456,134,646.02"
减:营业成本,"166,873,945.62","391,658,331.09","590,378,071.37","806,443,110.77","207,039,679.27","422,796,148.02","715,590,281.46","1,014,557,634.76","225,814,428.75","605,482,023.90","905,027,968.75","1,387,487,026.10","295,183,493.16","808,376,292.70","1,189,040,568.07","1,242,728,990.94","316,277,282.79","778,770,516.98","1,213,357,037.97","1,524,212,332.47","350,113,863.17","747,640,525.84","998,748,238.28","1,337,032,775.18","391,551,938.97","821,527,019.85","1,106,777,084.56","1,422,638,673.54","246,096,196.32","422,069,876.08","598,090,221.55","824,439,979.79","200,220,037.53","515,934,472.57","634,345,663.29","786,913,551.09","112,548,777.50","248,797,951.04","390,819,651.02","735,291,896.77","24,100,448.47","135,837,276.39"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,075,381.62","2,663,630.86","3,389,149.76","4,713,840.81","861,046.50","1,037,872.01","2,353,091.80","4,987,419.50","479,459.06","1,851,219.56","1,975,412.53","5,654,457.77","526,520.60","2,382,366.21","3,206,585.12","5,568,101.21","660,219.08","1,652,562.47","3,346,439.56","5,819,463.21","990,845.37","2,031,847.22","2,997,105.00","5,636,159.81","1,254,809.64","4,284,816.21","9,238,884.86","12,002,503.75","1,083,265.85","1,727,702.37","2,655,166.76","4,604,613.76","522,175.88","3,468,401.31","3,588,998.97","4,387,431.04","87,022.44","209,367.44","1,371,614.95","475,886,359.96","49,276,568.14","94,242,601.88"
营业外收入,"14,003.59","789,857.83","993,243.96","11,798,264.73","6,109,829.79","12,139,452.72","15,817,485.13","26,462,000.51","5,161,499.42","10,215,749.65","15,039,463.69","28,399,762.93","7,269,887.77","12,359,474.54","16,686,844.68","50,579,982.32","3,776,527.22","8,294,798.40","12,203,361.63","16,154,948.40","3,866,513.99","8,665,997.94","13,623,086.23","19,724,583.73","3,954,728.58","8,121,921.89","12,353,758.86","22,893,726.19","4,117,442.66","7,921,782.05","12,258,148.58","16,083,727.43","3,843,376.94","7,695,838.52","12,269,270.17","18,268,641.21","4,098,340.81","8,179,925.40","12,359,149.77","221,009,158.03","388,977.91","566,569.58"
销售费用,"11,306,660.35","24,939,836.91","35,927,627.73","59,386,383.30","20,280,233.70","36,844,311.54","54,913,838.79","81,026,572.06","20,804,786.55","42,828,220.96","49,639,606.71","74,429,569.17","10,779,287.54","28,758,589.86","39,923,747.81","61,277,894.80","18,539,598.51","33,342,728.92","52,922,139.54","90,627,385.25","12,257,311.19","30,901,802.63","48,134,969.99","92,302,109.61","12,241,385.16","23,631,144.92","40,980,184.71","71,921,987.60","15,248,712.79","39,331,260.29","63,586,454.74","79,123,677.63","15,099,295.28","36,083,131.72","51,880,450.01","65,826,662.79","16,390,617.94","28,257,522.96","42,285,724.04",,"525,007,917.54",
减:营业外支出,"180,222.66","231,297.71","413,225.19","489,531.99","12,700.00","67,235.46","407,512.96","1,136,897.36","2,195.94","533,138.66","752,213.82","822,707.86","488,127.51","526,424.55","610,869.29","2,085,320.78","539,394.22","569,024.12","691,555.19","763,540.56","115,476.42","115,476.42","315,476.42","963,542.08","13,540.05","8,540.05","1,511,756.90","3,248,669.36","50,000.00","406,190.60","484,406.00","2,330,200.13","85,725.57","361,716.22","488,302.30","947,401.59","9,693.77","1,169,019.78","1,324,543.59","4,079,430.76","508,229.66","917,058.68"
管理费用,"20,378,441.66","39,732,025.02","59,797,362.62","86,216,405.14","27,399,645.94","47,486,265.78","70,604,106.87","123,301,802.50","24,189,157.61","40,097,070.37","65,507,588.54","107,130,440.33","20,642,322.16","45,544,620.56","67,576,261.27","117,668,891.16","17,709,166.11","40,370,602.24","59,697,939.55","104,369,199.01","20,788,470.08","36,476,514.76","58,696,871.15","95,529,846.49","16,992,418.41","33,113,921.34","52,325,362.03","83,499,272.50","15,956,979.95","32,818,777.51","48,354,094.00","84,103,136.75","14,329,362.26","30,647,324.20","45,740,921.08","71,834,610.17","16,866,700.18","36,870,324.84","53,418,577.87","2,640,189,145.67","38,117,387.21","1,167,136,005.72"
其中:非流动资产处置净损失,"73,291.66","73,291.66","73,291.66","73,291.66",,,,,,,,"334,941.18",,,,"1,440,663.61",,,,"164,661.48",,,,"429,219.76","1,440.05","1,440.05",,"398,364.12",,"7,149.98",,"39,838.90",,,,,,"157,266.15",,"317,011.67",,"9,811.50"
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
