科目,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"43,071,991.26","25,764,726.90","191,076,947.65","159,812,471.94","154,903,241.71","115,934,570.73","109,359,033.74","151,378,759.32","142,484,387.25","92,782,443.11","320,075,362.06","326,066,890.63","333,370,048.67","273,058,456.15","354,332,209.84","354,192,495.33","329,680,905.20","250,151,797.54","207,413,033.86","267,968,107.34","321,356,633.81","324,187,703.80","306,146,403.08","257,566,381.62","322,586,989.50","327,671,600.56","324,792,212.72","298,647,177.29","363,520,962.46","430,726,089.23","872,555,960.52","340,489,097.80","461,363,872.34","348,598,859.12","2,886,182,653.32","2,972,980,745.65","2,339,449,426.20","2,315,600,830.17","1,732,630,647.57","1,067,830,960.57","2,053,389,809.98"
短期借款,"80,000,000.00","60,000,000.00","25,000,000.00","15,000,000.00",,,"40,000,000.00","70,000,000.00","28,150,000.00","23,000,000.00","23,000,000.00","25,800,000.00","24,000,000.00","4,000,000.00","34,000,000.00","34,000,000.00",,"4,000,000.00","4,000,000.00","4,000,000.00","3,000,000.00","3,000,000.00","3,000,000.00","3,000,000.00","3,000,000.00","3,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","150,000,000.00","92,000,000.00","197,700,000.00","151,296,000.00","152,506,000.00","150,450,000.00","52,850,000.00","61,137,390.30","53,257,000.00","52,170,000.00","50,000,000.00"
交易性金融资产,,,,,"263,370.00","464,610.00","696,865.00","2,078,665.00","2,237,800.00","952,850.00","921,450.00","3,045,150.00","1,596,210.00","1,804,080.00","482,280.00",,,"895,350.00","1,343,775.00","1,728,480.00","555,000.00",,,,,,,,,,,,,,,,,"1,188,500.33",,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"4,703,451.50","6,047,568.21","3,191,833.57","1,708,062.61","2,875,502.54","1,988,060.00","3,578,919.70","8,630,181.44","12,424,087.13","8,211,468.98","8,551,214.56","2,565,750.02","3,732,552.70","23,696,210.76","44,753,365.99","42,939,883.46","111,100,611.51","73,051,325.76","153,310,196.92","113,321,575.50","153,948,247.87","129,547,772.94","204,149,901.50","191,013,015.26","244,442,035.27","207,318,322.71","238,705,679.77","246,685,568.16","306,607,531.14","163,098,760.55","212,018,332.82","216,078,292.01","258,985,795.22","186,485,690.87","274,518,394.14","125,719,050.50","236,785,850.36","81,238,044.89","156,723,735.41","131,018,993.26","307,743,861.65"
应付票据,,,,,,,,,,,,,,,,,,,,"185,453,623.32",,,,,,,,,,,,"3,000,000.00","9,100,000.00","15,100,000.00","20,000,000.00","11,000,000.00",,,,,
应收账款,"42,967,198.45","60,043,357.39","64,108,410.38","65,862,449.04","46,220,914.91","88,873,881.98","113,233,064.02","93,325,073.75","82,425,369.24","162,266,392.00","178,787,928.59","173,148,922.66","145,095,606.15","251,435,009.85","247,602,319.02","260,886,066.58","210,195,097.52","344,453,111.49","355,286,373.79","350,436,197.60","286,930,810.05","419,030,668.75","398,221,076.59","450,400,632.65","326,408,966.47","498,730,037.04","594,190,533.74","619,615,298.86","431,858,588.60","680,818,213.86","792,519,653.93","817,497,139.97","493,193,918.59","753,155,889.05","776,312,258.90","813,469,043.98","553,543,206.26","1,089,293,239.96","1,141,748,777.72","1,112,287,373.11","753,581,382.42"
应付账款,"41,489,453.03","44,658,024.91","48,094,060.06","44,843,580.70","40,101,485.36","58,766,141.29","56,209,837.38","49,766,258.36","69,187,613.45","79,701,558.97","111,625,868.07","129,669,505.76","123,274,301.60","131,063,348.71","179,940,753.86","135,136,470.92","149,334,655.42","174,310,181.94","198,996,235.61","18,956,506.84","169,725,329.59","189,451,287.25","260,202,499.84","238,301,174.83","195,206,356.50","219,097,193.68","291,396,003.45","266,854,263.99","244,889,520.75","238,037,117.06","292,163,746.05","321,197,819.24","293,521,182.49","289,095,196.32","365,816,547.15","302,641,481.83","352,553,276.99","354,743,164.98","463,439,504.60","434,446,803.24","423,763,090.59"
预付款项,"3,863,743.14","5,416,639.10","7,146,820.37","11,684,086.32","7,203,742.32","3,792,490.74","3,733,645.29","2,176,189.00","4,756,141.77","7,418,022.54","13,674,903.07","15,729,152.07","22,183,879.46","14,203,575.90","12,359,595.75","8,641,887.44","13,034,083.27","13,576,998.09","16,621,557.56","25,011,934.98","41,258,585.25","42,296,848.33","19,854,153.84","32,014,342.04","22,982,457.26","19,375,318.18","13,775,789.35","25,580,699.31","117,044,621.07","142,925,867.70","56,049,142.67","75,094,342.66","94,574,641.87","179,289,344.43","186,855,683.99","192,903,072.85","91,071,005.95","106,128,262.05","146,997,007.02","200,944,980.70","225,209,778.64"
预收款项,"5,210,306.71","7,013,440.59","8,928,911.96","3,508,647.32","4,348,756.09","5,230,822.37","5,678,166.55","5,762,416.80","14,603,199.86","8,497,372.99","19,885,739.61","12,819,300.21","18,777,458.78","14,849,480.60","15,544,956.22","18,432,682.35","11,700,031.05","10,050,325.32","19,325,843.19",,"16,040,274.70","14,210,630.43","18,828,303.05","16,354,008.46","20,215,770.12","16,696,619.75","16,214,765.01","10,063,782.47","23,850,554.43","19,094,831.57","16,056,391.58","47,408,391.58","65,069,941.35","72,167,612.52","61,076,299.93","62,180,898.36","73,571,504.06","56,723,121.78","83,307,373.84","79,925,434.29","87,054,201.96"
