科目,2008年度,2009年度,2010年度,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"343,189,807.30","517,701,318.36","531,779,941.19","329,213,584.53","466,493,277.95","116,055,833.86","161,773,523.90","275,968,995.65","431,745,378.74","128,080,862.90","359,565,367.38","473,542,323.59","776,914,143.12","67,725,107.26","226,812,702.09","438,126,018.33","650,111,295.88","137,474,156.46","417,397,650.04","515,724,168.35","1,140,264,203.48","245,909,458.00","390,213,827.77","805,402,696.00","1,068,191,482.28","188,734,143.41","419,302,066.16","959,416,206.74","1,168,619,119.99","114,601,854.23"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"2,464,353.78",,,"6,063,857.13",,,,,,,,,,,,,,,,,,
收到的税费返还,,,,"335,927.76","335,927.76","10,326,810.30","10,357,260.43","12,905,619.67","12,905,619.67",,"7,454,523.87","8,717,121.39","8,355,771.03","1,660,981.99","1,660,981.99","3,264,955.53","5,340,228.38","188,432.76","188,432.76","3,590,277.53","3,666,344.45","5,557.27","219,336.00","230,138.09","205,703.43","17,093.50","17,161.42","25,685.40","2,716,796.00","7,683.24"
支付其他与投资活动有关的现金,"41,789,740.80","63,470,492.28","28,364,313.77",,,,,,"495,000,000.00",,,,"160,000,000.00",,,"36,700,000.00",,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"9,589,716.81","11,141,818.76","13,325,762.47","13,957,183.12","17,622,185.89","24,007,554.37","14,775,421.22","19,825,576.96","20,208,704.92","5,361,113.31","16,319,530.60","48,632,081.78","29,195,542.48","38,789,182.36","62,413,423.41","124,607,032.78","81,879,671.07","22,855,593.24","53,920,234.01","71,831,261.72","73,879,144.36","12,013,305.64","75,600,006.58","85,259,175.77","101,839,276.71","6,649,754.88","23,250,062.47","54,937,430.36","60,811,955.52","22,056,683.09"
投资活动现金流出小计,"66,791,757.61","103,535,439.34","107,815,711.99","52,836,477.33","80,701,677.09","33,680,071.27","67,408,126.41","117,347,439.18","626,701,290.94","9,756,400.98","18,179,377.97","48,248,978.61","270,089,591.49","50,506,976.80","99,880,680.04","168,589,727.61","349,430,662.82","528,424,191.13","759,562,571.97","814,458,342.37","885,889,452.16","51,239,206.35","132,404,250.92","217,625,169.66","298,385,025.77","63,633,391.32","100,465,076.54","212,306,783.95","434,497,424.81","376,871,893.01"
经营活动现金流入小计,"352,779,524.11","528,843,137.12","545,105,703.66","343,506,695.41","484,451,391.60","150,390,198.53","186,906,205.55","308,700,192.28","464,859,703.33","133,441,976.21","383,339,421.85","530,891,526.76","814,465,456.63","108,175,271.61","290,887,107.49","565,998,006.64","737,331,195.33","160,518,182.46","471,506,316.81","591,145,707.60","1,217,809,692.29","257,928,320.91","466,033,170.35","890,892,009.86","1,170,236,462.42","195,400,991.79","442,569,290.05","1,014,379,322.50","1,232,147,871.51","136,666,220.56"
投资活动产生的现金流量净额,"-15,607,167.80","-45,007,854.75","-22,579,031.13","-52,206,024.00","-80,071,223.76","-33,680,071.27","-67,408,126.41","-117,347,439.18","-626,491,290.94","-9,736,400.98","494,321,962.33","464,264,361.69","243,329,891.68","-36,520,966.84","95,330,872.21","34,991,523.53","-184,084,497.34","-528,424,191.13","-755,045,696.97","-809,941,467.37","-824,408,641.93","-51,239,206.35","-86,245,244.49","-171,466,163.23","-252,189,439.34","-63,593,391.32","-99,607,076.54","-211,446,748.95","-426,849,729.54","-364,077,291.64"
购买商品、接受劳务支付的现金,"289,792,161.43","420,946,169.53","376,180,721.22","264,143,702.76","349,779,971.32","94,147,651.12","196,462,624.58","351,369,340.08","461,081,149.49","165,627,533.64","347,352,177.25","519,568,097.05","686,025,868.33","154,304,263.26","277,517,433.98","415,017,200.48","514,011,983.28","134,859,794.20","300,619,263.93","520,124,537.25","682,122,233.20","272,641,811.38","304,348,869.96","471,312,047.40","617,947,320.47","191,700,442.82","489,207,351.74","826,273,860.20","1,091,348,697.86","245,072,737.23"
吸收投资收到的现金,,"10,000,000.00","138,720,000.00",,,"986,138,674.00","986,138,674.00","986,138,674.00","986,138,674.00",,,,,,,,,,"794,620,000.00","794,620,000.00","793,707,645.30",,,"5,909,500.00","5,909,500.00",,,"4,442,339,997.37","4,442,339,997.37",
支付给职工以及为职工支付的现金,"4,397,411.63","7,634,620.42","13,675,594.12","22,929,050.42","32,541,094.79","11,311,990.98","24,805,671.04","38,257,558.59","53,413,696.93","16,163,446.11","29,724,047.31","46,132,270.96","63,792,189.37","18,858,291.25","36,898,569.64","56,291,719.43","75,482,135.98","22,189,713.92","44,304,400.97","65,555,572.58","88,957,842.93","24,914,839.34","52,646,948.69","81,807,935.30","109,185,629.41","36,964,407.16","73,532,711.72","113,483,632.81","150,819,278.64","40,767,129.94"
取得借款收到的现金,,"25,000,000.00","20,000,000.00",,,,,,,,,,,,"80,000,000.00","80,000,000.00","280,000,000.00","400,000,000.00","748,800,000.00","878,800,000.00","880,000,000.00",,,,,"116,004,708.31","245,604,708.31","384,647,158.31","518,035,423.23","200,000,000.00"
支付的各项税费,"4,011,864.62","9,110,288.63","56,650,839.31","32,139,134.92","50,497,251.19","10,266,804.15","19,305,962.00","36,345,585.80","53,326,868.23","17,850,484.67","40,494,443.16","57,475,855.56","87,936,774.96","8,187,980.36","42,804,950.88","60,542,490.71","108,849,885.42","43,075,705.53","82,672,759.30","106,992,169.20","122,991,561.63","50,211,539.72","73,732,278.33","105,394,163.05","143,486,192.19","24,215,261.60","37,345,363.88","49,004,421.21","80,913,810.34","6,446,675.98"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,"8,773.80",,"89,265.80","160,735,628.16","56,454.57",,,"8,130,000.00","182,512.15",,,"9,500,000.00",
支付其他与经营活动有关的现金,"31,668,695.16","42,504,309.24","63,349,495.58","53,017,437.78","61,608,502.14","21,706,815.72","37,196,881.60","44,658,573.95","87,300,044.87","20,104,434.01","30,822,051.86","63,096,416.79","85,515,580.48","29,568,935.37","37,697,777.16","120,508,608.00","97,120,311.99","108,913,339.25","46,658,519.21","187,618,996.56","224,729,722.50","12,934,557.29","49,253,766.72","72,439,571.70","107,916,066.92","13,370,628.87","37,412,435.52","113,008,215.25","163,563,150.15","25,058,184.26"
筹资活动现金流入小计,,"35,000,000.00","158,720,000.00",,,"986,138,674.00","986,138,674.00","986,138,674.00","986,138,674.00",,,,,,"80,000,000.00","80,000,000.00","280,000,000.00","700,008,773.80","1,543,420,000.00","1,673,509,265.80","1,834,443,273.46","56,454.57",,"5,909,500.00","14,039,500.00","116,187,220.46","245,604,708.31","4,826,987,155.68","4,969,875,420.60","200,000,000.00"
经营活动现金流出小计,"329,870,132.84","480,195,387.82","509,856,650.23","372,229,325.88","494,426,819.44","137,433,261.97","277,771,139.22","470,631,058.42","655,121,759.52","219,745,898.43","448,392,719.58","686,272,640.36","923,270,413.14","210,919,470.24","394,918,731.66","652,360,018.62","795,464,316.67","309,038,552.90","474,254,943.41","880,291,275.59","1,118,801,360.26","360,702,747.73","479,981,863.70","730,953,717.45","978,535,208.99","266,250,740.45","637,497,862.86","1,101,770,129.47","1,486,644,936.99","317,344,727.41"
