科目,2008-12-31,2009-12-31,2010-12-31,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"23,069,655.98","34,041,582.92","101,155,602.27","130,971,307.08","129,924,709.61","109,517,072.20","1,131,416,473.25","1,033,603,620.73","1,048,090,252.93","1,060,071,983.95","1,079,039,195.44","970,389,356.27","988,263,255.45","925,563,003.89","987,214,530.26","824,968,355.00","723,825,187.22","673,742,139.16","644,170,100.74","293,195,393.22","252,289,006.07","225,735,380.19","235,438,358.14","215,990,792.69","1,012,586,752.19","1,001,987,841.91","661,863,758.55","667,337,848.30"
短期借款,"21,000,000.00","10,000,000.00","18,000,000.00",,,,,,,,,,,,,,,,"76,580,000.00","47,580,000.00","60,080,000.00","59,080,000.00","69,080,000.00","69,080,000.00","71,080,000.00","74,080,000.00","76,080,000.00","76,080,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,"8,414,431.91","8,414,431.90","43,843,749.29","43,843,749.29","26,556,371.81","18,339,544.00"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,"1,000,000.00","7,020,000.00","82,642,408.00","66,913,528.60","32,573,425.00","69,429,825.00","74,500,800.00","137,519,092.35","85,648,500.00","35,785,933.92","89,023,536.00","96,627,192.00","83,853,656.00","100,771,126.19","99,446,216.30","113,393,502.00","121,708,489.50","41,409,051.44","115,454,817.38","163,708,517.38","155,608,055.78","248,513,011.58","249,951,960.14","384,084,876.13","480,947,863.11","696,204,755.99","1,145,918,109.05"
应付票据,,,,"18,100,000.00","17,733,833.20","18,583,583.20","17,469,750.00","10,690,840.00","10,090,840.00","5,400,000.00","2,823,120.70","8,379,476.70","11,063,356.00","7,217,763.50","10,180,187.50","17,025,424.00","22,664,308.00","20,228,685.00","16,274,677.00","27,481,697.00","36,397,153.30","36,238,778.90","73,610,838.60","99,603,733.69","122,791,114.63","252,238,859.39","421,715,121.87","522,356,218.13"
应收账款,"36,021,864.18","48,992,000.31","84,947,226.00","191,873,014.51","228,440,478.29","293,731,199.29","286,146,498.17","299,243,587.72","256,756,980.60","256,986,541.95","285,365,493.66","247,596,074.02","195,616,247.41","206,148,055.65","177,625,001.60","177,070,491.11","69,167,898.34","110,853,495.41","230,023,405.34","245,942,717.17","296,466,640.40","353,419,227.21","386,461,823.08","403,066,435.63","580,073,482.24","621,618,822.31","706,389,052.58","730,115,702.32"
应付账款,"29,989,480.64","16,989,375.91","32,854,981.50","69,920,728.36","73,569,875.04","62,066,849.57","48,410,560.32","32,463,509.08","31,874,051.25","16,507,342.41","23,908,189.87","21,183,015.48","17,016,711.64","25,308,581.63","27,108,315.45","45,113,173.92","51,915,871.69","46,071,884.26","95,546,618.34","102,150,924.88","153,695,341.94","169,767,955.25","177,658,155.06","165,271,962.67","175,217,030.20","267,678,766.94","375,272,683.96","451,269,955.43"
预付款项,"4,764,872.22","1,937,299.08","33,356,285.34","25,634,040.39","28,647,695.10","34,614,933.28","19,813,440.25","8,389,783.05","12,718,914.16","12,600,745.59","14,625,619.26","45,875,520.12","10,966,509.81","42,989,328.05","33,387,085.63","163,583,763.32","7,274,525.07","31,018,860.76","32,654,274.67","66,329,683.22","17,800,300.99","26,404,472.10","23,422,735.72","21,274,790.63","48,284,983.08","59,825,551.62","54,401,444.33","93,652,955.46"
预收款项,"37,582,803.56","49,392,840.00","191,654,640.98","512,501,888.06","340,536,005.49","210,721,999.71","161,169,313.68","125,009,856.90","116,869,471.93","63,626,581.07","76,270,318.60","92,005,452.91","80,580,717.42","83,653,337.58","97,773,895.39","75,701,235.80","33,424,569.29","12,728,721.97","26,189,903.08","65,320,032.02","62,118,326.73","81,514,201.50","129,784,298.02","91,076,601.82","177,992,283.90","90,359,702.57","252,796,033.46","841,577,816.78"
其他应收款,"5,367,364.18","15,323,178.62","1,790,400.22","5,656,800.61","4,903,342.27","3,412,175.32","6,816,903.12","3,549,073.61","3,763,785.27","3,432,907.12","2,877,465.57","4,815,352.80","24,874,315.39","24,820,999.24","24,091,485.93","24,297,266.92","22,814,858.18","21,535,906.95","36,491,985.97","40,735,501.77","10,761,638.96","9,114,643.34","12,400,949.43","8,351,971.32","6,629,429.52","21,051,026.60","12,680,612.69","17,529,639.72"
应付职工薪酬,"4,363,003.94","7,754,099.94","9,661,722.00","8,380,788.65","11,296,585.12","3,735,580.38","6,166,196.98","5,743,260.25","7,467,649.12","2,926,142.45","3,752,406.41","6,389,707.55","6,618,352.80","2,089,623.19","3,079,212.89","4,656,622.42","9,116,157.77","3,697,902.28","3,542,505.76","5,200,679.95","14,259,111.94","5,034,448.80","5,922,013.79","6,828,210.53","19,192,315.23","7,104,528.04","11,612,026.24","13,953,262.25"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"12,307,041.94","10,885,089.24","37,867,902.87","829,075.76","22,388,515.18","13,065,999.94","15,910,389.77","3,068,028.90","3,371,187.09","4,042,509.90","7,426,396.97","3,156,073.95","3,356,994.63","2,684,536.01","5,582,879.20","8,628,997.35","6,848,062.07","7,365,802.34","13,639,880.13","15,499,494.00","17,380,704.28","14,354,234.30","22,225,349.57","22,934,367.68","20,074,161.24","32,339,483.63","31,244,184.79","59,653,564.75"
应收利息,,,,,,,"1,867,599.82","9,032,008.03","15,948,235.12","22,405,292.21","1,535,368.84","7,781,921.75","13,898,234.57","18,298,967.55","1,797,801.11","6,193,895.75","7,114,047.37","11,368,056.03","296,479.08","435,326.63","732,116.22","1,019,225.33","541,838.74","601,007.44","2,913,834.88","4,064,439.27","4,630,289.66","6,711,552.30"
应付利息,"63,039.90","14,850.00","30,577.80",,,,,,,,,,,,,,,,"233,017.08","427,693.13","180,195.27","162,353.76","162,353.76","162,353.81","193,687.24","193,687.24","238,070.62","181,663.63"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,"1,250,000.00","5,500,000.00",,,,,,,,,,,,,,,,,,,,,,,,"47,741,194.00","27,741,194.00"
存货,"47,370,019.45","43,431,325.06","166,472,958.72","434,862,433.03","387,978,720.18","306,502,771.13","278,779,622.24","257,070,195.52","216,297,563.01","192,350,383.49","185,350,790.10","192,088,968.58","209,413,259.34","200,899,539.73","265,666,996.38","277,069,153.65","241,270,577.74","211,855,642.85","351,910,580.22","363,163,657.25","375,502,408.11","390,449,251.71","422,872,122.00","398,038,818.26","346,621,090.55","414,261,255.43","569,562,945.60","868,532,123.92"
其他应付款,"726,200.00","238,100.00","2,674.99","304,315.01","343,336.53","719,235.29","2,341,662.12","2,437,786.96","308,246.68","314,458.72","329,307.33","1,303,684.38","2,180,303.32","2,208,959.96","1,793,140.92","1,708,757.85","1,964,655.55","1,916,004.35","97,299,770.51","21,275,140.45","9,239,473.10","4,354,455.28","6,894,559.22","6,681,134.52","10,777,371.35","8,669,599.96","6,807,420.16","8,714,021.35"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,"1,697,133.83","1,415,914.73","1,182,111.51","1,378,321.70","7,090,566.55","6,502,108.42","904,878.76","455,869.17","3,000,000.00","3,000,000.00"
其他流动资产,,,,,,,,,"6,122,540.45","7,127,054.05","36,924,680.11","111,369,487.23","89,885,943.76","133,003,582.38","48,076,740.41","33,966,483.00","124,876,641.81","112,898,610.72","50,602,341.16","152,517,270.03","145,199,885.18","190,665,686.40","127,581,820.83","156,172,106.09","606,343,258.91","525,607,012.30","822,872,703.99","848,792,774.93"
其他流动负债,,,,,,,,,,,,,,,,,,,,,"17,599,649.76","17,599,649.76","26,031,520.78","19,557,601.51","19,578,315.87","19,578,405.87","10,947,938.04","10,166,495.17"
流动资产合计,"116,593,776.01","144,725,385.99","394,742,472.55","871,640,003.62","846,808,474.05","780,351,576.22","1,794,270,361.85","1,685,389,068.66","1,697,217,363.89","1,640,623,408.36","1,641,504,546.90","1,668,940,216.77","1,629,544,957.73","1,635,577,132.49","1,638,630,767.51","1,606,595,625.05","1,309,737,237.73","1,294,981,201.38","1,387,558,218.62","1,277,774,366.67","1,262,460,513.31","1,352,415,942.06","1,465,647,091.43","1,461,862,314.10","3,031,381,456.79","3,173,207,561.84","3,555,161,935.20","4,396,930,250.00"
流动负债合计,"106,031,569.98","96,524,355.09","295,572,500.14","610,036,795.84","465,868,150.56","308,893,248.09","251,467,872.87","179,413,282.09","169,981,446.07","92,817,034.55","114,509,739.88","132,417,410.97","120,816,435.81","123,162,801.87","145,517,631.35","152,834,211.34","125,933,624.37","92,009,000.20","331,003,505.73","286,351,576.16","372,132,067.83","389,484,399.25","518,459,655.35","487,698,074.65","617,801,158.42","752,698,902.81","1,237,454,673.14","2,014,694,191.49"
可供出售金融资产,,,,,,,,,,,,,,,,,"2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00",
