科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
筹资活动现金流入小计,"48,573,273,731.50","10,292,040,520.00","1,110,727,800.00","11,073,066,024.32","298,482,720.00",,"1,537,895,665.00","208,634,905.00","85,943,930.00","86,971,270.00","139,376,880.00","213,519,455.00","115,119,400.00","4,070,816,600.00","6,687,121,000.00","12,680,612,600.00","16,000,000,000.00","21,854,809,244.00","31,649,231,993.10","39,537,893,408.07","9,848,131,611.96","26,415,615,084.89","34,798,156,667.98","50,178,124,565.41","47,500,223,860.00","96,675,147,407.66","99,071,128,727.85","104,258,288,418.12","117,256,150.79","133,330,726.65","3,961,242,789.21","30,212,431,674.74","30,427,069,524.88","46,128,320,102.97","73,311,445,957.44","112,699,057,370.05","19,749,933,186.87","40,418,811,250.89","60,718,591,250.89","79,235,087,750.89","22,875,893,541.86"
存放中央银行和同业款项净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
偿还债务支付的现金,"48,526,454,731.50","6,159,757,020.00","70,522,400.00",,"4,000,000,000.00","4,069,791,200.00","4,000,000,000.00","4,000,000,000.00",,,,,,,,"10,600,000,000.00","2,071,825,050.00","8,000,000,000.00","13,600,000,000.00","22,900,000,000.00","7,800,000,000.00","17,105,000,000.00","25,505,000,000.00","30,910,000,000.00","14,140,772,014.00","24,112,197,014.00","39,977,717,014.00","47,506,182,014.00","15,904,610,000.00","22,718,840,000.00","24,049,835,000.00","29,734,326,274.56","30,794,220,000.00","49,860,940,000.00","56,201,810,000.00","70,860,800,668.44","25,807,679,679.69","46,683,217,057.25","74,142,965,863.31","92,851,174,063.23","25,350,660,000.00"
支付的手续费及佣金的现金,"1,304,549,097.06","40,124,135,388.11","496,258,693.98","1,208,942,453.75","321,398,878.63","659,415,184.39","1,046,175,204.43","1,577,950,566.27","362,509,289.02","719,453,326.39","1,064,552,712.52","1,409,471,224.30","333,848,033.07","668,148,232.63","976,483,622.03",,"313,318,352.49","665,349,142.00","1,005,545,659.54","1,148,609,742.94","262,517,250.76","599,214,910.76","1,058,856,742.85","1,996,801,231.81","1,305,361,562.88","3,270,306,732.14","4,696,535,339.01","5,905,083,193.37","860,668,062.20","1,913,080,636.57","2,722,606,964.29","3,507,914,891.50","644,764,352.22","1,815,391,011.99","2,743,754,557.10","3,582,118,409.70","664,342,897.80","1,470,915,721.64","2,248,905,982.98","3,042,049,936.59","859,823,519.54"
分配股利、利润或偿付利息支付的现金,"1,994,652,980.41","1,933,511,051.52","61,176,245.00","387,256,838.73","128,876,931.21","130,050,324.32","1,924,044,986.37","1,911,771,790.16","2,829,261.70","5,051,677.83","1,082,570,920.06","1,084,854,494.39","2,621,103.23","3,545,670.68","739,071,136.53","806,958,633.52","23,432,042.22","85,110,141.93","795,102,692.65","913,372,326.43","578,872,097.53","729,647,342.75","827,159,192.77","1,825,054,912.51","654,664,889.91","2,393,283,006.56","2,666,390,459.27","5,762,545,571.78","2,252,857,622.00","5,201,882,516.05","6,159,248,742.21","6,608,992,403.16","1,991,843,217.80","3,315,054,078.31","4,726,264,786.68","5,149,096,146.42","1,703,732,086.21","3,150,052,191.47","6,324,134,583.70","7,454,580,206.20","1,969,862,784.17"
购买商品、提供劳务支付的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,,,"24,104,500.15",,,,,,,,,,,,,"21,000,000.00","21,000,000.00","21,000,000.00","22,563,758.59",,,,"47,450,868.07",,,"25,752,200.00","35,552,200.00",,,,"150,864,137.64",,,,"29,429,935.25",,"483,472.05","7,098,472.05","11,998,472.05","87,079,981.65"
支付原保险合同赔付款项的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
筹资活动现金流出小计,"50,521,107,711.91","8,093,268,071.52","131,698,645.00","411,361,338.88","4,128,876,931.21","4,199,841,524.32","5,924,044,986.37","5,911,771,790.16","2,829,261.70","5,051,677.83","1,082,570,920.06","1,084,854,494.39","2,621,103.23","3,545,670.68","739,071,136.53","11,406,958,633.52","2,116,257,092.22","8,106,110,141.93","14,416,102,692.65","23,835,936,085.02","8,378,872,097.53","17,834,647,342.75","26,332,159,192.77","32,782,505,780.58","14,795,436,903.91","26,505,480,020.56","42,669,859,673.27","53,304,279,785.78","18,157,467,622.00","27,920,722,516.05","30,209,083,742.21","36,494,182,815.36","32,786,063,217.80","53,175,994,078.31","60,928,074,786.68","76,039,326,750.11","27,511,411,765.90","49,833,752,720.77","80,474,198,919.06","100,317,752,741.48","27,407,602,765.82"
支付保单红利的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
