科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"694,365,969.77","1,121,752,797.99","1,682,598,582.74","791,351,337.10","1,085,727,043.22","1,474,929,415.64","256,934,464.12","443,819,154.77","802,603,271.11","1,055,132,010.43","640,200,543.90","966,753,356.81","1,413,491,397.17","1,660,572,191.59","383,330,359.14","1,195,129,443.16","1,826,869,057.75","2,738,155,475.02","597,561,044.64","1,065,615,082.14","1,883,829,378.90","3,198,484,403.19","416,443,025.03","1,015,458,219.86","1,789,603,138.88","2,937,283,726.52","747,396,786.95"
取得子公司及其他营业单位支付的现金净额,,,,,,,"230,177,209.38","255,913,553.83","255,913,553.83","255,913,553.83",,11.50,11.50,"-15,101,975.27",,,,"189,141,361.32",,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,"2,750,027.50","1,481,463.20","7,312,563.79","15,051,072.52","17,612,144.65","773,235.83","5,326,131.76","7,042,258.28","15,621,213.59",
支付其他与投资活动有关的现金,,,,,,,"928,025.18","255,000.00","255,000.00",,"11,528,926.85",,,,,,,"62,000,000.00",,,,,"1,400,000.00","3,276,250.00","1,416,250.00","4,707,500.00","4,642,328.43"
收到其他与经营活动有关的现金,"5,046,101.64","879,602.76","202,490.46","122,082.47","203,802.47","8,321,169.81","308,168.72","727,601.24","2,110,598.75","11,546,822.77","140,559.07","1,267,106.66","2,169,715.83","1,079,244.25","2,336,687.78","674,822.08","2,741,624.19","63,490,764.24","11,225,053.73","17,322,596.06","23,165,879.18","22,636,744.89","8,018,428.06","9,996,789.10","15,391,155.88","18,131,233.77","6,723,796.92"
投资活动现金流出小计,"868,527,208.55","784,576,609.73","376,525,098.19","171,646,650.08","250,713,335.54","273,828,012.31","253,484,593.81","1,335,010,638.36","1,585,487,360.69","1,904,472,193.47","137,405,912.81","403,375,853.86","491,313,271.89","701,666,771.71","49,118,578.46","267,314,502.64","704,302,014.65","1,501,615,639.07","66,565,419.12","123,211,478.23","373,355,507.80","2,316,241,686.87","124,755,023.64","265,634,567.31","415,262,754.82","693,548,077.49","45,985,104.58"
经营活动现金流入小计,"699,412,071.41","1,122,632,400.75","1,682,801,073.20","791,473,419.57","1,085,930,845.69","1,483,250,585.45","257,242,632.84","444,546,756.01","804,713,869.86","1,066,678,833.20","640,341,102.97","968,020,463.47","1,415,661,113.00","1,661,651,435.84","385,667,046.92","1,195,804,265.24","1,829,610,681.94","2,804,396,266.76","610,267,561.57","1,090,250,241.99","1,922,046,330.60","3,238,733,292.73","425,234,688.92","1,030,781,140.72","1,812,036,553.04","2,971,036,173.88","754,120,583.87"
投资活动产生的现金流量净额,"-868,527,208.55","-630,919,450.77","-376,105,098.19","-161,846,650.08","-240,027,284.32","-243,541,961.09","-253,451,447.31","-782,149,853.31","-731,356,164.68","-898,858,206.36","-136,842,138.07","-384,304,646.09","-471,038,427.01","-612,177,250.71","-48,454,926.06","-262,766,919.04","-579,352,020.09","-1,253,665,644.51","-66,565,419.12","-118,668,360.63","-368,812,390.20","-2,181,797,026.97","232,939,717.49","1,151,335,271.62","1,066,691,026.61","795,432,748.10","-1,503,444.58"
购买商品、接受劳务支付的现金,"439,012,897.70","538,374,396.65","717,828,112.39","496,421,786.07","737,520,304.17","928,041,791.33","244,309,605.18","475,197,920.38","864,673,731.76","1,185,013,815.03","338,053,715.27","748,864,418.89","1,057,048,325.32","1,131,974,686.83","301,135,623.83","799,832,254.20","1,381,282,679.03","1,789,255,597.02","372,762,644.74","806,781,151.11","1,283,246,042.20","1,951,495,141.93","439,342,224.52","995,604,780.70","1,475,796,628.88","2,003,054,820.21","527,737,718.97"
吸收投资收到的现金,,"250,000,000.00",,,"1,703,750,000.00","1,703,750,000.00",,,,,,,,,,"1,367,785,987.76","1,367,785,987.76","1,367,785,987.76",,,"3,872,044,847.60","3,872,044,847.60",,,,,
