科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"122,577,631.66","208,881,020.17","190,454,707.28","82,607,521.09","124,019,556.17","158,140,481.45","25,888,431.45","74,979,012.30","125,014,315.57","224,652,536.47","64,235,853.77","173,921,852.32","275,256,008.03","384,067,449.52","104,867,826.60","235,709,203.20","356,106,448.20","511,128,439.46","140,901,962.31","323,154,120.95","605,663,730.85","955,367,348.29","205,425,655.32","528,502,612.59","849,026,945.76","1,268,570,583.21","278,002,526.12","567,272,069.39"
二、营业利润,"33,571,729.34","69,944,758.31","78,200,408.48","29,648,907.77","44,464,434.10","52,733,389.91","4,609,795.93","23,712,941.06","39,423,616.80","72,444,448.43","20,751,826.04","60,322,870.44","90,072,244.19","129,819,093.36","23,814,570.59","58,478,001.31","83,260,738.07","127,948,215.19","25,992,108.18","63,675,330.06","119,609,789.99","181,198,393.90","24,923,914.96","77,912,800.43","136,378,382.85","209,913,821.52","54,020,291.90","82,165,038.33"
减:营业成本,"59,189,967.23","100,173,336.56","71,706,815.26","33,967,795.08","51,168,512.15","67,284,729.91","12,145,662.51","35,331,482.51","58,587,697.73","103,387,144.16","27,765,916.26","76,918,300.77","128,010,376.75","169,713,559.39","63,275,218.90","137,333,344.44","205,975,188.29","281,006,665.19","83,477,701.90","184,959,671.58","356,383,161.77","562,547,081.25","130,377,524.68","340,946,400.82","540,170,296.98","775,687,277.64","165,932,649.67","356,188,249.17"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,127,491.78","1,892,937.01","2,316,983.74","853,902.97","1,253,413.10","1,415,215.56","222,026.63","580,708.77","958,656.83","1,645,845.21","343,990.54","1,185,500.43","2,109,725.28","3,211,616.81","786,432.73","2,018,188.76","2,938,305.62","4,310,127.27","1,055,707.60","2,206,168.03","4,422,388.99","11,467,133.81","1,355,358.53","6,182,989.53","9,818,554.86","14,289,656.00","2,089,178.93","6,642,973.50"
营业外收入,"1,782,757.79","6,263,696.49","10,281,527.15","5,391,518.49","8,350,661.78","8,615,524.01","1,728,031.61","2,219,377.01","2,909,732.38","4,008,511.36","580,887.65","2,075,885.94","3,687,886.44","5,709,925.45","322,359.79","4,647,112.18","8,726,923.41","4,290,952.61","1,268,235.59","2,099,377.83","3,613,324.82","6,529,107.45","2,562,144.75","1,546,201.17","3,876,003.37","1,507,734.21","64,211.06","135,432.49"
销售费用,"7,367,091.89","9,808,799.52","10,898,879.81","4,271,170.21","6,632,083.65","10,610,840.71","3,455,956.50","6,757,254.56","10,787,414.95","18,954,316.50","5,656,449.88","14,050,893.63","20,917,461.44","33,852,985.32","6,678,378.55","14,408,964.07","22,892,374.74","34,972,622.37","10,416,657.22","22,615,405.24","37,784,489.55","66,074,449.51","15,589,801.30","34,630,394.02","55,832,888.99","84,030,333.57","17,655,223.36","39,776,432.98"
减:营业外支出,"160,091.83","225,325.88","2,034,717.52","79,821.23","225,634.77","289,829.47","22,418.87","64,617.67","111,048.73","613,464.15","57,627.76","577,298.00","1,039,018.90","1,438,976.42","77,522.79","215,294.75","289,009.06","609,307.16","76,299.10","165,526.15","472,562.37","935,609.30","280,786.43","561,486.47","703,583.48","2,719,784.03","156,841.62","263,253.44"
管理费用,"15,322,002.88","20,397,706.54","24,509,894.41","11,679,727.17","18,009,726.45","26,101,120.55","7,532,772.64","13,815,316.03","22,441,182.49","37,346,130.24","10,503,569.66","23,860,294.26","37,151,392.43","51,505,608.91","12,248,828.49","26,514,604.79","42,931,281.77","62,582,558.58","18,209,345.54","45,876,694.38","81,158,785.99","125,735,503.15","33,317,258.73","66,491,510.28","106,907,080.50","165,638,298.41","39,235,168.76","85,378,979.46"
其中:非流动资产处置净损失,"10,896.99",,"46,629.50",,,,,"1,848.92",,"1,848.92",,"144,972.36","144,972.36","144,972.36",,"15,709.04","15,709.04","19,699.11",,"46,258.79","85,726.90","85,882.91","60,479.31","61,783.22","160,314.29",,,
