科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"117,922,781.71","131,336,081.94","218,767,886.51","60,049,984.64","136,089,322.11","202,884,777.47","328,919,674.99","93,076,031.66","189,144,837.08","272,796,361.59","433,911,303.12","90,049,663.60","241,574,985.78","368,109,862.73","686,264,857.93","204,575,161.81","387,950,008.17","563,812,761.49","1,034,022,914.87","203,669,912.02","440,168,694.76","748,396,887.73","1,458,793,078.02","172,930,362.74","389,373,322.99","687,156,429.42"
取得子公司及其他营业单位支付的现金净额,,"-687,502.97",,,,,,,,"-5,253,118.80","-1,353,118.80","5,200,000.00","5,200,000.00","324,420,274.82","324,711,120.26","36,000,000.00","36,000,000.00","887,647,210.90","1,132,209,892.55",,"68,583,600.00","68,583,600.00","77,358,830.00",,"10,000,000.00","10,000,000.00"
收到的税费返还,"9,333.33","284,307.81",,,,"12,407.38",,"883,387.42","4,347,450.85","4,641,494.08","1,219,473.17","348,992.19","5,213,114.13","5,334,956.95","1,515,125.07","3,127,267.50","5,851,188.06","8,842,256.07","7,547,983.34","10,404,799.90","11,229,743.94","11,236,160.37","12,499,746.70","4,845,376.43","4,903,477.08","5,272,655.95"
支付其他与投资活动有关的现金,,,"143,906.40",,,,,,,,"14,834,334.00","350,000.00","900,000.00","1,000,000.00",,,,,,,,,,,,
收到其他与经营活动有关的现金,"11,623,828.43","14,095,345.74","6,713,100.03","3,044,586.26","7,160,824.72","15,926,985.83","28,113,264.26","6,861,402.93","14,035,987.34","21,442,015.76","21,933,367.35","10,162,699.34","19,078,206.52","30,558,677.43","37,887,141.21","3,914,905.34","4,250,820.07","14,472,533.60","9,256,009.47","8,870,232.70","11,334,353.49","22,472,428.92","21,303,754.38","14,400,559.25","22,308,746.31","39,182,163.27"
投资活动现金流出小计,"63,090,154.35","39,403,197.49","17,375,224.17","2,096,417.23","8,942,542.87","13,635,032.01","19,610,823.58","22,044,730.32","24,062,873.89","170,264,962.75","200,510,860.65","115,111,342.66","251,672,814.43","615,895,297.24","654,770,183.17","40,460,096.17","103,267,193.18","977,949,255.42","1,299,479,082.88","14,655,622.01","112,512,998.00","134,764,634.21","216,250,274.50","72,364,151.90","91,386,075.72","139,358,303.26"
经营活动现金流入小计,"129,555,943.47","145,715,735.49","225,480,986.54","63,094,570.90","143,250,146.83","218,824,170.68","357,032,939.25","100,820,822.01","207,528,275.27","298,879,871.43","457,064,143.64","100,561,355.13","265,866,306.43","404,003,497.11","725,667,124.21","211,617,334.65","398,052,016.30","587,127,551.16","1,050,826,907.68","222,944,944.62","462,732,792.19","782,105,477.02","1,492,596,579.10","192,176,298.42","416,585,546.38","731,611,248.64"
投资活动产生的现金流量净额,"-60,802,416.88","-38,783,519.93","-15,258,841.52","-1,096,954.25","-7,812,932.83","-11,680,041.50","-15,216,068.33","-19,519,390.20","-19,679,221.01","-157,452,191.63","-188,152,227.91","-112,798,163.16","-248,590,264.23","-611,089,017.48","-628,264,237.05","-15,358,327.68","-77,953,028.56","-927,591,030.98","-1,141,652,823.77","45,344,377.99","4,619,090.07","-16,854,804.24","22,893,500.52","-34,822,734.88","51,730,501.00","56,160,095.37"
购买商品、接受劳务支付的现金,"26,637,294.77","52,702,807.42","56,860,208.85","18,965,896.24","57,541,012.28","68,232,017.60","105,996,611.57","70,840,038.65","105,984,948.16","148,630,517.82","181,809,371.02","53,291,013.11","140,540,118.94","223,865,051.30","296,542,870.30","86,248,722.39","164,260,785.77","231,445,277.14","359,212,430.90","126,244,698.90","168,241,950.62","238,147,886.58","336,816,929.18","81,120,499.89","172,785,109.98","262,099,858.50"
吸收投资收到的现金,"66,000,000.00","29,696,216.26","18,810,000.00",,"2,835,773.95","354,655,384.10","355,861,903.00",,,,,,,"230,000,000.00","349,390,500.00",,,"533,436,673.42","553,665,073.42",,"700,000.00","700,000.00","700,000.00","800,000.00","800,000.00","800,000.00"
