科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"391,315,297.96","461,117,166.69","506,877,890.86","254,268,542.53","401,272,028.41","545,799,407.97","119,212,978.72","265,130,889.16","415,820,266.58","636,852,354.14","191,733,107.40","406,325,030.93","603,870,514.58","877,519,934.11","214,036,283.84","462,669,205.87","723,596,965.85","979,962,810.96","253,362,855.50","521,775,975.42"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,"526,880,206.73",,"466,479.64","466,479.64","466,479.64",,,,,,
收到的税费返还,,"7,394,388.42","7,155,860.70","3,910,666.76","5,782,643.38","7,482,176.99","1,927,182.86","4,130,390.87","6,064,124.82","7,491,726.24","1,815,581.56","3,640,867.64","5,321,620.11","6,472,305.40","1,650,985.08","2,386,774.67","4,981,840.61","5,936,596.86","2,796,143.44","4,848,509.02"
支付其他与投资活动有关的现金,,,,,,,,"2,434,900.00","4,735,499.99","4,734,900.00",,,,,,,,,,
收到其他与经营活动有关的现金,"9,833,606.49","9,475,682.79","11,092,827.62","2,781,569.97","3,716,313.61","20,750,658.07","5,222,555.64","10,583,648.72","23,222,113.85","30,474,885.27","6,184,675.49","21,927,173.45","22,988,777.21","27,287,067.47","3,992,734.90","17,428,453.42","26,090,749.37","32,450,586.32","10,854,604.85","36,721,131.27"
投资活动现金流出小计,"64,788,254.31","37,016,181.30","22,477,718.09","18,190,741.69","30,521,102.44","53,389,634.96","3,576,300.00","45,012,854.77","333,832,525.60","761,495,967.54","17,304,882.75","239,899,904.88","287,242,261.84","158,831,259.86","18,594,374.30","54,186,549.95","135,137,793.10","48,732,543.22","5,953,638.41","94,657,074.70"
经营活动现金流入小计,"401,148,904.45","477,987,237.90","525,126,579.18","260,960,779.26","410,770,985.40","574,032,243.03","126,362,717.22","279,844,928.75","445,106,505.25","674,818,965.65","199,733,364.45","431,893,072.02","632,180,911.90","911,279,306.98","219,680,003.82","482,484,433.96","754,669,555.83","1,018,349,994.14","267,013,603.79","563,345,615.71"
投资活动产生的现金流量净额,"-60,458,254.31","-18,281,181.30","-14,295,718.09","-18,007,756.81","-30,153,378.90","-51,548,171.69","-3,036,800.22","-43,768,729.79","-333,679,407.80","-759,358,482.03","-17,044,484.95","-103,078,278.54","-149,629,108.13","-47,073,466.55","33,405,625.70","-33,788,986.71","-114,176,843.72","25,139,539.14","6,969,398.42","-79,691,884.23"
购买商品、接受劳务支付的现金,"224,374,920.81","222,519,046.17","249,434,566.69","127,588,466.57","173,821,385.53","234,661,474.51","41,188,241.80","89,709,295.56","149,238,042.62","248,546,739.61","68,784,433.65","119,738,949.08","213,096,511.62","321,627,481.96","75,595,623.25","133,434,600.65","237,918,728.77","358,384,928.76","114,780,559.04","179,674,156.35"
吸收投资收到的现金,,,,,"429,752,138.00","429,752,138.00",,,,,,,,,,,,,,
