科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"65,765,429.86","48,201,200.95","74,883,630.94","50,444,269.91","48,435,626.39","73,234,401.55","446,426,057.63","268,220,683.64","188,340,642.23","136,629,190.89","152,257,968.34","77,578,828.21","93,572,113.72","142,807,012.79"
短期借款,"123,588,835.31","197,350,000.00","127,500,000.00","127,500,000.00","138,600,000.00","166,590,000.00","166,590,000.00","13,000,000.00",,"15,000,000.00","30,251,700.00","46,251,700.00","71,251,700.00","66,251,700.00"
交易性金融资产,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,
应收票据,"10,168,529.21","5,761,530.93","13,155,056.42","13,094,237.76","4,731,029.74","11,407,907.40","74,797,119.50","7,935,981.46","57,240,426.13","37,597,468.60","27,650,033.19","19,308,719.27","19,073,705.65","16,337,727.93"
应付票据,"40,313,952.04","22,682,412.00","57,257,246.41","64,799,468.41","73,337,894.00","59,057,330.41","38,831,658.41","38,962,184.14","72,756,415.68","41,709,853.95","2,314,760.00",,"34,334,400.00","107,738,800.00"
应收账款,"134,557,463.12","232,041,963.01","213,499,539.17","207,567,555.35","253,452,654.40","252,695,473.82","214,704,796.62","194,155,636.69","250,833,094.07","264,451,613.84","248,255,011.61","257,278,039.44","289,034,188.84","334,142,466.97"
应付账款,"39,085,578.85","75,425,740.35","86,321,265.43","91,406,026.63","87,620,768.40","90,064,926.58","98,007,465.89","91,302,836.52","81,237,802.92","98,543,798.79","91,767,450.68","100,627,417.62","106,491,053.24","141,628,070.01"
预付款项,"54,791,560.53","29,455,143.20","30,147,190.84","52,698,440.72","41,397,773.95","53,430,822.32","29,197,273.84","50,142,363.49","52,018,805.98","49,905,376.55","23,885,431.76","59,515,404.70","47,297,611.29","83,119,800.67"
预收款项,"1,640,201.79","1,410,119.42","1,834,800.61","3,404,588.53","2,972,969.19","2,586,372.92","3,112,907.95","2,717,150.90","1,433,150.58","2,483,885.68","3,230,763.97","2,395,346.83","2,777,437.30","2,623,875.22"
其他应收款,"1,041,731.19","8,576,339.18","2,294,150.47","3,179,338.45","2,553,538.72","3,106,628.54","2,700,961.23","2,484,126.31","2,217,036.96","2,870,048.06","2,889,916.80","2,996,901.06","8,558,504.02","9,759,029.71"
应付职工薪酬,"5,383,480.50","7,981,986.26","9,588,510.54","6,198,277.44","6,991,173.17","8,362,056.98","11,078,273.28","5,851,532.88","8,163,596.40","10,042,239.33","13,005,812.15","7,424,999.02","9,516,636.32","10,824,241.33"
应收关联公司款,,,,,,,,,,,,,,
应交税费,"4,148,037.37","8,230,149.33","8,707,355.35","8,789,699.85","5,437,900.53","6,242,806.81","8,694,071.70","13,168,115.61","9,967,940.28","11,086,125.51","9,327,997.80","16,185,133.95","15,527,004.38","12,741,997.82"
应收利息,,,,,,,,,,,,,,
应付利息,,,"109,236.11","109,236.11","110,167.20","226,500.00","70,000.00","3,206.67",,,,,,
应收股利,,,,,,,,,,,,,,
应付股利,,,,,,,,,"70,400,000.00",,,,,
存货,"81,247,099.53","131,531,614.67","156,559,039.02","173,192,864.74","171,103,034.98","164,176,016.61","146,319,188.01","155,920,317.11","150,845,970.40","187,796,285.19","182,349,312.70","197,531,249.30","243,496,951.51","251,369,033.77"
其他应付款,"12,851,827.93","254,305.39","239,475.50","300,634.50","255,806.10","278,611.67","249,658.10","257,203.78","366,391.48","376,180.96","84,959,995.25","84,959,294.59","84,984,321.11","85,289,703.72"
其中:消耗性生物资产,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,
一年内到期的非流动负债,,,"9,600,000.00","7,800,000.00","7,500,000.00","7,500,000.00","7,500,000.00",,,,,,,
其他流动资产,"5,917,505.43","8,622,689.09","9,453,737.05","9,619,093.17","12,692,316.68","9,518,119.40","5,338,990.62","53,761,227.85","58,702,498.59","38,638,366.86","101,820,602.10","128,878,658.40","47,762,019.22","49,513,928.69"
其他流动负债,,,,,,,,,,,,,,
流动资产合计,"353,489,318.87","464,190,481.03","499,992,343.91","509,795,800.10","534,365,974.86","567,569,369.64","919,484,387.45","732,620,336.55","760,198,474.36","717,888,349.99","739,108,276.50","743,087,800.38","748,795,094.25","887,049,000.53"
流动负债合计,"227,011,913.79","313,334,712.75","301,157,889.95","310,307,931.47","322,826,678.59","340,908,605.37","334,134,035.33","165,262,230.50","244,325,297.34","179,242,084.22","234,858,479.85","257,843,892.01","324,882,552.35","427,098,388.10"
可供出售金融资产,,,,,,,,,,,,,,
长期借款,,,"40,400,000.00","40,400,000.00","38,900,000.00","37,100,000.00","35,000,000.00",,,,,,,
持有至到期投资,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,"37,174,828.44","67,173,262.13","89,007,976.70","89,728,991.01"
专项应付款,,,,,,,,,,,,,,
投资性房地产,"3,247,989.84","3,094,106.20","2,939,747.15","2,901,276.09","2,862,805.17","2,824,334.25","2,785,863.33","2,747,392.41","2,708,921.49","2,670,450.57","2,631,979.67","2,593,508.75","2,555,037.83","2,516,566.91"
预计负债,,,,,,,,,,,"4,500,000.00","4,500,000.00","4,500,000.00","4,500,000.00"
固定资产,"125,249,239.64","176,509,716.63","225,141,389.47","228,319,678.08","238,558,448.66","264,690,292.23","270,547,982.02","266,182,170.60","271,735,805.47","267,327,853.01","335,949,030.54","342,109,726.45","336,643,964.33","340,185,390.42"
递延所得税负债,,,,,,,,,,,,,,
在建工程,"37,725,127.14","26,646,121.60","33,202,670.84","44,861,997.23","44,919,429.49","23,773,651.09","31,077,044.17","47,294,406.27","60,265,817.88","68,647,742.30","15,298,590.50","24,065,563.73","24,198,547.82","17,205,813.93"
其他非流动负债,,"20,358,333.33",,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,
非流动负债合计,,"20,358,333.33","60,123,812.43","59,868,812.43","58,113,812.43","56,058,812.43","53,703,812.43","18,448,812.43","20,076,848.14","19,798,310.14","24,015,955.24","23,735,508.76","23,455,062.28","23,174,615.68"
固定资产清理,,,,,,,,"52,067.69",,,,,,
负债合计,"227,011,913.79","333,693,046.08","361,281,702.38","370,176,743.90","380,940,491.02","396,967,417.80","387,837,847.76","183,711,042.93","264,402,145.48","199,040,394.36","258,874,435.09","281,579,400.77","348,337,614.63","450,273,003.78"
生产性生物资产,,,,,,,,,,,,,,
实收资本(或股本),"105,600,000.00","105,600,000.00","105,600,000.00","105,600,000.00","105,600,000.00","105,600,000.00","140,800,000.00","140,800,000.00","140,800,000.00","140,800,000.00","144,060,000.00","144,060,000.00","288,120,000.00","288,120,000.00"
油气资产,,,,,,,,,,,,,,
资本公积,"122,425,190.12","122,425,190.12","122,425,190.12","122,425,190.12","122,425,190.12","122,425,190.12","438,955,889.12","438,955,889.12","438,955,889.12","438,955,889.12","522,827,089.12","526,213,114.12","385,539,139.12","388,925,164.12"
无形资产,"33,653,987.92","60,477,492.77","70,000,034.02","69,803,403.58","69,458,295.64","69,050,055.84","68,725,939.89","68,384,056.03","68,013,226.53","67,564,630.69","67,116,968.38","66,666,506.08","66,216,837.84","66,490,047.49"
盈余公积,"6,186,358.61","10,800,355.88","15,696,232.16","15,696,232.16","15,696,232.16","15,696,232.16","19,442,527.33","19,442,527.33","19,442,527.33","19,442,527.33","25,759,784.21","25,759,784.21","25,759,784.21","25,759,784.21"
开发支出,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,"84,662,200.00","84,662,200.00","84,662,200.00","84,662,200.00"
商誉,,,,,,,,,,,,,,
未分配利润,"97,181,265.67","161,901,682.72","229,728,492.53","245,178,988.61","269,476,887.37","291,066,798.86","310,119,801.92","338,693,964.79","304,113,224.41","331,110,899.92","340,923,407.04","363,097,559.31","317,253,543.43","345,618,727.08"
长期待摊费用,"1,524,199.30","1,228,321.33","1,392,951.71","1,249,846.01","1,156,418.55","1,212,908.82","1,345,089.74","1,127,718.76","929,072.21","829,228.33","1,832,282.18","1,805,491.37","1,646,069.55","1,554,487.74"
少数股东权益,,,,,,,,,,,,,,
递延所得税资产,"1,398,685.48","2,348,697.42","2,136,107.21","2,218,780.82","2,890,914.74","2,714,544.79","3,272,740.21","3,277,483.39","3,948,725.51","4,508,549.71","3,660,123.42","3,534,623.44","3,677,733.60","4,288,534.02"
外币报表折算价差,"83,820.00","74,662.18",,,,,,,,,,,,
其他非流动资产,"2,200,000.00",,,,,,,,,,"5,103,060.00","5,103,060.00","7,696,173.50","5,103,060.00"
非正常经营项目收益调整,,,,,,,,,,,,,,
非流动资产合计,"204,999,229.32","270,304,455.95","334,812,900.40","349,354,981.81","359,846,312.25","364,265,787.02","377,754,659.36","389,065,295.15","407,601,569.09","411,548,454.61","468,766,863.13","513,051,741.95","531,642,341.17","527,072,891.52"
所有者权益(或股东权益)合计,"331,476,634.40","400,801,890.90","473,523,541.93","488,974,038.01","513,271,796.09","534,867,738.86","909,401,199.05","937,974,588.77","903,397,897.97","930,396,410.24","949,000,704.54","974,560,141.56","932,099,820.79","963,848,888.27"
资产总计,"558,488,548.19","734,494,936.98","834,805,244.31","859,150,781.91","894,212,287.11","931,835,156.66","1,297,239,046.81","1,121,685,631.70","1,167,800,043.45","1,129,436,804.60","1,207,875,139.63","1,256,139,542.33","1,280,437,435.42","1,414,121,892.05"
负债和所有者(或股东权益)合计,"558,488,548.19","734,494,936.98","834,805,244.31","859,150,781.91","894,212,287.11","931,835,156.66","1,297,239,046.81","1,121,685,631.70","1,167,800,043.45","1,129,436,804.60","1,207,875,139.63","1,256,139,542.33","1,280,437,435.42","1,414,121,892.05"
