科目,2014-12-31,2015-12-31,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"31,791,538.51","38,317,253.43","60,901,155.62","207,739,942.23","139,932,541.29","80,179,080.00","105,940,745.89","80,621,399.49"
短期借款,"311,000,000.00","311,000,000.00","293,623,776.25","298,623,776.25","285,652,637.26","272,264,622.42","259,500,000.00","249,500,000.00"
交易性金融资产,,,,,,,,
交易性金融负债,,,,,,,,
应收票据,"27,715,612.61","34,093,777.37","20,545,666.87","47,063,901.68","58,798,112.68","53,278,515.55","30,566,321.25","46,266,636.16"
应付票据,"41,500,000.00","25,000,000.00","79,100,000.00","84,757,500.00","36,600,000.00","16,750,000.00","40,000,000.00","40,000,000.00"
应收账款,"177,792,310.10","154,903,211.66","199,608,117.04","164,901,117.96","180,304,598.04","182,715,202.14","203,611,794.37","189,323,050.09"
应付账款,"72,725,333.74","62,745,518.85","53,887,866.63","67,933,591.23","54,787,814.02","57,750,918.81","58,634,847.30","50,406,030.54"
预付款项,"2,608,907.82","2,001,252.84","5,406,770.24","3,384,545.11","13,070,082.47","9,617,353.22","6,336,472.18","14,241,567.27"
预收款项,"1,424,610.15","921,094.42","1,317,022.64","2,932,650.28","3,511,923.75","1,434,534.29","750,179.94","2,455,094.28"
其他应收款,"5,845,626.15","10,892,264.13","14,766,778.24","8,014,451.41","7,111,236.06","6,070,202.79","6,268,542.32","5,461,895.42"
应付职工薪酬,"24,834,402.19","24,450,324.75","25,757,536.10","19,593,244.70","20,886,883.55","21,996,966.26","28,245,106.10","19,289,346.90"
应收关联公司款,,,,,,,,
应交税费,"5,414,211.86","4,761,046.31","10,031,987.70","3,414,008.31","10,527,296.79","5,485,294.45","8,162,658.38","6,824,370.90"
应收利息,,,,,,,,
应付利息,"665,427.80","622,299.50","452,739.63","450,004.17","423,414.01","412,359.53","336,469.15","344,251.15"
应收股利,,,,,,,,
应付股利,"525,517.57",,,,,,,
存货,"203,946,610.54","177,578,945.34","170,556,478.35","223,121,072.94","197,092,696.99","196,348,132.39","197,991,654.35","215,009,753.37"
其他应付款,"2,396,329.43","4,497,845.68","5,144,090.11","16,548,362.80","4,888,912.96","5,639,087.24","5,110,401.44","5,745,668.36"
其中:消耗性生物资产,,,,,,,,
应付关联公司款,,,,,,,,
一年内到期的非流动资产,,,,,,,,
一年内到期的非流动负债,"26,055,887.39","31,674,621.32","20,336,432.61","14,323,790.00","13,770,194.86","12,152,596.68","11,367,548.11","7,402,941.11"
其他流动资产,"621,356.27","945,327.88",,,"25,002.08","50,162,322.78","52,801,005.68","37,462,053.51"
其他流动负债,,,,,,,,
流动资产合计,"450,321,962.00","418,732,032.65","471,784,966.36","654,225,031.33","596,334,269.61","578,370,808.87","603,516,536.04","588,386,355.31"
流动负债合计,"486,541,720.13","465,672,750.83","489,651,451.67","508,576,927.74","431,049,077.20","393,886,379.68","412,107,210.42","381,967,703.24"
可供出售金融资产,,,,,,,,
长期借款,"13,000,000.00",,,,,,,
持有至到期投资,,,,,,,,
应付债券,,,,,,,,
长期应收款,,,,,,,,
长期应付款,"19,320,109.70","19,614,236.52","11,033,334.40","8,392,683.96","4,212,086.54","1,852,084.57","710,902.38","719,135.77"
长期股权投资,,,,,,,,
专项应付款,,,,,,,,
投资性房地产,"5,206,641.37","6,401,777.66","9,952,002.67","9,952,002.67","9,800,553.82","12,400,633.04","12,742,569.48","16,410,171.92"
预计负债,,,,,,,,
固定资产,"229,376,252.06","230,461,904.55","239,022,918.41","231,835,495.84","248,592,641.46","241,933,122.91","260,582,673.08","252,245,156.28"
递延所得税负债,,,,,,,,
在建工程,"15,114,528.13","13,771,940.15","43,160,011.01","42,011,648.64","21,817,458.04","21,948,534.13","4,184,966.12","4,747,524.71"
其他非流动负债,,,,,,,,
工程物资,,,,,,,,
非流动负债合计,"57,502,803.68","43,876,927.56","35,261,274.20","31,176,344.34","27,426,204.76","24,799,202.82","22,052,265.84","21,780,999.26"
固定资产清理,,,,,,,,
负债合计,"544,044,523.81","509,549,678.39","524,912,725.87","539,753,272.08","458,475,281.96","418,685,582.50","434,159,476.26","403,748,702.50"
生产性生物资产,,,,,,,,
实收资本(或股本),"75,000,000.00","75,000,000.00","75,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00"
油气资产,,,,,,,,
资本公积,"81,079,810.44","81,079,810.44","81,079,810.44","210,157,577.42","210,157,577.42","210,157,577.42","210,157,577.42","210,157,577.42"
无形资产,"30,268,127.88","29,598,653.58","28,890,166.62","28,727,636.08","28,549,759.63","28,371,883.18","28,188,389.97","28,010,807.46"
盈余公积,"1,010,027.63","2,110,747.81","3,180,968.40","3,180,968.40","3,180,968.40","3,180,968.40","5,808,142.73","5,808,142.73"
开发支出,,,,,,,,
减:库存股,,,,,,,,
商誉,,,,,,,,
未分配利润,"54,812,545.41","76,273,021.07","114,709,674.83","119,206,902.92","140,686,976.08","156,835,865.53","169,001,608.61","179,774,739.34"
长期待摊费用,,,,,,,,
少数股东权益,,,,,,,,
递延所得税资产,"5,390,958.21","5,229,051.54","5,710,976.95","5,546,906.26","5,868,991.30","5,835,011.72","8,939,081.31","8,939,081.31"
外币报表折算价差,,,,,,,,
其他非流动资产,"20,268,437.64","39,817,897.58","362,137.52",,"1,537,130.00",,"972,589.02","750,065.00"
非正常经营项目收益调整,,,,,,,,
