科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"75,537,158.50","241,944,002.55","403,132,406.37","85,656,121.89","211,851,578.47","256,805,733.81","254,672,236.92","77,609,634.45","222,991,818.92","279,756,867.09","369,202,919.29","107,808,661.84","242,625,864.03","336,887,702.48","477,992,738.88","130,408,487.69","246,609,612.56","453,512,812.65","920,711,599.14","455,912,788.28","619,588,534.38","896,024,374.78","1,091,836,152.27","661,060,710.00","1,527,381,942.87","2,410,891,328.08","1,351,247,862.55","698,208,379.02","1,204,769,944.65","1,565,943,567.25","2,118,617,904.10","624,174,007.10","1,379,505,207.15","2,269,277,398.95","2,205,680,590.22","715,220,337.05"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,"160,375,372.59",,,,,,"269,566.79",,"269,567.79",,"287,328,116.62","287,597,474.06","362,888,084.49",,,,"399,621.70",
收到的税费返还,,,,,,,,,,,,,,,,,,"25,144.10",,"97,297.09","152,966.00","222,855.63","9,370.86","35,895.10","290,488.28","315,810.81","315,810.81","61,630.01","19,630.01","287,118.93","19,630.01","363,282.44","365,909.23","11,542,942.01","4,521,074.38","1,311,562.21"
支付其他与投资活动有关的现金,"487,746.00",700.58,,,,,,,,,,,,,,,,,,"8,400.00",,"57,085.00",,"465,820.79",,"447,658.30",,"188,400.00","188,428.02","188,400.00","1,339,600.00",,"45,000,485.35",485.35,"1,982,761.35",
收到其他与经营活动有关的现金,"21,571,140.87","18,901,651.00","9,797,708.38","6,995,620.63","4,312,152.69","7,372,393.57","3,445,802.23","3,686,051.92","5,909,526.83","6,538,607.34","7,208,589.39","2,492,052.75","4,402,015.72","5,790,597.57","18,166,440.83","3,802,504.90","9,480,073.71","21,500,420.52","208,893,468.69","68,773,886.98","175,388,396.92","338,647,684.17","172,290,012.05","107,541,138.33","241,454,444.32","473,062,195.93","263,836,701.20","92,628,249.08","372,849,318.50","760,681,921.82","370,491,132.91","226,636,691.81","403,633,112.58","784,703,412.62","539,021,732.16","362,305,518.62"
投资活动现金流出小计,"21,275,175.28","33,070,241.65","70,393,786.63","16,295,257.10","32,797,579.40","84,116,854.69","96,053,022.45","10,751,216.08","33,167,439.30","43,400,686.88","45,729,330.54","4,632,527.03","11,310,703.36","22,477,697.32","34,042,489.96","7,703,974.72","11,369,025.15","64,338,405.81","192,846,726.88","39,265,288.90","120,213,901.00","134,238,042.46","528,047,262.60","308,711,337.30","650,350,362.22","1,107,587,783.52","1,483,701,922.72","390,892,834.68","509,359,188.04","654,605,243.99","980,455,904.37","231,595,036.29","324,197,027.96","362,150,465.67","686,887,918.73","126,286,758.42"
经营活动现金流入小计,"97,108,299.37","260,845,653.55","412,930,114.75","92,651,742.52","216,163,731.16","264,178,127.38","258,118,039.15","81,295,686.37","228,901,345.75","286,295,474.43","376,411,508.68","110,300,714.59","247,027,879.75","342,678,300.05","496,159,179.71","134,210,992.59","256,089,686.27","475,038,377.27","1,129,605,067.83","524,783,972.35","795,129,897.30","1,234,894,914.58","1,264,135,535.18","768,637,743.43","1,769,126,875.47","2,884,269,334.82","1,615,400,374.56","790,898,258.11","1,577,638,893.16","2,326,912,608.00","2,489,128,667.02","851,173,981.35","1,783,504,228.96","3,065,523,753.58","2,749,223,396.76","1,078,837,417.88"
投资活动产生的现金流量净额,"-17,932,375.28","-32,699,488.31","-67,943,786.63","-15,995,257.10","-32,497,579.40","-83,816,854.69","-91,162,042.00","-10,751,216.08","-33,167,439.30","-43,400,686.88","-45,729,330.54","-4,528,027.72","-11,205,203.36","-22,336,357.32","-33,901,149.96","-7,700,804.72","-10,993,125.52","-63,951,029.17","-192,377,327.25","-39,265,288.90","-63,206,279.42","-77,065,420.88","-381,706,505.34","-37,424,210.60","45,171,531.60","-238,566,739.34","-185,465,292.37","-274,552,995.86","-370,473,106.66","-486,352,151.02","-605,366,057.45","-214,922,084.88","-288,791,224.56","-316,248,483.83","-364,679,587.37","10,541,614.45"
购买商品、接受劳务支付的现金,"47,594,598.94","88,510,697.50","187,029,882.94","115,993,402.59","172,891,396.49","218,413,813.93","244,217,018.96","82,573,713.88","143,344,934.92","195,620,846.86","261,206,869.80","68,807,044.92","131,704,380.38","198,874,801.16","295,296,519.88","97,031,391.47","201,414,439.92","314,551,893.77","651,468,647.17","442,009,422.97","530,045,286.94","800,615,237.55","927,494,685.71","768,080,260.17","1,672,174,535.11","2,484,639,945.07","1,336,695,393.72","634,221,712.71","960,295,646.24","1,457,219,211.33","1,749,533,747.21","588,890,621.80","1,207,641,374.40","1,630,872,038.78","1,765,286,112.22","753,488,336.04"
吸收投资收到的现金,"500,000.00","5,014,000.00",,,"337,939,000.00","337,939,000.00","337,939,000.00","1,800,000.00","2,100,000.00","2,100,000.00","2,100,000.00",,,,,"600,000.00","600,000.00","600,000.00","195,599,989.00",,,"30,000,000.00","833,945,296.72",,,,"10,000,000.00",,"30,490,641.08","60,490,641.08","90,490,613.06",,,,,
