科目,2009-12-31,2010-12-31,2011-12-31,2012-06-30,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"10,375,181.19","8,618,592.25","39,730,051.83","36,344,785.45","45,617,407.77","48,432,858.93","57,383,654.03",,"266,172,711.74","45,672,665.65","100,951,288.88","89,227,090.80","111,531,538.89","43,413,312.55","13,354,715.89","67,891,751.70","55,051,694.11","114,952,106.60","179,014,785.72","511,931,363.42","184,018,945.93","242,890,684.05","171,710,948.47","173,432,437.19"
短期借款,"3,000,000.00","18,200,000.00","18,200,000.00","34,200,000.00","64,900,000.00","142,000,000.00","120,200,000.00",,"133,300,000.00","70,000,000.00","70,000,000.00","80,000,000.00","109,800,000.00","69,800,000.00","54,800,000.00","59,800,000.00","150,000,000.00","230,000,000.00","200,000,000.00","180,000,000.00","150,000,000.00","150,000,000.00","150,000,000.00","200,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"8,971,897.40","4,536,448.00","8,223,000.00","9,367,809.72","7,336,700.00","56,797,403.20","37,300,265.61",,"21,887,413.96","37,611,769.13","49,053,711.11","48,332,878.87","48,561,705.75","48,579,953.96","30,891,323.07","41,529,545.24","100,194,100.16","125,204,073.01","71,004,312.17","45,499,230.95","62,930,600.82","55,203,747.74","137,914,767.18","68,714,355.36"
应付票据,,,,,,"17,100,000.00","7,600,000.00",,"3,749,668.00","800,000.00",,"2,000,000.00","2,000,000.00","2,687,950.00","2,687,950.00",,,,,"70,000,000.00","140,000,000.00",,"137,000,000.00",
应收账款,"18,753,132.71","28,509,510.80","36,430,606.06","67,332,691.38","48,829,932.85","56,561,185.37","46,461,508.68",,"107,201,460.11","100,691,041.33","63,913,356.89","90,711,320.69","89,838,570.10","94,240,254.23","55,143,465.07","89,012,557.02","89,255,768.21","92,699,157.66","62,810,279.88","119,444,129.08","165,648,536.05","170,941,622.35","184,176,609.98","192,502,822.82"
应付账款,"13,502,062.31","20,133,686.81","71,938,821.63","85,549,941.39","72,947,214.60","52,905,025.13","27,803,734.93",,"64,320,460.78","54,725,489.34","54,375,938.16","48,619,317.38","52,404,251.21","72,099,596.67","30,361,409.93","46,918,901.74","64,710,486.27","63,934,076.03","110,053,099.61","70,846,873.82","91,533,545.07",,"121,162,446.05",
预付款项,"6,686,093.21","21,053,653.65","8,183,451.71","33,867,526.02","20,281,270.40","24,492,580.91","54,756,231.90",,"30,949,290.19","68,446,535.65","40,503,960.05","81,370,269.85","64,740,845.77","74,184,457.40","122,745,737.14","69,133,429.09","66,439,675.04","174,297,321.09","95,729,407.12","151,521,188.00","185,622,478.91","300,326,104.13","132,379,050.01","482,286,916.77"
预收款项,"6,922,246.26","8,109,879.19","10,339,150.44","56,547,330.61","35,735,453.21","32,722,437.05","40,831,750.58",,"36,170,020.10","60,438,211.46","46,367,160.02","73,114,104.72","49,591,323.07","71,010,679.66","56,989,649.14","70,869,013.66","47,686,410.90","180,614,624.45","98,580,246.84","109,366,164.44","83,218,906.82","155,347,853.01","76,020,153.36","242,768,723.99"
