科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"433,967,110.61","439,529,248.73","649,078,055.65","162,841,176.42","366,484,456.90","575,707,876.85","800,046,679.76","189,846,547.19","439,057,767.17","661,961,963.08","897,164,518.14","193,968,881.17","450,164,991.02","694,395,137.31","968,406,448.53","225,027,344.45","507,865,415.78","796,842,638.45","1,106,957,049.40","224,733,825.25","544,373,688.39","827,888,373.81","1,148,712,332.94","268,493,312.57","611,726,437.97","1,003,872,779.14","1,440,556,749.39","450,421,282.00","1,129,802,601.03","1,763,033,868.69"
二、营业利润,"23,379,412.55","36,866,981.17","54,832,368.81","16,987,598.72","34,318,628.59","46,694,419.63","57,786,082.66","17,151,082.81","31,243,994.32","39,549,309.92","37,430,869.84","1,176,051.09","6,242,508.72","8,615,705.11","9,768,438.58","2,605,472.57","9,560,701.23","15,017,989.75","5,750,522.92","3,120,039.14","19,668,095.45","26,563,973.90","28,571,367.50","39,731,757.50","93,004,163.63","134,470,048.82","132,975,012.67","-1,009,156.05","79,636,252.97","139,876,208.55"
减:营业成本,"369,852,891.97","355,132,139.01","534,941,427.27","128,953,133.53","295,544,907.28","471,440,222.53","660,054,148.07","152,920,378.63","361,636,966.62","551,341,781.52","756,737,704.74","168,179,836.19","388,996,675.27","600,011,389.54","838,220,789.66","198,121,011.92","440,874,633.16","688,325,766.16","956,332,107.83","187,889,604.79","445,139,957.27","674,021,126.09","938,760,914.00","213,995,519.52","493,923,276.79","811,453,201.04","1,173,692,564.83","367,998,562.97","892,884,894.56","1,393,973,112.40"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,,481.07,"165,238.65","297,464.55","677,942.82","1,004,085.56","1,443,068.28","285,708.80","775,663.09","1,172,854.99","1,537,935.92","345,512.53","807,302.42","1,746,213.02","2,267,746.57","465,398.69","977,161.60","1,491,002.83","2,031,885.78","343,974.45","954,770.42","1,423,773.75","1,824,719.65","494,218.53","1,291,490.15","2,025,670.48","5,390,288.31","2,204,507.02","4,858,758.15","7,685,679.88"
营业外收入,"6,342,570.11","9,342,016.50","10,806,715.87","3,382,021.99","6,779,468.99","9,325,249.38","11,707,383.88","271,532.92","3,161,776.69","3,889,488.34","5,969,486.20","4,181,163.42","6,049,496.13","7,220,685.59","7,660,722.50","3,360,841.61","5,393,165.95","8,215,494.93","22,563,168.94","6,050,906.11","9,138,706.21","11,979,094.21","13,268,529.36","4,865,067.03","12,533,383.04","22,062,742.26","32,469,115.65","8,725,400.11",,
销售费用,"8,563,651.09","11,694,290.08","17,292,302.45","5,321,036.77","10,576,452.78","16,250,295.87","21,877,366.35","6,304,075.54","13,580,395.33","20,802,401.44","31,831,587.78","7,237,122.27","16,599,892.20","26,850,117.29","37,502,515.09","8,954,799.39","18,700,765.26","29,386,337.14","43,752,898.60","10,800,283.03","21,454,306.19","34,907,058.94","48,842,893.22","11,167,257.56","23,865,189.51","39,101,733.43","58,577,339.36","18,336,967.62","38,979,022.11","60,848,452.83"
减:营业外支出,"32,069.10","219,388.50","28,146.12","153,064.00","191,592.75","313,364.75","330,836.80","18,102.05","67,312.60","242,099.80","365,471.58","73,917.19","259,199.98","1,013,004.58","1,262,858.79","6,682.63","77,421.44","132,066.44","330,682.95","100,017.86","422,978.98","571,495.75","733,368.51","240,154.59","343,184.64","369,317.47","616,606.82","418,532.15","1,192,606.10","1,333,724.54"
管理费用,"21,371,013.32","25,897,087.19","30,703,393.15","8,377,841.03","18,650,011.89","31,167,680.86","46,315,032.65","13,278,762.35","28,719,040.22","46,153,844.74","63,658,373.18","16,693,232.59","33,054,036.31","49,351,101.02","68,782,678.24","15,662,769.59","34,548,795.32","55,222,625.32","86,720,985.18","21,671,781.71","47,998,536.77","75,320,190.28","114,872,268.15","28,868,468.08","63,193,870.16","101,625,320.43","139,466,704.31","41,264,910.83","98,858,582.91","156,841,383.05"
其中:非流动资产处置净损失,,,,,,,"52,839.85",,,,"140,692.11",,"124,103.00","219,431.29","231,107.99",,,,"90,105.25","30,568.01","262,096.35","378,883.12","379,056.24","224,796.91","233,778.11","234,331.10","310,266.88",,"336,936.78","422,184.89"
