科目,2010年度,2011年度,2012年1-9月,2012年度,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"2,232,693,202.95","2,554,264,245.52","1,914,485,117.00","2,930,724,825.07","1,820,942,613.17","2,368,373,281.00","3,275,782,697.38","1,002,761,157.01","2,058,214,706.65","3,882,191,579.12","6,016,364,242.91","1,335,481,687.27","2,753,138,754.46","4,665,040,422.60","7,637,131,951.01","3,197,392,132.66","6,204,632,986.33","8,490,399,945.27","10,773,012,644.81","3,060,708,825.98","6,236,547,085.52","9,469,276,280.87","15,106,777,902.48","4,959,852,426.94","8,751,752,164.10"
二、营业利润,"55,276,270.56","66,488,315.08","42,142,284.69","94,136,375.81","147,536,614.34","92,833,790.29","156,011,202.24","-31,465,249.75","-4,880,548.16","33,589,147.83","80,479,991.98","38,782,176.39","99,406,586.35","124,181,443.87","222,480,030.72","32,166,580.92","75,478,856.89","142,055,315.73","334,340,975.10","31,132,879.82","73,073,978.97","164,321,702.97","410,621,898.52","192,332,407.87","140,678,040.89"
减:营业成本,"1,972,550,131.05","2,253,630,004.59","1,636,309,646.72","2,529,304,078.54","1,604,787,374.03","2,093,385,785.42","2,896,133,675.95","905,515,887.60","1,849,562,694.35","3,589,455,440.62","5,582,665,734.59","1,161,138,793.36","2,375,121,062.93","4,102,941,580.18","6,803,497,554.15","2,898,177,482.58","5,609,054,690.48","7,621,917,466.57","9,371,848,818.08","2,711,464,272.83","5,509,957,314.01","8,367,006,315.41","13,479,055,121.55","4,520,374,809.31","8,093,221,092.43"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"3,903,805.06","6,915,460.33","6,694,372.09","8,963,970.64","3,660,183.29","6,692,924.19","9,186,875.65","4,577,088.56","6,521,385.88","8,691,516.23","12,267,186.47","7,901,910.77","14,975,976.39","25,450,089.77","39,486,368.68","15,134,621.34","26,832,771.18","39,009,345.28","58,456,780.50","19,245,533.32","40,741,976.57","58,978,208.93","85,827,282.21","21,351,552.77","29,803,446.44"
营业外收入,"7,942,780.86","28,567,300.43","6,637,105.42","13,792,169.28","4,436,843.08","5,162,958.00","5,820,288.27","17,940,562.50","20,718,900.08","23,477,841.03","26,593,869.49","7,730,611.51","16,613,397.14","20,259,332.51","36,982,656.29","8,275,080.99","23,689,060.13","31,757,886.57","59,313,022.94","24,515,374.95","21,641,154.88","33,000,144.23","39,950,692.43","4,698,091.89","6,794,734.56"
销售费用,"122,321,298.52","126,594,897.98","130,710,415.55","194,312,928.71","95,788,288.30","123,782,309.94","162,282,269.42","35,620,404.97","65,726,397.12","106,720,556.44","163,690,451.60","83,517,705.42","148,875,229.00","212,352,138.03","299,375,692.13","80,532,588.65","149,277,539.25","225,451,810.43","336,623,464.70","161,078,681.62","325,474,600.28","427,263,344.61","587,359,338.99","93,971,215.92","164,057,207.18"
减:营业外支出,"346,814.87","566,678.74","127,517.13","2,213,119.06","2,939,799.47","3,032,737.76","15,929,338.58","19,418.55","261,553.74","312,670.79","432,821.71","20,000.00","321,422.08","674,616.24","1,963,695.37","127,446.19","258,842.38","375,114.72","12,146,010.80","403,970.05","932,194.31","1,246,331.77","1,597,296.08","159,653.98","1,220,084.07"
管理费用,"73,509,141.21","60,819,657.05","41,794,057.04","57,291,611.13","28,939,674.12","43,024,039.89","55,552,395.40","13,040,875.38","29,395,883.14","45,048,431.81","64,348,531.55","27,676,277.75","54,468,770.66","90,822,493.43","120,543,779.20","34,035,865.12","70,360,740.90","119,970,159.65","170,455,677.82","48,727,745.84","100,822,436.15","148,553,098.91","225,365,551.66","59,316,556.94","123,128,369.56"
其中:非流动资产处置净损失,"182,076.40",,"27,449.40","1,606,039.88","1,503,593.47","69,937.10","13,266,530.57",,"141,553.34","177,887.61","177,887.61",,"1,421.77","4,381.73","250,426.97",,"11,131.59","81,623.55","380,162.69","1,833.88","4,606.12","48,025.67",,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"4,630,969.77","22,055,476.98","26,307,342.75","39,364,637.25","31,274,685.87","46,775,692.20","64,574,129.01","18,127,632.90","41,443,153.75","69,119,834.95","84,250,848.78","23,547,353.15","50,454,837.81","93,265,079.95","155,874,192.92","58,228,217.53","139,035,457.56","213,770,997.32","283,534,296.32","75,430,248.69","181,486,472.19","283,040,159.09","431,721,678.10","133,203,159.47","237,873,742.78"
三、利润总额,"62,872,236.55","94,488,936.77","48,651,872.98","105,715,426.03","149,033,657.95","94,964,010.53","145,902,151.93","-13,544,105.80","15,576,798.18","56,754,318.07","106,641,039.76","46,492,787.90","115,698,561.41","143,766,160.14","257,498,991.64","40,314,215.72","98,909,074.64","173,438,087.58","381,507,987.24","55,244,284.72","93,782,939.54","196,075,515.43","448,975,294.87","196,870,845.78","146,252,691.38"
资产减值损失,"696,339.39","1,743,207.14","2,287,872.80","7,494,781.28","9,506,150.63","7,849,150.74","9,805,901.09","509,309.26","2,454,348.55","6,225,388.03","6,831,342.17","-1,401,326.17","18,266,795.35","17,026,412.69","33,376,074.46","-10,718,846.32","-2,287,215.61","16,899,126.18","50,402,245.41","-4,521,449.30","15,483,995.87","31,233,502.85","93,180,508.94","-6,705,044.74","46,205,166.03"
