科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"121,952,798.45","283,035,276.75","623,781,634.29","127,423,429.15","321,878,859.63","510,840,899.93","643,461,263.66","113,297,187.29","252,230,893.51","406,883,465.00","625,186,334.25","207,724,286.43","433,178,216.34","683,533,749.57","948,988,406.05","253,220,375.99","480,871,475.27","738,199,505.95","944,667,480.32","182,334,033.99","403,111,763.54","616,885,337.10","829,566,317.87","180,546,112.25","381,267,918.00","568,512,249.48","802,998,140.98","172,930,187.32","363,630,360.67","550,699,651.13","773,785,968.58","151,811,108.69","337,932,369.95","502,573,880.98","671,242,037.84","128,453,739.47","285,123,229.89","455,851,960.27","682,811,661.99","207,700,410.07","441,315,680.63","680,411,446.57","945,030,111.48"
二、营业利润,"14,352,185.85","35,073,940.55","91,423,997.77","18,274,861.91","45,647,997.85","67,267,086.01","51,775,894.93","6,156,015.43","18,051,196.58","30,456,657.76","41,723,186.63","19,051,104.58","47,590,331.93","77,838,927.69","100,003,693.65","28,107,223.78","41,348,744.89","75,691,072.58","-24,942,032.94","-13,325,500.18","-10,128,055.15","-10,639,475.58","-39,450,097.61","-30,610,502.63","-200,995,509.67","-599,917,421.36","-807,363,769.33","-10,979,909.46","-19,919,133.08","-24,822,313.62","-28,437,015.81","-7,358,839.79","-28,984,548.70","-40,309,491.13","-65,179,637.70","-1,387,812.09","276,259.69","-4,502,498.58","4,715,664.07","12,553,011.46","15,945,021.97","23,041,618.80","24,362,820.13"
减:营业成本,"100,757,408.71","230,242,372.23","480,911,077.62","96,214,678.30","248,503,120.75","397,428,552.69","522,328,615.60","95,389,174.03","205,525,315.14","329,755,900.64","507,174,801.87","168,288,303.52","336,533,537.91","529,737,815.66","735,311,998.38","196,193,807.07","373,852,407.94","565,828,710.99","822,497,601.90","161,613,804.88","345,038,688.54","518,355,266.31","717,930,288.08","160,598,567.35","372,057,264.17","562,603,667.56","835,017,928.97","156,311,170.05","319,821,534.05","484,242,347.52","677,328,703.01","135,396,149.33","299,839,666.47","442,932,342.11","590,394,393.78","112,496,759.27","248,774,846.13","398,521,546.51","589,786,536.73","179,728,541.04","387,460,660.79","600,309,844.47","827,343,511.80"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"180,231.16","372,493.08","1,213,912.76","277,891.78","858,835.25","1,311,821.63","1,721,777.22","73,300.80","222,194.21","284,759.06","423,195.60","243,015.12","665,769.19","1,188,461.79","1,199,263.15","53,656.21","286,091.07","597,212.02","1,401,303.27","212,005.06","428,274.16","631,634.05","1,069,283.86","385,562.43","786,565.13","904,612.13","1,237,009.45","282,101.25","1,012,371.79","1,269,435.56","1,539,465.56","168,855.52","486,150.08","878,761.55","984,690.07","102,298.48","261,975.83","654,698.43","4,212,625.63","753,201.94","1,868,824.04","3,300,049.28","4,265,271.13"
营业外收入,"395,042.80","4,687,246.02","6,162,817.90","1,467,000.00","3,273,000.00","3,282,285.00","2,765,358.60","877,701.30","1,552,902.65","3,272,944.76","3,793,159.37","642,117.02","1,099,032.71","1,621,012.32","6,602,266.07","1,623,046.69","2,100,847.99","3,745,534.29","4,490,342.30","1,078,298.66","2,558,948.97","5,538,976.99","42,377,688.65","675,697.30","1,508,898.60","2,603,685.55","11,443,737.93","14,653,607.42","25,089,235.16","35,714,133.30","46,918,455.38","8,995,000.26","3,940,149.05","4,975,851.40","14,664,810.83","4,425.43","1,141,309.70","1,150,309.70","17,254,245.03","1,045,369.39","1,667,869.39","1,736,282.53","1,113,162.48"
销售费用,"1,721,561.84","3,918,627.77","11,985,254.99","2,648,097.71","6,952,611.79","12,847,651.76","16,823,952.93","2,917,063.23","7,797,625.40","13,955,791.88","19,907,918.08","5,250,463.73","11,653,765.68","17,785,477.25","25,848,307.48","6,833,677.51","14,095,394.53","20,138,052.57","29,842,430.95","7,265,558.56","14,869,938.14","22,837,482.83","30,277,361.61","9,065,284.64","16,660,124.43","24,130,862.60","30,389,817.50","4,862,174.08","11,392,242.49","18,270,537.58","21,075,362.28","7,213,352.61","14,284,173.96","19,953,758.01","25,521,449.59","4,590,487.24","10,942,457.10","16,885,149.03","24,575,826.51","4,273,940.18","12,318,537.60","18,775,630.29","26,178,811.59"
减:营业外支出,"58,697.41","157,953.27","339,955.96","56,574.76","731,975.64","897,441.75","936,182.78","60,038.71","166,681.95","295,027.14","460,129.96","98,607.03","209,869.17","257,092.51","640,306.84","131,676.48","322,032.75","613,751.17","1,485,191.10","276,735.11","425,671.18","603,766.79","1,390,878.47","232,266.36","490,739.51","63,865,925.22","74,256,854.67","2,030,810.06","2,115,563.13","3,801,675.37","3,298,301.79","10,250.00","962,155.07","1,927,851.11","9,032,221.03","1,378,763.15","7,025,675.73","8,817,897.17","10,517,549.21","4,100.48","37,100.63","55,100.63","383,980.63"
管理费用,"3,768,396.13","10,314,724.29","25,369,044.60","6,798,605.54","16,345,579.26","26,561,928.93","41,383,903.48","6,505,346.67","15,745,593.77","24,955,570.42","42,852,854.59","11,789,083.46","28,161,718.41","45,504,575.89","70,952,527.89","18,287,467.17","39,122,835.28","59,456,592.82","82,253,931.39","21,881,462.35","51,628,365.14","76,396,262.00","107,414,464.54","35,172,752.62","88,013,083.41","129,186,568.20","194,050,614.02","16,913,715.73","35,273,583.89","52,827,960.37","66,706,656.27","13,424,058.06","37,740,350.88","58,042,268.23","82,286,835.73","12,564,294.15","41,732,413.33","47,986,057.37","58,640,898.94","12,639,355.85","25,877,402.84","39,980,971.65","60,059,998.87"
其中:非流动资产处置净损失,,"8,552.09",,,"266,615.25","266,730.25",,,,,,,,,,,,,,,,,"335,936.39",,,,"73,552,766.42",,,"2,916,999.27","2,340,717.38",,,,"23,471.93","1,364,346.86","1,849,959.32",,"2,958,652.69","4,099.54","4,099.54","4,099.54",
