科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"11,236,487.51","38,909,178.14","83,394,376.06","89,674,874.42","74,258,710.87","917,310,533.66","871,230,525.76","822,857,047.34","813,548,769.46","858,151,101.95","832,160,278.57","793,095,858.26","787,152,804.33","823,762,702.21","695,749,864.05","707,447,441.37","606,527,764.42","717,496,395.21","658,755,440.23","666,449,200.01","590,866,733.42","619,834,186.44","545,027,549.01","543,351,924.63","520,639,379.00","525,732,401.15","482,099,905.67","447,986,379.37","454,173,722.81","504,628,728.56","437,803,020.88","335,148,447.45","343,610,764.45","384,346,089.41","365,279,627.78"
短期借款,"10,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00",,,,,,,,,,"30,000.00",,,,"2,500,000.00","1,500,000.00","2,500,000.00","2,500,000.00","1,000,000.00","1,000,000.00",,,,,,"5,000,000.00","5,000,000.00","5,000,000.00",,"8,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,"1,049,970.00",,,,,,"1,936,160.00","2,230,000.00","1,580,000.00","2,471,420.46","4,626,831.19","3,477,870.00","7,514,682.43","6,794,776.64","10,343,125.45","7,980,835.00","15,387,692.40","10,061,198.30","21,958,884.25","22,709,234.87","23,448,747.94","24,454,239.60","36,779,508.93","31,433,576.69","36,642,373.98","27,452,407.81","15,581,136.21","12,147,988.24","16,697,931.31","12,918,137.03","19,729,821.22","14,100,078.02"
应付票据,,,,,,,,,,,,,,,,,,,,,"11,146,153.60","19,323,277.57","17,800,765.17","17,801,053.17","17,801,053.17",,,,,,,,,,
应收账款,"9,535,376.30","17,906,948.20","19,842,114.13","22,953,864.17","33,979,225.75","39,691,542.67","41,887,984.06","48,538,132.30","50,325,064.00","50,953,731.30","49,450,260.72","57,060,774.68","68,396,697.20","68,596,971.85","61,789,758.28","98,831,097.96","113,200,415.10","121,897,218.42","125,662,894.63","159,750,235.33","170,283,248.22","175,176,872.58","177,793,970.11","198,047,219.49","216,018,476.74","216,831,334.45","193,455,215.07","237,137,120.28","222,374,160.27","219,212,138.15","197,679,549.25","248,477,982.03","242,198,905.49","291,811,787.46","255,486,665.49"
应付账款,"6,488,645.24","23,911,698.86","17,039,025.78","23,615,672.24","18,895,636.33","31,261,560.95","17,322,317.61","29,515,052.66","38,293,333.27","39,996,815.17","20,260,519.07","44,787,567.58","52,012,569.70","52,664,225.84","20,871,585.20","88,973,631.15","101,877,221.58","68,832,868.28","52,964,172.75","74,123,202.51","52,598,027.70","79,314,686.43","75,984,142.71","88,914,674.63","103,315,379.22","84,934,386.96","82,162,191.19","114,889,666.24","135,261,264.41","134,125,150.64","128,714,735.54","154,391,688.41","162,895,647.11","138,507,570.70","122,079,036.88"
预付款项,"895,455.05","710,023.20","24,894,934.55","29,740,786.45","22,829,231.10","5,136,824.92","4,263,008.88","8,820,589.28","6,544,841.60","2,765,082.96","8,204,620.34","7,573,142.13","9,530,991.57","3,305,065.33","7,624,821.13","14,978,571.52","25,962,364.67","12,614,987.18","21,367,248.72","21,392,768.27","60,132,053.86","19,385,214.56","27,139,570.98","21,551,302.67","26,875,097.55","27,293,226.43","13,012,498.57","20,604,655.23","36,489,583.69","25,045,159.30","46,438,585.61","45,283,161.72","50,926,975.35","39,206,081.86","46,490,872.20"
预收款项,"5,808,265.91","19,957,472.91","21,024,473.48","12,295,941.27","6,123,485.99","3,094,784.64","5,965,738.43","6,876,888.25","11,338,996.39","10,394,469.28","16,688,601.84","26,588,925.24","29,122,529.97","23,874,396.85","29,752,416.24","44,698,917.34","56,940,437.19","37,749,894.88","53,860,559.19","60,648,661.92","52,895,630.64","47,301,450.65","54,541,923.53","48,250,993.45","48,217,319.66","63,000,323.89","53,542,235.71","67,040,165.14","63,517,050.69","77,264,630.75","88,511,565.13","98,170,477.81","102,178,039.05","97,848,963.54","112,703,810.03"
其他应收款,"17,447,571.47","5,939,293.14","2,454,929.60","2,728,862.01","3,020,958.07","3,787,667.42","7,723,579.58","4,457,922.77","4,149,906.72","3,136,702.88","3,164,092.86","3,260,999.60","3,910,717.85","3,993,404.53","6,732,954.16","8,726,247.55","10,114,349.30","7,064,998.63","15,357,138.33","16,809,793.70","16,225,741.30","11,277,929.29","17,801,404.15","13,439,362.05","13,740,888.76","9,951,698.62","8,497,385.31","9,717,658.67","15,078,879.58","7,881,632.76","18,573,009.80","11,321,681.83","12,122,162.66","4,824,830.06","12,351,496.74"
应付职工薪酬,"501,349.32","3,622,488.40","6,605,425.54","2,894,508.71","3,739,972.36","8,429,379.27","1,445,811.57","1,888,613.64","3,371,552.39","9,097,714.68","1,848,678.50","5,254,112.28","8,570,000.42","12,339,979.70","2,380,156.29","5,480,017.49","6,135,929.32","16,683,572.10","6,630,378.67","8,299,748.88","7,863,229.68","24,091,869.15","12,956,444.84","14,787,664.77","16,095,929.82","26,366,008.12","15,692,974.90","16,310,278.17","17,386,041.17","29,164,139.89","14,145,909.50","15,343,910.83","13,460,754.79","25,299,155.99","11,930,546.82"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"3,889,307.64","-69,229.21","7,351,647.08","6,210,118.92","3,541,649.87","13,229,386.06","-171,499.13","2,199,180.29","-266,687.83","12,010,928.01","-364,367.86","461,980.81","-428,812.89","19,061,914.37","80,551.88","4,604,672.67","3,404,475.47","27,463,594.76","17,524,371.48","9,835,284.48","9,737,752.96","11,316,118.17","1,927,531.40","15,526,219.50","16,897,844.03","24,803,946.65","15,851,644.46","23,366,155.69","19,366,703.83","8,400,443.01","9,676,821.56","14,729,543.27","9,412,787.40","15,813,410.25","7,652,633.34"
应收利息,,,,,,,,"8,820,819.44","12,947,202.78","18,448,273.40","11,670,169.04","15,046,161.10","18,497,186.04","23,139,233.32","6,677,316.66","2,454,300.36","6,204,109.52","8,125,900.00","12,692,322.11","16,150,930.82","19,468,450.72","22,100,756.58","26,249,338.20","29,855,555.14","20,217,021.82","21,515,477.84","23,582,846.05","25,984,889.15","542,572.36","788,606.54","893,189.80","1,071,256.98","1,445,871.30","2,541,175.64","3,608,676.54"
应付利息,"18,552.33","45,024.66","30,016.25","17,700.00",,"32,450.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,"9,000,000.00",,,,,,,,,,,,,,"497,670.90","497,670.90","497,670.90","497,670.90","351,562.52","912,673.99","896,295.90","896,295.90","896,295.90","1,008,434.25","1,005,241.36","1,005,241.36","1,005,241.36","1,005,241.36",,,,,,
存货,"1,744,248.21","40,072,784.65","44,308,390.50","44,349,293.20","41,251,647.90","45,730,739.71","42,546,545.90","46,945,743.62","67,176,574.14","58,323,820.15","55,609,874.42","83,106,478.31","100,164,138.18","84,479,794.29","88,594,791.50","117,772,043.09","159,912,294.31","107,414,106.75","127,215,989.95","142,680,306.18","153,653,019.51","173,120,972.38","201,971,585.74","187,585,416.76","209,315,822.27","171,130,556.96","200,432,939.13","227,642,365.17","273,538,956.81","234,079,649.76","247,698,160.57","229,530,668.14","246,292,892.82","198,329,684.82","220,086,727.22"
其他应付款,"1,512,518.60","634,023.47","144,700.33","152,498.19","81,320.93","3,401,496.31","20,000.00","892,003.72","2,171,180.70","35,022,874.73","2,239,873.61","3,603,045.17","3,331,771.90","109,233,695.95","12,122,133.04","8,204,146.89","8,332,372.05","14,277,955.13","6,257,900.75","7,473,422.72","4,814,103.92","7,449,072.95","6,070,327.35","5,706,927.05","6,475,062.00","6,165,353.88","5,946,751.83","6,950,329.55","8,714,990.10","8,791,088.46","8,665,817.07","5,381,775.55","4,762,183.92","18,282,458.28","7,181,279.72"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,120,085.57","27,407,349.45","26,382,846.55","33,103,686.93","36,576,030.32","36,576,030.32"
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产,,,,"496,504.04","403,504.04","1,617,116.88","1,310,883.74","692,088.50","923,078.00","974,708.92","1,067,940.22","1,329,460.61","2,061,424.00","1,087,917.19","1,122,942.75","1,118,126.65","1,390,075.97","1,246,929.96","1,457,047.90","1,457,047.90","1,924,238.45","2,446,095.20","2,154,082.58","2,096,139.09","2,035,744.22","6,579,581.29","4,306,891.21","4,743,325.77","5,073,475.34","12,422,649.04","20,365,952.48","31,500,975.34","35,339,922.80","25,894,781.72","25,023,362.19"
其他流动负债,"527,289.71","211,438.18",,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,152,638.02","5,769,692.90","8,667,888.23","9,637,540.64","14,381,465.81","14,555,719.68"
