科目,2009-12-31,2010-12-31,2011-12-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"9,929,020.98","149,831,400.55","33,587,788.24","40,921,205.43","588,843,102.41","446,760,883.37","244,236,359.51","207,673,230.19","437,916,924.55","346,757,812.97","369,058,886.82","282,317,340.95","67,605,153.87","85,395,600.30","98,647,223.25","57,018,627.84","163,714,102.23","246,235,056.32","57,042,194.37","47,941,926.90","11,915,209.24","24,978,743.50","14,768,469.07","61,382,185.55","23,732,277.62","31,712,607.07","22,949,451.95","78,740,098.89"
短期借款,,,,,,,,,,,,,,,"250,000,000.00","250,000,000.00","365,000,000.00","345,000,000.00","220,000,000.00","230,000,000.00","210,000,000.00","190,000,000.00","10,000,000.00",,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"200,000.00","1,561,318.00","10,919,600.61","12,433,300.03","6,276,906.95","6,044,762.66","5,683,902.89","12,422,601.77","7,389,085.37","12,401,251.97","3,302,317.52","6,210,472.62","6,873,006.60","8,032,276.56","540,000.00","3,854,470.60","4,995,541.62","28,015,013.48","8,250,686.14","1,842,294.60","3,071,494.44","3,200,234.10","4,045,873.44","5,509,746.00","4,079,498.46","16,753,891.73","7,697,011.17","7,662,476.50"
应付票据,,,,,,,,,,,,,"2,336,735.62","2,336,735.62","11,100,000.00","15,200,000.00","6,222,500.00","3,022,500.00",,"4,800,000.00",,"2,622,102.90","4,360,759.10","2,667,561.60","2,564,428.35","616,742.95","211,220.00",
应收账款,"4,211,995.52","2,592,977.96","3,183,988.44","5,685,195.66","4,968,027.53","2,825,971.84","6,230,775.95","12,404,783.96","6,704,101.50","1,065,386.93","1,764,847.72","6,653,683.45","2,816,508.24","3,107,975.11","4,640,086.84","15,390,457.53","11,458,161.90","27,619,328.04","22,876,576.20","20,677,221.95","28,403,347.29","26,063,021.11","36,567,485.46","38,667,804.79","55,396,095.11","67,003,406.74","70,940,600.55","49,667,029.14"
应付账款,"7,459,068.15","3,852,406.50","7,072,487.30","7,259,655.53","7,222,975.67","10,650,650.92","7,323,085.33","7,969,407.02","4,517,512.59","10,680,131.83","9,069,240.42","9,277,244.87","11,786,903.53","6,539,641.10","6,651,444.29","5,903,040.27","6,719,619.09","10,149,671.32","24,323,013.06","8,675,696.18","56,412,631.00","25,910,299.20","40,373,515.82","130,222,090.76","80,965,745.15","79,874,665.37","72,739,115.40","97,657,020.59"
预付款项,"3,425,196.09","14,779,235.84","34,830,257.57","37,828,930.44","42,364,748.86","22,853,628.49","28,549,780.53","28,846,206.93","29,422,809.60","48,699,625.68","51,227,104.40","56,960,406.75","48,395,437.38","79,990,249.09","97,900,556.42","97,577,516.33","100,721,822.73","105,746,662.09","132,142,302.47","100,425,341.57","101,754,301.35","19,739,246.91","22,951,111.68","15,289,718.16","17,451,753.59","2,267,993.12","9,769,578.33","7,238,192.16"
预收款项,"1,894,079.26","4,226,929.98","1,036,468.99","674,390.95","1,316,118.01","1,065,020.34","1,733,330.48","2,041,848.83","2,603,372.69","4,913,210.16","6,617,133.97","1,186,688.28","1,806,530.45","1,135,561.91","4,664,804.91","3,630,080.40","6,684,046.87","3,372,494.15","5,227,105.04","3,496,662.00","4,553,157.68","5,024,910.10","4,038,554.14","2,831,728.12","7,323,517.64","4,886,449.93","3,601,986.94","3,929,122.65"
其他应收款,"4,282,188.78","2,486,793.57","756,075.54","148,224.17","326,795.22","115,320.47","620,237.83","596,314.89","877,730.83","972,119.84","1,440,517.21","833,363.99","458,751.20","11,616,012.31","316,966,816.67","17,498,623.47","17,887,267.95","16,690,538.35","17,176,053.14","21,028,978.77","22,309,375.35","18,655,131.64","14,446,792.37","14,270,650.72","19,098,001.66","151,407,792.72","151,025,138.18","43,576,462.91"
应付职工薪酬,"953,725.02","726,120.49","1,996,102.17","1,125,003.40","1,215,561.22","2,906,809.64","1,434,684.96","1,376,183.40","1,489,294.63","3,374,878.99","1,573,361.12","1,699,530.42","1,773,925.24","3,610,107.92","1,744,283.63","2,102,557.15","2,196,055.69","4,522,620.79","2,534,140.29","2,607,490.57","2,613,578.08","4,773,461.58","2,629,356.36","2,671,232.36","2,733,321.14","5,163,202.90","2,614,418.79","2,436,864.49"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"4,547,063.18","4,536,970.37","3,996,841.15","8,585,521.84","6,297,495.50","6,658,284.79","2,300,949.21","7,266,479.61","4,137,781.53","8,315,601.22","-59,524.94","6,881,598.24","3,218,620.89","7,189,968.59","244,888.15","5,852,713.99","3,780,650.96","11,939,558.31","-2,299,122.75","-6,262,911.06","-6,840,846.85","4,457,768.49","1,617,558.66","2,942,267.08","6,492,268.98","8,804,991.54","3,565,615.79","3,488,330.91"
应收利息,,,,"77,500.00","1,686,224.67","4,295,988.87","4,509,511.10","5,940,000.00","932,094.17","2,646,590.83","4,323,815.84","6,019,676.68",,,,,,,,,,,,,,,"87,821.91",
