科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"394,417,819.49","629,741,033.31","707,312,018.14","294,297,912.78","437,518,832.21","708,785,513.27","127,840,947.99","405,793,973.91","689,170,931.82","940,868,779.12","205,091,632.63","519,633,517.92","812,961,621.14","1,195,119,304.25","246,635,598.87","591,267,795.42","931,402,312.33","1,370,675,907.28","274,319,437.66","659,912,889.56","974,332,900.46","1,396,890,929.44","215,581,963.35","652,534,177.56","966,923,077.86","1,476,758,680.01","353,938,627.27","899,471,224.56","1,307,962,446.37","1,912,255,950.27"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,"730,000,000.00",,"20,000,000.00","220,000,000.00","5,000,000.00","306,605,676.96","388,397,201.96","469,167,201.96",,,,"2,872,076.87","206,253,481.49","9,277,250.00","40,818.75","40,818.75",,"22,000,000.00","90,755,264.71","90,755,264.71","194,953,783.08"
收到其他与经营活动有关的现金,"30,822,238.68","126,111,582.99","120,013,586.65","48,401,905.75","92,786,735.93","105,384,314.61","62,456,905.26","87,782,635.47","111,605,649.26","164,613,886.36","27,186,540.10","87,147,558.90","131,148,219.10","180,796,708.74","27,262,651.00","86,684,019.17","98,209,750.58","111,705,495.01","23,473,518.45","40,589,009.82","153,371,302.51","76,402,592.29","1,675,171.71","92,895,160.63","112,268,002.42","185,023,495.64","33,144,489.72","175,492,415.43","665,833,756.57","309,985,499.39"
投资活动现金流出小计,"37,379,445.56","41,508,296.40","80,947,525.92","51,419,002.75","72,808,298.83","117,722,297.87","18,603,112.62","133,585,538.56","168,632,008.57","1,053,803,027.31","27,940,307.75","76,565,088.66","740,236,442.66","833,980,758.47","521,031,471.72","974,156,036.50","1,778,047,081.00","2,069,861,609.02","346,601,625.73","789,662,698.19","1,101,154,890.13","1,739,994,714.97","70,832,920.81","100,365,109.94","306,149,034.22","539,935,130.65","438,841,256.07","721,370,369.84","1,161,170,893.37","2,368,984,482.68"
经营活动现金流入小计,"425,240,058.17","755,852,616.30","827,325,604.79","342,699,818.53","530,305,568.14","814,169,827.88","190,297,853.25","493,576,609.38","800,776,581.08","1,105,482,665.48","232,278,172.73","606,781,076.82","944,109,840.24","1,375,916,012.99","273,898,249.87","677,951,814.59","1,029,612,062.91","1,482,381,402.29","297,792,956.11","700,501,899.38","1,127,704,202.97","1,473,293,521.73","217,257,135.06","745,429,338.19","1,079,191,080.28","1,661,782,175.65","387,083,116.99","1,074,963,639.99","1,973,796,202.94","2,222,241,449.66"
投资活动产生的现金流量净额,"-37,340,645.56","-41,070,685.54","-80,413,962.80","-51,252,554.30","-72,641,850.38","-117,637,097.87","-18,538,112.62","-133,048,316.34","-116,924,664.14","-948,207,339.86","131,164,692.25","11,897,421.52","-516,068,035.85","-577,284,144.36","52,294,005.43","252,533,516.96","-50,221,521.45","-273,573,762.43","407,805,520.84","347,987,003.47","360,409,322.30","-209,388,045.07","48,245,161.38","181,875,685.17","28,715,454.02","13,370,075.56","220,653,240.57","126,240,161.44","-204,943,500.47","-229,825,991.43"
购买商品、接受劳务支付的现金,"173,071,367.44","199,576,622.84","225,787,207.18","114,979,849.89","184,973,510.71","270,006,254.60","48,875,546.09","169,981,211.75","264,097,623.30","279,087,631.99","67,219,359.92","138,480,582.14","222,908,484.23","320,007,900.87","94,341,283.40","192,603,887.91","290,593,458.81","392,228,341.56","116,169,598.48","211,003,147.00","312,395,327.64","385,659,280.96","90,121,974.43","213,765,201.31","349,565,863.32","419,720,384.65","219,864,576.15","532,387,779.75","784,488,812.35","830,604,027.04"
吸收投资收到的现金,,"4,000,000.00","57,500,000.00",,,,"746,000,000.00","744,403,500.00","744,403,500.00","737,044,000.00",,,,,,,,,,,,,,,66.71,"81,197.99","86,716.46","86,716.46","86,716.46","92,364.76"
