科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"364,808,996.98","419,417,368.76","531,112,948.26","303,627,811.32","455,587,304.75","634,446,370.19","160,739,541.84","337,396,265.95","496,378,917.60","706,624,840.99","192,956,429.56","390,063,047.50","580,281,000.73","800,512,601.38","246,673,929.06","449,549,808.30","647,102,598.15","912,968,934.13","288,691,047.35"
二、营业利润,"45,720,283.56","51,905,225.27","44,125,187.47","28,714,483.46","41,165,663.96","51,309,525.07","14,852,118.13","27,816,387.25","38,722,146.44","56,046,907.47","17,682,825.44","30,339,741.02","47,044,408.58","65,162,288.11","23,808,219.01","39,104,707.65","46,041,856.77","81,835,021.50","27,122,751.47"
减:营业成本,"276,354,575.27","306,620,189.78","410,828,094.38","231,442,200.38","346,645,118.49","490,552,357.89","119,891,509.58","261,925,209.33","384,187,225.30","545,895,236.10","145,967,556.84","298,381,463.03","444,665,744.88","602,214,470.63","191,092,615.23","341,665,914.36","493,814,951.79","679,541,144.78","209,075,157.79"
加:补贴收入,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,082,592.66","1,149,969.66","1,502,051.18","923,711.23","1,338,328.17","1,944,523.62","556,096.72","1,000,539.72","1,797,224.19","2,822,023.40","639,910.84","1,642,439.22","2,446,707.97","4,416,072.06","1,700,496.81","3,037,260.02","4,865,194.16","5,854,766.93","1,325,829.86"
营业外收入,"4,232,847.29","8,603,501.81","2,587,098.16","1,075,921.91","1,767,766.59","3,376,921.92","536,704.29","1,178,909.67","1,547,862.53","3,242,342.11","2,027,892.73","2,535,864.71","3,582,097.22","8,597,819.54","861,190.30","3,544,553.85","4,596,667.84","7,093,402.95","182,769.34"
销售费用,"10,791,090.02","14,717,093.46","14,920,001.68","6,629,820.64","9,854,512.41","13,706,310.96","3,290,678.66","8,120,391.60","12,032,524.67","16,808,717.99","5,791,473.74","9,321,181.85","12,467,143.16","18,897,229.69","5,903,866.46","11,621,689.16","20,262,880.78","22,424,676.84","9,276,732.46"
减:营业外支出,"226,534.45","282,911.75","38,205.70","399,546.08","405,753.00","302,540.22","267,285.69","126,196.36","170,876.71","517,018.80","517,831.68","1,542,305.03","2,600,705.54","7,771,085.10","1,426,903.51","1,451,562.91","1,586,868.66","1,956,284.64","75,797.37"
管理费用,"21,910,091.73","31,129,067.15","40,505,186.38","24,934,390.94","40,728,668.55","54,746,062.22","17,570,321.17","28,284,857.68","44,123,337.93","61,330,777.88","21,466,846.28","43,924,255.30","65,406,905.91","96,962,431.29","24,866,091.60","52,569,021.63","80,257,414.23","122,661,846.54","35,331,612.05"
其中:非流动资产处置净损失,"80,084.22","249,098.10","10,964.55",,,,,,,"450,147.41",,,,"7,423,269.70","1,283,644.09","966,287.05",,,
堪探费用,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,
财务费用,"7,719,209.67","13,631,815.56","15,857,776.13","10,316,880.42","15,405,327.14","21,525,243.28","4,625,286.45","10,426,305.82","15,524,696.49","19,870,338.06","3,079,554.23","6,671,215.89","8,435,057.39","10,501,196.33","1,245,351.72","4,080,917.60","7,042,798.80","11,679,741.65","6,021,345.35"
三、利润总额,"49,726,596.40","60,225,815.33","46,674,079.93","29,390,859.29","42,527,677.55","54,383,906.77","15,121,536.73","28,869,100.56","40,099,132.26","58,772,230.78","19,192,886.49","31,333,300.70","48,025,800.26","65,989,022.55","23,242,505.80","41,197,698.59","49,051,655.95","86,972,139.81","27,229,723.44"
资产减值损失,"1,231,154.07","264,007.88","3,374,651.04","666,324.25","702,159.56","1,510,838.81",,"-130,956.58","38,231.45","3,897,308.96","-1,671,737.81","-217,248.81","-184,967.16","4,546,748.89","-273,191.23","1,106,695.14","1,291,474.21","2,628,301.21","3,230,951.36"
减:所得税,"7,380,915.91","11,219,132.33","5,230,206.14","5,900,025.60","9,304,053.74","8,954,119.68","3,333,733.39","5,301,530.80","7,640,138.58","10,718,206.78","3,246,142.27","4,803,334.05","8,860,761.34","9,018,520.86","3,967,545.19","7,722,504.24","9,030,238.90","13,652,148.73","4,013,258.62"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,0.01,,,,,,,,,,,,,,,
投资收益,,,,,"252,473.53","848,491.66","46,468.87","46,468.87","46,468.87","46,468.87",,,,"2,187,835.62","1,669,520.54","3,636,397.26","6,473,972.59","9,919,668.81","1,839,082.99"
