科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"84,532,026.78","31,623,800.30","19,424,303.06","30,658,653.48","592,371,780.27","553,658,118.09","545,865,099.73","522,022,531.16","489,905,601.06","440,089,682.06","440,251,460.65","433,377,163.82","429,152,224.52","384,403,596.97","376,765,732.02","339,213,494.30","330,627,262.17","330,951,703.22","338,678,184.82","331,808,328.46","62,089,964.56","34,690,290.68","117,901,046.63","66,541,394.80","176,087,515.88","97,047,462.28","122,090,917.26","47,208,521.76","921,863,088.69","795,726,293.49","754,637,771.04","656,102,697.05","896,476,625.04","650,590,414.51","654,688,978.80","493,040,989.19","475,024,279.94"
短期借款,,,,,,,,,,,,,,,,,,"70,437,200.00","96,578,690.00","122,136,210.00","63,212,565.76","89,471,462.34","102,719,653.00","123,114,001.94","103,799,680.00","55,979,440.00","49,311,640.00","50,951,840.00","51,256,250.00","195,811,200.00","140,290,560.00","141,544,320.00","148,792,320.00","70,000,000.00","70,000,000.00","70,000,000.00","150,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"47,134.26","37,024,653.68","35,359,475.10","29,843,769.14","49,241.02","48,871.58","48,467.57","1,638,961.49"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,661,192.66","4,661,192.66","-506,992.68"
应收票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付票据,,,"8,102,177.07","32,746,901.27","16,090,525.04","6,064,613.93",,,,,,,,,,,,,,,,,"20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00",,,,,,,,,,,
应收账款,"15,703,032.35","26,816,711.04","59,183,714.10","41,577,521.13","49,809,703.16","59,321,265.34","66,773,875.68","53,129,477.24","72,353,904.28","75,002,672.65","74,230,742.54","77,205,242.78","93,981,633.23","86,523,441.84","105,066,712.68","99,400,890.34","121,499,192.80","132,995,822.51","107,689,757.76","108,914,761.42","112,567,569.16","135,574,629.17","83,580,679.39","114,835,387.26","118,472,485.02","110,731,212.49","81,408,498.56","97,233,420.32","85,392,471.40","144,080,988.25","101,680,114.90","117,802,532.29","97,339,934.66","88,266,406.98","103,960,558.94","94,465,792.17","87,488,284.41"
应付账款,"23,822,645.39","55,211,655.46","34,400,996.54","23,552,052.56","31,308,939.84","32,992,732.82","27,670,457.01","17,209,689.55","42,070,881.23","50,016,583.57","41,663,036.64","27,793,041.63","31,490,515.43","41,738,804.35","38,525,379.92","21,958,868.67","49,956,737.13","36,944,452.12","55,344,166.79","51,696,355.42","58,332,547.07","62,350,960.72","58,835,130.95","52,023,912.19","50,915,091.97","44,356,264.26","32,954,910.29","43,163,329.85","32,216,884.06","32,611,655.87","32,447,442.13","57,893,642.71","49,823,148.50","42,948,703.10","51,920,990.95","47,958,818.79","50,061,002.72"
预付款项,"1,070,828.37","2,858,427.22","2,413,320.48","6,915,475.74","8,789,797.12","3,075,834.68","5,490,723.33","6,279,044.23","12,192,198.74","12,562,661.35","9,818,698.88","13,622,711.14","15,650,090.02","15,018,995.18","4,695,833.17","8,847,817.05","18,204,441.25","15,330,584.25","15,870,085.77","45,857,024.11","26,162,580.52","13,134,259.19","15,601,898.09","19,535,425.36","18,944,939.83","11,226,201.50","6,746,467.34","7,975,485.54","4,740,192.02","13,560,516.90","16,176,780.02","17,696,258.40","22,233,956.03","27,488,871.91","8,752,470.54","8,358,154.27","17,903,714.02"
预收款项,"2,083,507.42","2,599,999.24","3,056,130.36",,"6,290,121.99","5,493,391.23","2,274,694.06","2,274,694.06","6,689,781.75","3,915,383.71","4,724,963.52","4,729,694.24","12,822,579.86","4,722,963.52","6,060,939.79","6,055,033.20","5,716,666.46","5,916,187.57","10,956,981.99","10,946,524.04","10,939,513.42","10,939,513.42","7,972,841.12","6,159,494.53","7,314,810.82","7,205,767.75","8,955,515.38","8,469,775.47","15,900,473.78","3,816,732.05","8,926,099.02","9,187,369.40","9,596,456.75","8,638,587.65","14,404,549.13","15,210,884.96","17,610,586.86"
