科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"417,678,095.80","389,841,242.11","608,757,210.07","253,817,151.22","576,985,112.02","69,965,204.11","156,731,455.80","259,529,584.18","457,790,188.28","61,103,728.85","153,284,579.44","204,840,701.08","404,272,059.22","68,112,670.97","161,132,665.97","229,403,356.24","400,119,624.24"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,
收到的税费返还,"10,347,443.12","11,144,819.27","15,535,637.31","14,531,139.29","20,086,147.76","2,715,318.79","4,641,133.41","11,631,893.68","12,444,716.94","2,723,779.18","3,418,287.00","8,847,299.94","17,027,504.56","1,701,426.16","4,265,489.72","6,277,888.30","9,230,902.23"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"6,014,082.95","18,184,686.19","12,252,234.06","22,815,687.33","19,681,552.82","1,812,654.11","1,401,435.47","6,925,645.35","36,050,032.53","1,905,962.08","10,375,082.64","12,527,403.11","12,859,821.36","3,023,662.19","6,142,445.86","17,018,346.64","13,568,956.36"
投资活动现金流出小计,"40,318,424.31","146,972,517.67","78,051,836.30","19,861,718.58","33,629,246.05","5,107,946.98","11,747,631.19","31,409,863.84","68,310,701.82","14,618,836.45","23,994,639.10","42,538,258.15","82,824,959.61","4,798,136.14","17,478,507.48","17,196,952.91","51,138,004.51"
经营活动现金流入小计,"434,039,621.87","419,170,747.57","636,545,081.44","291,163,977.84","616,752,812.60","74,493,177.01","162,774,024.68","278,087,123.21","506,284,937.75","65,733,470.11","167,077,949.08","226,215,404.13","434,159,385.14","72,837,759.32","171,540,601.55","252,699,591.18","422,919,482.83"
投资活动产生的现金流量净额,"-40,144,424.31","-146,870,047.49","-77,408,296.28","-19,383,043.24","-33,107,397.36","-5,107,946.98","-11,568,631.19","-29,694,530.10","-66,208,614.57","-14,618,836.45","-23,994,639.10","-41,738,258.15","-81,049,775.93","36,591,863.86","24,405,282.78","24,724,637.35","-8,708,602.31"
购买商品、接受劳务支付的现金,"168,101,638.24","231,710,858.54","256,539,623.36","203,908,872.10","324,821,278.18","39,116,017.87","106,249,115.20","167,647,489.57","287,074,984.14","57,582,654.68","126,506,467.04","174,807,251.21","237,994,012.24","71,256,849.65","155,398,281.45","213,272,446.11","317,841,810.22"
吸收投资收到的现金,"350,000.00",,,,,,"351,787,499.64","351,787,499.64","351,787,499.64",,,,,,"1,500,000.00","13,940,810.00","13,940,810.00"
