科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"156,699,461.62","196,362,358.33","233,525,139.63","173,107,199.15","272,067,647.96","54,346,142.31","126,194,670.87","191,730,534.06","307,692,862.76","59,198,926.90","135,327,558.25","211,915,964.99","347,707,405.98","62,178,227.79","161,628,445.69","234,711,533.91","453,502,653.48","94,888,617.66","203,073,879.05","378,006,733.61","568,632,480.85","100,118,650.54"
取得子公司及其他营业单位支付的现金净额,,,,,,,,"5,100,000.00",,,,,,,,,,,,,,
收到的税费返还,,470.92,"2,448.38",,,,,,,,,,,,,,,469.82,469.82,469.82,"5,170,871.71","234,185.93"
支付其他与投资活动有关的现金,,,,,,,,,"440,000.00",,,,,,,,,,,,"20,000,000.00",
收到其他与经营活动有关的现金,"12,284,343.94","9,601,243.01","8,719,112.88","1,983,210.92","5,573,441.38","2,364,197.02","7,833,298.63","9,283,423.87","14,981,841.69","1,336,100.91","3,917,891.70","6,380,383.20","16,351,316.00","3,039,324.44","5,345,530.24","7,829,483.91","18,098,103.76","10,778,603.92","11,573,400.31","13,574,551.80","28,512,327.02","9,703,109.09"
投资活动现金流出小计,"35,069,944.49","61,210,753.25","21,216,298.69","40,662,562.71","50,547,124.75","14,429,960.47","36,946,235.04","59,293,607.01","65,879,410.53","9,482,342.03","43,395,356.71","42,350,213.80","65,427,825.96","30,734,490.80","45,131,765.49","84,204,514.42","175,964,595.61","16,840,615.66","49,151,206.77","123,585,974.22","142,287,472.35","22,531,049.69"
经营活动现金流入小计,"168,983,805.56","205,964,072.26","242,246,700.89","175,090,410.07","277,641,089.34","56,710,339.33","134,027,969.50","201,013,957.93","322,674,704.45","60,535,027.81","139,245,449.95","218,296,348.19","364,058,721.98","65,217,552.23","166,973,975.93","242,541,017.82","471,600,757.24","105,667,691.40","214,647,749.18","391,581,755.23","602,315,679.58","110,055,945.56"
投资活动产生的现金流量净额,"-19,306,473.85","-61,210,753.25","-16,176,298.69","-40,662,562.71","-50,547,124.75","-14,407,420.47","-36,923,695.04","-54,097,534.07","-65,775,766.72","-9,477,679.89","-43,390,694.57","-42,345,551.66","-65,406,069.80","-30,727,225.85","-45,124,500.54","-75,150,036.65","-166,884,529.05","-14,001,883.89","-49,098,275.00","-123,522,042.45","-132,179,281.68","-22,481,734.62"
购买商品、接受劳务支付的现金,"99,377,882.04","106,956,115.84","112,676,455.54","104,101,909.38","127,379,225.74","43,029,044.77","75,122,781.70","140,624,395.64","184,567,230.56","37,840,381.89","90,960,522.93","132,947,591.97","167,406,913.05","52,979,814.92","114,709,713.71","149,453,254.22","213,103,068.58","62,127,915.30","122,499,711.11","198,422,602.89","272,119,777.60","98,951,044.12"
吸收投资收到的现金,"44,650,000.00","2,395,000.00","1,600,000.00","350,000.00","350,000.00","144,869,600.00","146,647,578.00","147,319,600.00","147,319,600.00","490,000.00","1,570,000.00","2,404,000.00","7,304,000.00","15,616,666.67","18,564,666.67","18,564,666.67","18,564,666.67",,"213,619,838.04","213,919,838.04","221,823,309.81",
支付给职工以及为职工支付的现金,"20,626,886.91","28,838,040.89","34,216,876.12","30,478,928.08","40,892,100.48","14,706,296.25","26,326,050.15","38,387,940.45","51,849,126.48","26,661,821.47","40,174,101.26","56,618,294.87","72,203,024.97","31,580,809.31","50,244,338.31","71,399,421.09","92,199,427.60","42,265,283.69","65,375,329.47","88,628,394.71","120,038,823.90","45,835,445.80"
取得借款收到的现金,"39,500,000.00","50,500,000.00","68,000,000.00","28,000,000.00","51,000,000.00",,,,"3,000,000.00",,"40,000,000.00","70,000,000.00","73,000,000.00",,"95,000,000.00","165,000,000.00","193,000,000.00","48,000,000.00","166,763,952.00","215,753,024.00","263,689,688.00","30,030,132.00"
支付的各项税费,"24,210,307.35","20,330,627.97","24,256,334.48","23,771,039.14","29,264,816.08","12,215,631.10","15,093,664.08","22,923,399.28","28,261,141.43","16,429,790.23","18,068,647.30","22,372,282.64","31,085,654.58","14,087,453.54","20,048,745.98","26,604,090.70","42,266,316.06","19,050,331.91","23,209,792.91","28,564,779.71","47,033,785.11","15,825,436.01"
收到其他与筹资活动有关的现金,,,"500,000.00",,,"4,439,782.52","4,439,782.52","4,439,782.52","4,439,782.52",,,,,,,,,,,,,
支付其他与经营活动有关的现金,"21,325,347.85","25,985,509.80","28,336,459.50","25,901,107.35","36,437,369.25","6,975,858.53","20,932,261.17","34,891,016.19","48,660,508.82","10,101,117.48","22,135,698.57","37,747,718.68","59,029,034.73","15,257,767.34","31,827,556.35","37,601,608.21","66,147,297.84","26,394,032.69","34,438,349.90","46,663,270.99","85,647,484.32","25,413,820.42"
筹资活动现金流入小计,"84,150,000.00","52,895,000.00","70,100,000.00","28,350,000.00","51,350,000.00","149,309,382.52","151,087,360.52","151,759,382.52","154,759,382.52","490,000.00","41,570,000.00","72,404,000.00","80,304,000.00","15,616,666.67","113,564,666.67","183,564,666.67","211,564,666.67","48,000,000.00","380,383,790.04","429,672,862.04","485,512,997.81","30,030,132.00"
经营活动现金流出小计,"165,540,424.15","182,110,294.50","199,486,125.64","184,252,983.95","233,973,511.55","76,926,830.65","137,474,757.10","236,826,751.56","313,338,007.29","91,033,111.07","171,338,970.06","249,685,888.16","329,724,627.33","113,905,845.11","216,830,354.35","285,058,374.22","413,716,110.08","149,837,563.59","245,523,183.39","362,279,048.30","524,839,870.93","186,025,746.35"
偿还债务支付的现金,"30,000,000.00","39,500,000.00","70,500,000.00","18,500,000.00","43,500,000.00","5,000,000.00","55,500,000.00","55,500,000.00","55,500,000.00",,,,"6,000,000.00",,"50,000,000.00","80,000,000.00","80,000,000.00","30,000,000.00","133,000,000.00","183,000,000.00","184,982,157.60","2,789,200.40"
经营活动产生的现金流量净额,"3,443,381.41","23,853,777.76","42,760,575.25","-9,162,573.88","43,667,577.79","-20,216,491.32","-3,446,787.60","-35,812,793.63","9,336,697.16","-30,498,083.26","-32,093,520.11","-31,389,539.97","34,334,094.65","-48,688,292.88","-49,856,378.42","-42,517,356.40","57,884,647.16","-44,169,872.19","-30,875,434.21","29,302,706.93","77,475,808.65","-75,969,800.79"
分配股利、利润或偿还利息支付的现金,"2,066,964.97","2,787,917.68","2,615,296.01","2,174,953.32","2,768,786.64","663,145.82","13,840,281.92","14,300,281.92","14,180,656.91","38,642.50","12,711,827.08","13,196,091.64","13,906,095.43","712,312.50","14,537,392.16","15,813,102.14","17,569,438.80","2,175,324.95","18,015,946.40","21,442,546.97","23,717,101.42","4,753,129.35"
收回投资收到的现金,"15,019,809.74",,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,"1,200,000.00","600,000.00","2,003,607.65","60,265.60","2,418,134.40",,,,"470,128.17",,,,,,,,,,,,"4,341,861.56","55,501,336.25"
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,"42,958.90","49,315.07"
筹资活动现金流出小计,"33,266,964.97","42,887,917.68","75,118,903.66","20,735,218.92","48,686,921.04","5,663,145.82","69,340,281.92","69,800,281.92","70,150,785.08","38,642.50","12,711,827.08","13,196,091.64","19,906,095.43","712,312.50","64,537,392.16","95,813,102.14","97,569,438.80","32,175,324.95","151,015,946.40","204,442,546.97","213,041,120.58","63,043,666.00"
