科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"132,805,910.24","237,073,261.09","178,009,361.40","223,724,725.00","345,390,858.64","64,892,392.76","133,339,215.02","239,482,730.95","462,161,103.40","67,143,021.48","162,867,367.57","257,482,952.90","482,520,854.98","83,546,189.06","197,857,599.11","348,482,009.07","681,969,347.02","144,620,394.18","350,156,846.78","671,868,721.51","1,133,519,634.65","266,382,950.18","577,398,435.89","957,974,828.69","1,566,313,822.98","349,991,899.88","769,354,681.49","1,209,732,714.77","2,693,558,423.13","684,958,695.11","1,077,738,013.75","2,301,381,057.20","3,847,110,264.78","1,199,670,528.14","1,437,634,325.04","2,803,336,490.12","4,804,347,878.02","1,029,659,453.30","2,463,529,603.51"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,"31,304,974.12",,,,,,,,,"37,512,000.00",,,"49,012,000.00",,,,"67,650,000.00",,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,"3,323,859.92","3,364,038.28","3,482,207.79","3,311,279.73","54,095.50","2,066,984.24","4,022,873.77","2,842,584.21","81,810.26","3,159,957.78","3,505,246.08","7,599,959.53","1,344,308.31","1,347,926.02","3,332,592.74","12,349,829.76","1,482,863.87","2,356,363.96"
支付其他与投资活动有关的现金,,,,,,,,,,,,,"280,000.00",,,,,,,,,,,,,"15,000,000.00","15,000,000.00","11,907,320.76","30,000,000.00",,,,,,,,"295,726,680.30",,
收到其他与经营活动有关的现金,"610,035.47","427,745.23","5,154,135.64","5,365,616.84","5,576,397.93","2,594,303.94","7,942,379.76","13,811,983.26","17,006,095.66","4,930,751.38","15,078,415.48","27,586,246.96","16,607,131.62","6,000,607.50","8,810,376.02","10,237,559.47","23,860,031.08","4,967,525.54","77,379,143.30","52,441,149.83","102,628,132.27","11,821,652.70","27,887,995.74","36,885,195.89","36,159,842.89","12,243,905.00","92,433,797.31","11,733,637.61","67,578,491.42","14,727,786.53","96,224,069.42","87,309,061.84","89,437,538.61","19,068,500.48","131,887,849.28","102,657,774.74","253,903,515.50","24,535,635.51","159,256,001.06"
投资活动现金流出小计,"1,796,922.94","1,624,740.30","53,623,401.97","54,545,440.85","56,141,135.12","1,561,241.86","50,021,859.26","75,995,229.27","116,299,423.76","35,567,656.61","73,478,382.14","112,661,684.88","159,624,382.57","19,141,043.11","28,456,573.09","41,912,828.96","44,203,038.68","11,140,267.63","25,965,335.21","114,352,004.75","124,374,326.78","104,687,278.03","161,306,110.69","259,202,187.06","253,951,696.69","69,701,809.53","112,289,725.97","173,146,489.70","356,582,856.22","53,924,860.57","307,118,814.03","444,320,511.57","1,063,256,772.86","260,381,147.44","525,158,943.20","834,692,621.80","1,655,529,195.23","19,932,817.15","891,876,076.45"
经营活动现金流入小计,"133,415,945.71","237,501,006.32","183,163,497.04","229,090,341.84","350,967,256.57","67,486,696.70","141,281,594.78","253,294,714.21","479,167,199.06","72,073,772.86","177,945,783.05","285,069,199.86","499,127,986.60","89,546,796.56","206,667,975.13","358,719,568.54","705,829,378.10","149,587,919.72","427,535,990.08","724,309,871.34","1,236,147,766.92","281,528,462.80","608,650,469.91","998,342,232.37","1,605,784,945.60","362,289,900.38","863,855,463.04","1,225,489,226.15","2,763,979,498.76","699,768,291.90","1,177,122,040.95","2,392,195,365.12","3,944,147,762.92","1,220,083,336.93","1,570,870,100.34","2,909,326,857.60","5,070,601,223.28","1,055,677,952.68","2,625,141,968.53"
投资活动产生的现金流量净额,"-1,756,922.94","-1,624,740.30","-53,423,001.97","-54,345,040.85","-55,940,735.12","-1,561,241.86","-50,021,859.26","-75,995,229.27","-116,299,423.76","-35,567,656.61","-73,478,382.14","-112,661,684.88","-159,541,282.57","-19,141,043.11","-28,456,573.09","-41,912,828.96","-44,194,892.53","-11,209,567.63","10,718,422.22","-64,596,303.43","-85,862,309.27","-104,687,278.03","-158,306,110.69","-256,194,187.06","-253,203,579.57","-69,701,009.53","-92,909,041.12","-172,938,139.70","-272,506,162.00","-53,635,612.57","-305,595,246.92","-442,942,945.14","-1,059,996,147.35","-259,122,361.39","-517,476,537.94","-827,539,736.30","-1,632,227,024.93","277,621,274.45","-590,744,802.65"
购买商品、接受劳务支付的现金,"96,706,762.95","182,003,338.70","127,364,406.23","181,252,338.15","257,642,978.09","61,450,370.25","140,654,782.53","237,027,939.97","384,499,985.12","69,007,882.10","152,913,890.71","235,113,191.98","374,597,416.85","83,451,113.18","182,283,036.50","276,627,275.45","529,659,345.41","123,833,530.84","333,291,964.71","560,967,485.50","859,954,483.74","250,310,491.05","458,227,796.51","705,427,559.22","1,059,646,183.96","275,782,022.27","666,453,692.14","954,337,065.63","1,682,715,460.24","595,600,960.15","1,000,027,173.85","1,644,366,372.60","2,230,825,037.29","1,069,824,472.31","1,857,031,541.29","2,755,446,514.08","3,387,202,316.09","776,569,790.82","2,083,149,282.98"
吸收投资收到的现金,,,"26,500,000.00","812,180,000.00","812,180,000.00",,,,,,,,,,,,,,"4,991,859.56","4,991,859.56","4,991,859.56",,,,,"5,744,000.00","72,841,000.00","147,068,934.00","326,463,923.10","7,166,666.66","15,301,852.30","66,759,656.22","100,585,166.66","1,618,100.00","29,048,033.66","111,748,269.47","417,279,500.00","24,161,600.00","31,532,888.55"
