科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"179,310,524.75","204,782,159.61","222,024,165.58","27,828,046.49","112,686,406.56","163,949,805.03","235,661,550.05","46,659,083.21","115,463,750.34","170,502,937.77","259,380,214.88"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,
收到的税费返还,"376,201.15","106,023.48","39,158.52",,,,,,,,"339,587.99"
支付其他与投资活动有关的现金,,,,,,,,,,"4,891,845.24","2,000,000.00"
收到其他与经营活动有关的现金,"4,548,775.80","4,449,805.46","4,068,392.56","4,024,716.04","1,581,852.95","3,554,118.95","3,122,213.60","3,985,323.12","1,991,823.37","3,267,068.84","8,872,698.04"
投资活动现金流出小计,"6,433,432.24","12,179,546.90","132,800,855.25","11,683,479.23","23,250,670.16","268,535,463.66","339,962,173.25","112,184,122.75","380,640,815.89","712,090,316.92","710,655,769.46"
经营活动现金流入小计,"184,235,501.70","209,337,988.55","226,131,716.66","31,852,762.53","114,268,259.51","167,503,923.98","238,783,763.65","50,644,406.33","117,455,573.71","173,770,006.61","268,592,500.91"
投资活动产生的现金流量净额,"-6,397,878.39","-12,154,546.90","-10,837,759.97","-11,683,479.23","-14,171,039.81","-257,605,506.25","-255,311,223.94","60,886,110.50","44,243,005.82","42,228,735.34","55,067,426.46"
购买商品、接受劳务支付的现金,"76,332,978.72","95,969,403.78","61,151,443.16","7,881,895.72","30,655,410.30","49,885,075.17","80,537,453.92","20,831,103.10","53,354,897.41","77,838,226.96","124,894,986.48"
吸收投资收到的现金,"800,000.00",,,,,"257,806,600.00","250,790,000.00",,,,
支付给职工以及为职工支付的现金,"38,817,768.50","39,055,397.16","38,770,772.12","10,029,341.80","23,320,335.50","32,811,244.63","44,314,372.72","12,378,767.50","26,827,741.05","40,007,151.81","52,130,696.78"
取得借款收到的现金,"96,548,188.63","71,400,000.00","25,000,000.00","5,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00",,,,
支付的各项税费,"27,205,885.63","23,295,673.21","24,076,562.10","5,465,553.10","13,895,996.59","23,277,099.78","26,928,459.90","5,255,997.57","19,642,256.49","26,175,324.61","37,098,892.95"
收到其他与筹资活动有关的现金,"2,302,962.39","3,607,486.10","3,000,000.00",,"754,231.90","754,231.90","9,270,188.48",,"15,109,512.49","16,531,340.44",
支付其他与经营活动有关的现金,"29,320,323.47","31,670,426.11","33,407,916.82","7,971,557.68","18,888,370.98","28,900,106.28","38,400,605.60","11,858,946.35","19,365,873.43","30,276,227.08","39,457,146.01"
筹资活动现金流入小计,"99,651,151.02","75,007,486.10","28,000,000.00","5,000,000.00","10,754,231.90","268,560,831.90","270,060,188.48",,"15,109,512.49","16,531,340.44",
经营活动现金流出小计,"171,676,956.32","189,990,900.26","157,406,694.20","31,348,348.30","86,760,113.37","134,873,525.86","190,180,892.14","50,324,814.52","119,190,768.38","174,296,930.46","253,581,722.22"
偿还债务支付的现金,"85,000,000.00","68,708,617.97","64,640,789.49",,"25,000,000.00","30,000,000.00","30,000,000.00",,,,
经营活动产生的现金流量净额,"12,558,545.38","19,347,088.29","68,725,022.46","504,414.23","27,508,146.14","32,630,398.12","48,602,871.51","319,591.81","-1,735,194.67","-526,923.85","15,010,778.69"
分配股利、利润或偿还利息支付的现金,"13,151,749.59","12,585,224.73","11,256,655.10","323,606.81","616,623.75","717,847.90","661,936.25",,"13,740,200.00","13,740,200.00","13,740,200.00"
收回投资收到的现金,,,"121,412,073.53",,"9,000,000.00","10,650,000.00","84,000,000.00","172,000,000.00","422,000,000.00","750,000,000.00","757,000,000.00"
支付其他与筹资活动有关的现金,"3,857,486.10","4,139,012.80","3,325,176.56",,"2,647,794.88","2,584,440.40","5,249,224.61",,"12,755,431.49","14,072,433.10",
取得投资收益收到的现金,,,"265,193.26",,"38,575.35","226,184.09","625,005.94","1,070,233.25","2,883,821.71","4,319,052.26","6,918,195.92"
筹资活动现金流出小计,"102,009,235.69","85,432,855.50","79,222,621.15","323,606.81","28,264,418.63","33,302,288.30","35,911,160.86",,"26,495,631.49","27,812,633.10","13,740,200.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,"35,553.85","25,000.00","285,828.49",,"41,055.00","53,773.32","25,943.37",,,,"5,000.00"
筹资活动产生的现金流量净额,"-2,358,084.67","-10,425,369.40","-51,222,621.15","4,676,393.19","-17,510,186.73","235,258,543.60","234,149,027.62",,"-11,386,119.00","-11,281,292.66","-13,740,200.00"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,
四、汇率变动对现金的影响,"-487,123.24","116,537.04","21,001.39","-98,036.17","65,905.97","29,136.08","1,177,342.97","346,294.27","-1,205,110.60","-2,160,985.30","-1,176,198.32"
收到其他与投资活动有关的现金,,,,,,,,,,,"1,800,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,
投资活动现金流入小计,"35,553.85","25,000.00","121,963,095.28",,"9,079,630.35","10,929,957.41","84,650,949.31","173,070,233.25","424,883,821.71","754,319,052.26","765,723,195.92"
