科目,2010-12-31,2011-12-31,2012-12-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"235,259,866.46","420,724,099.82","367,594,901.93","460,710,761.71","346,306,973.58","362,751,439.04","1,059,688,807.12","1,077,937,090.96","1,120,330,503.11","943,384,879.52","919,122,842.44","917,261,234.97","835,883,884.23","1,173,608,512.65","1,317,229,110.16","1,622,461,234.24","1,395,952,378.27","1,378,819,733.53","1,529,569,645.22","2,056,236,491.66","2,250,802,429.32","2,060,866,495.31"
短期借款,"731,145,647.14","1,081,230,605.16","1,296,232,843.41","844,429,600.00","955,906,951.21","1,078,583,473.99","1,144,160,448.24","1,207,875,886.40","1,016,820,053.88","738,329,586.96","659,415,394.70","722,991,240.42","623,854,366.86","951,015,303.89","615,328,427.60","497,319,198.77","874,108,822.45","844,398,960.25","796,660,348.35","898,955,228.25","904,659,314.23","851,482,590.67"
交易性金融资产,"2,403,916.94",,,,,"1,576,911.96",,,,,,,,,,,,,,,,"152,220.00"
交易性金融负债,"60,823,577.98","40,983,112.51","41,593,985.95","106,608,192.56","375,429,270.95","368,746,768.47","485,116,976.61","524,516,924.97","609,238,994.32","504,409,013.30","410,105,939.82","328,986,870.32","305,691,730.00","355,870,053.72","294,256,510.00","286,076,630.00","189,029,185.00","322,553,713.59","324,080,103.59","297,653,360.00","316,096,840.00","316,526,040.00"
应收票据,,,,,,,,,,,,,,,,,,,,,,
应付票据,"244,600,000.00","288,250,000.00","289,990,000.00","512,900,000.00","282,900,000.00","360,000,000.00","350,000,000.00","420,000,000.00","640,000,000.00","723,000,000.00","880,500,000.00","807,500,000.00","600,000,000.00","785,500,000.00","988,500,000.00","788,000,000.00","654,000,000.00","509,000,000.00","110,000,000.00","114,000,000.00","362,000,000.00","412,000,000.00"
应收账款,"8,841,648.35","44,181,922.34","3,827,490.50","118,362.58","484,097.34","2,745,999.71","4,378,532.63","10,641,544.17","4,156,485.62","1,567,609.64","931,820.83","34,152,282.06","30,998,945.11","46,602.99","3,536,776.22","3,723,736.36","1,199,661.41","3,004,196.69","11,285,867.68","2,864,582.28","5,369,723.31","1,074,125.98"
应付账款,"80,564,737.91","42,672,809.90","148,911,567.14","135,735,516.56","271,309,368.94","97,310,127.66","143,425,111.87","112,349,403.25","82,253,567.37","104,488,522.63","130,790,766.39","128,744,584.52","285,007,616.93","199,202,431.51","158,708,076.62","130,984,626.41","206,262,937.05","131,934,358.37","200,884,571.94","100,961,565.80","211,018,169.30","248,573,115.12"
预付款项,"56,948,497.49","222,240,437.17","193,786,471.73","115,465,517.69","237,318,843.76","283,985,101.96","345,018,059.28","415,953,934.09","587,597,766.55","504,416,001.58","709,098,503.32","440,748,304.91","483,586,797.46","526,697,704.63","592,220,126.73","458,267,205.93","618,618,060.81","622,052,901.49","560,140,232.62","600,787,726.87","664,590,471.71","691,655,311.23"
预收款项,"63,635,794.60","27,785,999.21","151,281,371.01","187,279,019.84","200,372,103.75","214,242,317.19","223,424,609.67","186,405,265.67","276,639,871.82","584,640,887.14","786,638,182.35","521,029,066.67","622,862,150.80","579,577,003.41","492,325,401.43","786,463,762.17","816,723,641.03","762,684,460.47","1,178,162,065.76","604,805,261.63","779,176,359.92","797,418,414.70"
其他应收款,"41,486,224.19","22,722,464.36","25,732,637.93","28,938,614.49","28,520,091.14","25,330,808.85","28,822,053.72","21,092,457.97","12,822,824.58","30,496,658.98","91,175,905.72","51,616,935.39","40,840,350.15","47,267,565.87","61,543,177.51","144,860,291.04","197,052,219.80","75,256,079.39","103,788,891.33","85,900,168.20","77,300,852.87","101,917,719.37"
应付职工薪酬,"5,796,748.68","7,091,654.60","10,194,926.04","8,499,562.89","7,199,963.74","12,331,725.11","10,921,249.23","12,441,005.21","9,478,243.43","9,691,323.46","11,130,068.10","11,318,284.51","12,307,292.33","14,101,994.87","15,951,643.86","15,599,440.53","16,293,849.03","9,283,259.10","7,802,647.42","8,907,588.69","10,486,990.82","11,721,457.84"
